,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,周边配套,权属抵押,交通出行,小区介绍,税费解析,户型介绍,售房详情,房源核验码,查询房管备案记录,适宜人群,别墅类型,装修描述,用水类型,用电类型,燃气价格
291,龙运天城精装3房2卫 ， 新风地暖 空调， 看房方便。,260万,22295,天宁区茶山,龙运天城,3室2厅1厨2卫,低楼层 (共27层),116.62㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,龙运天城精装3房2卫 ， 新风地暖 空调， 看房方便。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
292,格局好，采光好，户型方正 ，配套全，交通便利。,68万,10743,天宁区茶山,丽华二村,2室1厅1厨1卫,中楼层 (共6层),63.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-11-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应,,,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,通透性强，居住舒适，每个房间都有窗户，楼层佳，朝向南北，视野开阔，采光透亮,,,,,,,,,
293,清凉新村 靠光华路地T口，装修干净清爽有钥匙随时看房,50万,8817,天宁区茶山,清凉新村,2室1厅1厨1卫,高楼层 (共5层),56.71㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-10-29,商品房,2022-01-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,清凉新村 靠光华路地T口，装修干净清爽有钥匙随时看房,位于茶山成熟商圈，配套齐全，银行，医院，饭店，小吃，吃喝玩乐都全。,,,小区旁成熟社区，配套设施齐，菜场、娱乐场所、公园、银行、医院，适宜居住,1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。,,,,,,,,,,
294,华润三期   精装修洋房  看房方便  诚心出售,175万,19663,天宁区茶山,华润·中央公园,3室2厅1厨1卫,高楼层 (共11层),89㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,2022-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，格局通透，生活方便，交通便捷。,一号线地铁口，九州新世界，兰陵大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应俱全。,,,,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,此房户型方正，通透性比较好，每个房间都有窗户，明厨明卫，采光无遮挡。,,,,,,,,,
295,华润剑桥澜湾    精装修户型方正   诚心出售,368万,22036,天宁区茶山,华润国际社区剑桥澜湾,4室2厅1厨2卫,中楼层 (共5层),167㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯三户,有,暂无数据,2022-06-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小高层  精装修  户型方正   手续齐全房东随时办理,,此房产权清晰，没有抵押，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
296,中吴大道旁 高成天鹅湖四房毛坯房 房东诚心出售,238万,16387,天宁区茶山,天鹅湖花园,4室2厅1厨2卫,中楼层 (共27层),145.24㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-02-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,大户型毛坯房，可贷款自住出租，出行便利,综合市场，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，绿地公园,,,高成天鹅湖位于常州中吴大道与丽华北路交汇处，集精品住宅丶别墅丶大型主题消费Mall于一体的52万㎡大型人文社区。天鹅湖抢占城市地段：与12.5万平米生态湿地蔷薇公园自然相连，驱车前往市中，6条公交线路贯穿全城。 高成天鹅湖完善规划,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,,,,,,,,
297,天然氧吧红梅公园旁 御翠园 精装三房,623万,34231,天宁区茶山,御翠园,4室2厅1厨2卫,中楼层 (共33层),182㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2020-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,天然氧吧红梅公园旁 御翠园 精装三房,,,小区门口有公交站台，可以乘坐11，19，Y2，17，25，303，7等公交车，公共交通方便，位处市区繁华街道，打车也很方便。,常州御翠园坐落于城东区域，天宁旅游名胜区内，位于常州市关河以南，武青路以北， 西面为常州市红梅公园。,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、 增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税， 未满5年成交价的1%",,房东诚心出售，产权清晰，房源真实，看房方便，看中价格可谈，过户全程陪同,,,本小区适应年龄段不限，有红梅公园，东坡公园，菜场离得近，方便出行,,,,,
298,桃园公寓 中间楼层 采光充足。。,318万,26002,天宁区茶山,元丰苑,5室2厅1厨2卫,高楼层 (共5层),122.3㎡,跃层,暂无数据,板楼,南 北,砖混结构,简装,暂无数据,无,暂无数据,2023-02-20,商品房,2000-06-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子户型方正，采光充足，中间楼层，欢迎带看,医院：常州市中医院、常州市第二人民医院 购物：世纪华联(麻巷店)、常购连锁市NO.093、物美市(红梅南路)、瑞和泰，元丰菜场 其他：红梅公园、东坡公园、天宁寺,,公交：BRT2、BRT12、BRT21、Y1、220路、903路等地铁一号线已通车，2号线已开通。,小区地理位置佳，绿化好，环境整洁，居民素质高，成熟小区生活配套齐全,,,,,,,,,,,
299,元丰苑，139.6平4房精装保养好。,368万,26362,天宁区茶山,元丰苑,4室2厅1厨2卫,中楼层 (共7层),139.6㎡,平层,暂无数据,板楼,南,砖混结构,简装,暂无数据,无,暂无数据,2020-06-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，采光好，面积大。4房。,常州市中医院、常州市第二人民医院 购物：瑞和泰，世纪华联*市(麻巷店)、常购连锁*市NO.093、物美*市(红梅南路)，元丰菜场 其他：红梅公园、东坡公园、天宁寺,,,小区地理位置，绿化，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24保安巡逻,二手房交易税费：1、契税：首套房，90平米以下1%，90平米以上1.5%。 二套房：90平米以下1%，90平米以上2%。 2、增值税：总额征收5.6%，产证满2年免收。 3、个税：房东出售房屋，产证满5年且是唯一一套住房，免个税,,,,,,,,,,
300,红梅公园 御翠园一楼带 双院子豪 华装修 四房三厅三卫,1280万,36572,天宁区茶山,御翠园,4室3厅1厨4卫,低楼层 (共33层),350㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-10-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天然氧吧红梅公园旁 御翠园 精装三房,,,小区门口有公交站台，可以乘坐11，19，Y2，17，25，303，7等公交车，公共交通方便，位处市区繁华街道，打车也很方便。,常州御翠园坐落于城东区域，天宁旅游名胜区内，位于常州市关河以南，武青路以北， 西面为常州市红梅公园。,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、 增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税， 未满5年成交价的1%",,房东诚心出售，产权清晰，房源真实，看房方便，看中价格可谈，过户全程陪同,,,本小区适应年龄段不限，有红梅公园，东坡公园，菜场离得近，方便出行,,,,,
301,天鹅湖花园丽华一村诺诚高第旁丽华二村两房,75万,8908,天宁区茶山,丽华二村,3室1厅1厨1卫,高楼层 (共6层),84.2㎡,平层,暂无数据,板塔结合,西,钢混结构,简装,暂无数据,无,暂无数据,2020-08-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,丽华二村，楼层采光好，四周配套齐全!大润发大商*,商场：信特*市（丽华店）医院：中医院南院邮局：丽华邮电支局银行：交通银行、建设银行、农业银行其他：丽华二村新建的菜场、大润发*市、KFC,,"6路10路可达。320A和路217都可以直达市文化宫商圈,17路直达4A级旅游胜地天宁寺,64路也直达火车站,方便您自由出行。而位于小区北面的劳动路上,有8路公交经过,更快到达城市。",,契税1%，*过90平契税1.5%； 二套90平以内（含90平) 契税1%，*过90平契税2%； 三套不论面积大小契税3%， 满二年需要缴纳1%个人所得税， 满五唯一免缴个税。,,业主诚心出售，欢迎随时看房，看房请提两个前联系，恭候您的到来,,,,,,,,
302,天鹅湖花园精装修两卫东边户~诚心出售,200万,14845,天宁区茶山,天鹅湖花园,3室2厅1厨2卫,低楼层 (共24层),134.73㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一 楼层好 采光好 楼下大润发入口 生活便利,交通线路有： 10路、16路、 H1至丽华二村下车 教育资源丰富：丽华幼儿园 丽小 等 还配置多家银行 方便快捷！！,,,,,该房屋 楼层好 采光好无遮挡 适合一家居住双面采光，合理利用,,,,适合刚需人群和楼梯房改善人群，可做婚房，楼下大润发，东边几百米有大型免费公园 ，可去锻炼身体和增进亲子关系,,,,,
303,精装修全新家具家电，楼层好配套实施齐全，出行便利。,198万,19224,天宁区茶山,弘阳天下锦,3室2厅1厨1卫,高楼层 (共34层),103㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 70万元,未上传房本照片,精装修全新家具家电，楼层好配套实施齐全，出行便利。,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,小区环境好，物业好，保安全天巡逻，绿化好，饭后散步方便，出入方便,个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％. 2房朝南，有产证可随时过户。,,,,,,,,,,
304,地铁二号线，红梅公园旁景观别墅；采光好；有钥匙,1000万,43479,天宁区茶山,御翠园,5室2厅1厨3卫,低楼层 (共3层),230㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2021-05-12,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,地铁二号线，红梅公园旁景观别墅；采光好；有钥匙,幼儿园: 和记黄埔幼儿园。商场: 南大街 医院: 一院、二院、 银行/ATM: 工商银行 农业银行 交通银行 江苏银行邮局/快递: 邮政储蓄其他: 常州书画院、文化宫,,地铁2号线，B12号线终点站及公交红梅站。 3路、7路、15路、17路、 25路车到红梅公交站下车即可，19路车到红梅公园东门下车即可,小区是香港和记黄埔打造，环境优美 舒适安静，出门就是五A级景区红梅公园、千年古刹天宁禅寺，小区内有配套幼儿园，很适合居住,,,,,,,联排,,,,
305,桃林雅景园 4室2厅 南,530万,33022,天宁区茶山,桃林雅景园,4室2厅1厨2卫,高楼层 (共8层),160.5㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2020-08-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
306,御翠园四房二厅二卫有产权车位纯毛坯双公园,640万,35169,天宁区茶山,御翠园,4室2厅1厨2卫,低楼层 (共33层),181.98㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-11-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五，毛坯，四房二厅二卫。房型方正，采光好，景观房,,此房产权清晰 无抵押，房源真实，业主诚心出售，看房方便，过户全程陪同。,到地铁二号线站口50米。到文化馆150米。市二院200米，到儿童医院50米。,双公园，红梅公园在马路对过，和东坡公园隔条马路。小区有保安24小时巡逻、,,小区地址:天宁常州市天宁区丹青路1号 产权描述:御翠天峯普通住宅产权为70年 开 发 商:和记黄埔地产(常州)有限公司 住宅物业费1.75元/平方米·月 ： 户型介绍： 客厅主卧朝西南 两个房间东北向 视野开阔 通透全明 西边套 景色一览无余,,,,,,,,,
307,天然氧吧红梅公园旁 御翠园 精装三房,280万,29915,天宁区茶山,御翠园,3室2厅1厨1卫,中楼层 (共34层),93.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,天然氧吧红梅公园旁 御翠园 精装三房,,,小区门口有公交站台，可以乘坐11，19，Y2，17，25，303，7等公交车，公共交通方便，位处市区繁华街道，打车也很方便。,常州御翠园坐落于城东区域，天宁旅游名胜区内，位于常州市关河以南，武青路以北， 西面为常州市红梅公园。,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、 增值税：产证满2年免增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税， 未满5年成交价的1%",,房东诚心出售，产权清晰，房源真实，看房方便，看中价格可谈，过户全程陪同,,,本小区适应年龄段不限，有红梅公园，东坡公园，菜场离得近，方便出行,,,,,
308,银河湾明苑二期 4室2厅 南,340万,17802,天宁区茶山,银河湾明苑二期,4室2厅1厨3卫,中楼层 (共32层),191㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-03-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 48万元,未上传房本照片,,,,,,,,,,,,,,,,
309,银河湾名苑 精装好房 地铁口近正衡  看房方便,450万,23854,天宁区茶山,银河湾明苑二期,3室2厅1厨2卫,中楼层 (共33层),188.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新上诚售 精装，楼层好采光足，配套设施齐全，交通便利,朝阳综合市场，大润发*市，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,小区门口就有共享单车停车点，50米处就有公交站台，可以乘坐33，231，225路等，出行十分方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,,,,,
310,和平国际旁华景园 南北通风 户型方正 复式,215万,10991,天宁区茶山,华景园,4室2厅1厨2卫,高楼层 (共6层),195.63㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,顶楼复式，户型方正，南北通风，阳光采光全天有。还有电动车库。,清凉综合市场，瑞和泰，信特，第三人民医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,权属抵押： 此房产权清晰，没有抵押，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,,,,,
311,银河湾明苑二期，毛坯四房，户型方正，采光好,275万,19344,天宁区茶山,银河湾明苑二期,4室2厅1厨1卫,高楼层 (共33层),142.17㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2020-07-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二，户型方正，！无遮挡采光好，毛坯房,朝阳综合市场，大润发*市，交通银行，工商银行，邮政储蓄银行，小区门后有*市，烟酒店,此房无抵押，无贷款，无查封，产权清晰，可以立即过户，房东诚心出售,,,此房为商品房，此房满两年，无增值税，契税：首套1.5%  二套2% 三套3%个税：1%,,,,,,,,,,
312,御翠园 双公园 精装修中y空调 地暖,365万,27438,天宁区茶山,御翠园,3室2厅1厨2卫,高楼层 (共34层),133.03㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-22,商品房,2016-10-14,普通住宅,暂无数据,共有,有抵押 280万元 工商 客户偿还,已上传房本照片,御翠园精装修中Y空调地暖中高楼层采光好。,公园：红梅公园、东坡公园 商场:南大街 医院:一院、二院、儿童医院 银行:工商银行 农业银行 交通银行 江苏银行 其他:常州书画院、常州图书馆、文化宫,,"有B12号线终点站及公交红梅站。 3路、7路、15路、17路、 25路车到红梅公交站下车即可,19路车到红梅公园东门下车即可",天宁常州市天宁区丹青路1号 产权描述:御翠天峯普通住宅产权为70年 开 发 商:和记黄埔地产(常州)有限公司 住宅物业费1.75元/平方米·月,"1、契税：首套房，90平米以下成交价的1％。 2.90平米以上成交价的1.5％, 二套房90平以上成交价的2%。 3.增值税：产证满2年免收增值税，未满2年征收5.3％。",,,,,,,,,,
313,御翠园中层全新精装四房二厅二卫没入住家具家电齐全,680万,36560,天宁区茶山,御翠园,3室2厅1厨2卫,中楼层 (共33层),186㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五唯一，百万装修。保养好，没入住，双公园。近地铁。,,此房产权清晰 无抵押，房源真实，业主诚心出售，看房方便，过户全程陪同,"小区地址:天宁常州市天宁区丹青路1号 产权描述:御翠天峯普通住宅产权为70年 开 发 商:和记黄埔地产(常州)有限公司 住宅物业费1.75元/平方米·月

：
户型介绍： 客厅主卧朝西南 两个房间东北向 视野开阔 通透全明 西边套 景色一览无余",,,,,,,,,房东委托装潢公司设计，装修投入百万，没入住，品牌家电高档家具全留。,,,
314,业主诚心出售，装修维护比较好，户型方正,328万,22778,天宁区茶山,华润国际社区中吴府,4室2厅1厨2卫,中楼层 (共34层),144㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,两梯两户,有,暂无数据,2022-04-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是四房，户型方正，各个功能分区 采光好。,华润万象城 武进万达广场 大润发 天鹅湖，南大街 文化宫 九州新世界,权属抵押： 此房产权清晰，业主诚心出售，看房方便，过户全程陪同,,,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,,,,,
315,银河湾明苑，户型方正，格局好，高楼层全天采光,228万,17015,天宁区茶山,银河湾明苑二期,3室2厅1厨2卫,高楼层 (共33层),134㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2020-09-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新城金郡旁，银河湾明苑，房东诚心出售，随时看房,,此房产权清晰，没有抵押，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
316,房东诚心出售   精装修价格可谈  看房方便   配套齐全,150万,14564,天宁区茶山,东城明居,3室1厅1厨1卫,低楼层 (共25层),103㎡,平层,暂无数据,板塔结合,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2021-12-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房东诚心出售   精装修价格可谈  看房方便   配套齐全  交通方便,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,小区介绍：1：小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,
317,元丰苑顶楼复式，南北双阳台精装修，4房朝南拎包入住,450万,18022,天宁区茶山,元丰苑,4室3厅1厨2卫,高楼层 (共7层),249.7㎡,复式,暂无数据,板楼,南,砖混结构,精装,两梯两户,有,暂无数据,2022-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,元丰苑，顶楼复式，南北双阳台，精装修，4房朝南，拎包入住。,生活设施齐 公园 银行 菜场 商场 饮食近在咫尺 生活起居很方,,小区旁有多条公交线路，可低碳环保出行。地铁一号线通济桥站出门即可到达，二号线红梅公园站。出行方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,
318,华润一期洋房，带院子，得房率高,530万,19925,天宁区茶山,华润国际社区剑桥澜湾,4室2厅1厨2卫,低楼层 (共5层),266㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2020-06-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,华润一期洋房，带院子，得房率高,,此房产权清晰，没有抵押，业主诚心出售，看房方便，过户全程陪同,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,业主现诚心置换，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,,,
319,精装三居，方正户型。近地铁一号线同济桥站。,260万,34788,天宁区茶山,桃园路物资楼,3室2厅1厨1卫,低楼层 (共6层),74.74㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,暂无数据,暂无数据,暂无数据,2022-05-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二年，精装三居，方正户型。近地铁一号线同济桥站。,,,,物资楼小区位于一号地铁同济桥站东侧，整体居住氛围好，邻里关系融洽。,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,两房南一房北，楼层中上，采光充足。房子户型规整，便于家俱的摆放，生活舒适。,,,,,,,,,
320,中海凤凰熙岸 天鹅湖花园 精装大三房 双阳台 诚心出售,235万,17631,天宁区茶山,天鹅湖花园,3室2厅1厨2卫,高楼层 (共28层),133.29㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房通风效果好，户型格局方正，楼层好，采光佳。拎包入住,交通线路有： 10路、16路、 H1至丽华二村下车 丽华幼儿园 丽小 等 还配置多家银行 方便快捷！,,,,,该房屋采光好无遮挡 适合一家居住，通透户型，另外进户有一排柜子可以放鞋子和收纳，带大露台可以玩耍。,,,,适合刚需人群和楼梯房改善人群，可做婚房，楼下大润发，东边几百米有大型免费公园 ，可去锻炼身体和增进亲子关系,,,,,
321,元丰苑 顶楼复式 实用面积大  地铁口交通便利,389万,30301,天宁区茶山,元丰苑,3室2厅1厨2卫,高楼层 (共6层),128.38㎡,跃层,暂无数据,板楼,南,砖混结构,精装,暂无数据,无,暂无数据,2022-07-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,元丰苑顶楼复式，实用面积大，地铁口 交通便利,医院：常州市中医院、常州市第二人民医院 购物：瑞和泰商场  大润发 购物广场  银行；建设银行，工商银行 江苏银行,,公交：BRT2、BRT12、BRT21、Y1、220路、903路等地铁一号线已通车，地铁2号线,小区地理位置佳，绿化好，环境整洁，居民素质高，成熟小区生活配套齐全,,,,,,,,,,,
322,华润国际社区中吴府小三房诚心出售、看房方便,168万,18877,天宁区茶山,华润国际社区中吴府,3室2厅1厨1卫,低楼层 (共27层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-03-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 0万元 / 业主自还,未上传房本照片,此房是三房，户型方正，各个功能分区 采光好。,华润万象城 武进万达广场 大润发 天鹅湖，南大街 文化宫 九州新世界,权属抵押： 此房产权清晰，业主诚心出售，看房方便，过户全程陪同,,,"税费解析： 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％",,,,,,,,,,
323,华润旁南开小区 楼上楼下大三房 诚心出售,81万,9582,天宁区茶山,丽华三村南开小区,3室2厅1厨1卫,高楼层 (共6层),84.54㎡,跃层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2022-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，采光好，户型方正 ，配套全，交通便利。,华润万象城，九州大润发，兰陵大润发，丽华大润发，凤凰公园，连锁酒店，蔷薇湿地公园，各大银行，各类小吃美食一应。,产权清晰。房东对付款无要求，按照正常首付就可以。具体面谈。房屋没有贷款。,,,税费解析：此房满五唯一，故个税是0%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,,,,,,,,,,
324,御翠园纯毛坯户型 采光好 诚意出售 满二省税,520万,34667,天宁区茶山,御翠园,3室2厅1厨2卫,高楼层 (共33层),150㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2020-05-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房通透全明 视野开阔 景观一览无遗 阳光充足,公园：红梅公园、东坡公园 商场:南大街 医院:一院、二院、儿童医院 银行:工商银行 农业银行 交通银行 江苏银行 其他:常州书画院、常州图书馆、文化宫,,"有B12号线终点站及公交红梅站。 3路、7路、15路、17路、 25路车到红梅公交站下车即可,19路车到红梅公园东门下车即可",小区地址:天宁常州市天宁区丹青路1号 产权描述:御翠天峯普通住宅产权为70年 开 发 商:和记黄埔地产(常州)有限公司 住宅物业费1.75元/平方米·月,,客厅主卧朝西南 两个房间东北向 视野开阔 通透全明 西边套 景色一览无余,,,,,,,,,
