,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,交通出行,房源核验码,查询房管备案记录,户型介绍,周边配套,适宜人群,装修描述,权属抵押,别墅类型,售房详情
110,中间楼层  环境好 采光好 小区配套齐全,165万,12596,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共27层),131㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2019-10-27,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,绿地世纪城 ，房屋利用率高，户型方正，小区配套齐全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园站 （98路; 1111路; 1811路）	953米【公交】 绿地世纪城 站（98路）	596米【公交】 飞龙首末站 （526路; 1111路; 1811路）	492米【公交】 龙江路龙城大道 （526路）	406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,区配有大面积的农贸综合市场，*大面积的*市及其他连锁*市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
111,绿地世纪城三期精装大两房双阳台房东已置换诚售,138万,12486,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,中楼层 (共27层),110.53㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 16万元 公积金,未上传房本照片,此房楼层好，中间楼层，前排别墅，河景房,1、小区边生活设施齐全，、市、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
112,绿地世纪城一期中装两房小高层满五唯一省税诚心卖,100万,12398,钟楼区新闸,绿地世纪城B区,2室2厅1厨1卫,低楼层 (共18层),80.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-05-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一省税，小高层的房子，少有户型价格好谈,1、小区边生活设施齐全，、*市、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
113,绿地二期  户型方正 诚心出售,110万,12485,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,低楼层 (共33层),88.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,满五唯一  户型方正 无遮挡 配套全,,房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,1：小区大门外就是菜市场，水果店，银行，小区配有幼儿园。2：小区内有健身器材，可提供小区居民使用.3：小区内停车充足，设立地上停车场和地下停车库,,,,,
114,绿地世纪城三期精装两房满五省税看房方便,106万,13226,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,高楼层 (共33层),80.15㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一省税，中上楼层，随时预约看房,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
115,绿地世纪城c区 3室2厅 南,140万,13771,钟楼区新闸,绿地世纪城c区,3室2厅1厨1卫,低楼层 (共33层),101.67㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,
116,绿地一期满五唯一不靠高架 好楼层无遮挡 诚心出售,135万,15220,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,高楼层 (共9层),88.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 小高层中上楼层 无遮挡 小区配套全 交通便利,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
117,绿地世纪城精装中间楼层房东诚心出售,145万,11969,钟楼区新闸,绿地世纪城c区,3室1厅1厨1卫,高楼层 (共33层),121.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点：卖点：：清枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区介绍：小区介绍：小区介绍：小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,"税费解析：税费解析：1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%。",,,,,配套：配套：成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
118,绿地世纪城三区三房，精装修拎包入住,105万,12500,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共27层),84㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-08-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 .. 客户偿还,未上传房本照片,此房满两年小高层 楼层好 视野开阔,,税费：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 不满二年 收全额的5.6%,天山花园 （98路; 1111路; 1811路）	953米【公交】 绿地世纪城 （98路）	596米【公交】 飞龙首末站 （526路; 1111路; 1811路）	492米【公交】 龙江路龙城大道 （526路）	406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路,,,,"区配有2000平米的农贸综合市场，1900平米的市及其他连锁，占地8000平米的幼儿园，及约20000平方米的商铺

交通出行：",,,,,
119,刚需优选 安全底层 方便老人 生活便利,115万,10551,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,低楼层 (共33层),109㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2021-10-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,刚需优选 安全底层 方便老人 生活便利,小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
120,绿地世纪城二期顶前排 采光楼层很好,99万,9565,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),103.51㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,满5唯一中间楼层，边户 精装修，南北通风,环境优美，舒适安静 适宜居住，出门即有公交菜场，自带游泳池，银行 ， 美食等 人文素养好，乐于助人，相处和谐,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 不满二年 收全额的5.6%,天山花园 （98路; 1111路; 1811路）	953米【公交】 绿地世纪城 （98路）	596米【公交】 飞龙首末站 （526路; 1111路; 1811路）	492米【公交】 龙江路龙城大道 （526路）	406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路,,,,,,,,,
121,绿地世纪城精装二房南北通风家电家具齐全满二,119万,13671,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,中楼层 (共11层),87.05㎡,平层,70.84㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-01,商品房,2013-11-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满2年，户型好 楼层好，视野好，配套设施完善，交通便利。,配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,"：
地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，银行、菜场、商场、饮食近在咫尺，生活方便 户型周正，格局分布合理，空间感好，通透性强，居住舒适",,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好，小区地理位置优越，交通便捷，辐射广，设施齐全,,,,,
122,绿地三期 满五小高层前面是河 无任何遮挡,180万,14353,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共11层),125.41㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-11-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 18万元,未上传房本照片,满 五  前面无遮挡 品牌家具家电 小区生活配套设施完善,1、小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
123,绿地三期 精装修边户 前面别墅区 中间楼层诚心出售,149.8万,11524,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,中楼层 (共27层),130㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一 中间楼层 户型方便使用率高 小区配套全 交通便利,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场,,,,,
124,绿地世纪城 满五 边户 中上楼层,120万,13455,钟楼区新闸,绿地世纪城A区,3室2厅1厨1卫,高楼层 (共33层),89.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五  户型方正 通透  生活配套齐全,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路） 房主自荐(业主对房源的描述),,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。 论一位经纪人的自我修养，此房源值得推荐。,,,,
125,绿地世纪城A区 大两房带衣帽间中间楼层 房东诚售,102万,9229,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,中楼层 (共27层),110.53㎡,平层,84.63㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2020-04-26,商品房,2014-10-21,普通住宅,暂无数据,共有,有抵押 5万元,已上传房本照片,此房户型方正，卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,,,,042484113045,绿地世纪城 精装两房 三朝南 采光好 无遮挡 配套齐全,小区配有2000平米的农贸综合市场，1900平米的*市及其他连锁*市，占地8000平米的幼儿园，及约20000平方米的商铺,天山花园 （98路; 1111路; 1811路）	953米【公交】 绿地世纪城 （98路）	596米【公交】 飞龙首末站 （526路; 1111路; 1811路）	492米【公交】 龙江路龙城大道 （526路）	406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,
126,绿地三期  不靠马路前排好位置 全天采光视野好,135万,12273,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,高楼层 (共33层),110㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2021-10-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五  精装修 不靠马路前排好位置 全天采光视野好,1、小区边生活设施齐全、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松。,,,,,
127,绿地世纪城二期 中间层边户不靠高架 诚心出售,118万,9702,钟楼区新闸,绿地世纪城c区,3室1厅1厨1卫,高楼层 (共33层),121.63㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2023-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,满五 边户精装修 采光充足 交通配套齐全,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
128,飞龙吾悦旁 洋房社区 一梯两户 低公摊 采光刺眼 诚售,118万,13123,钟楼区新闸,绿地世纪城B区,3室2厅1厨1卫,低楼层 (共11层),89.92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房满五 洋房户型 公摊面积小 采光充足 生活便利,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均..,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
129,此房满五 洋房户型 公摊面积小 采光充足 生活便利,155万,12313,钟楼区新闸,绿地世纪城A区,3室2厅1厨2卫,低楼层 (共11层),125.89㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-10-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
130,荷樾府 精装修4开间朝南 大横厅落地窗 小区中间位置,180万,14435,钟楼区新闸,光明荷樾府,3室2厅1厨2卫,低楼层 (共27层),124.7㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 房贷 业主自还,未上传房本照片,客厅宽敞舒适荷园 次新小区  精装修4开间朝南 大横厅落..,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明，4开间朝南 大横厅落地窗,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
131,绿地世纪城 精装 诚心出售 随时可看,95万,11811,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,低楼层 (共33层),80.44㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-06-13,商品房,2016-03-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正，交通便利，配套齐全。,1、小区生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
132,此房保养好，采光好，装修好，拎包入住,115万,11654,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,高楼层 (共33层),98.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-29,商品房,2013-05-29,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房保养好，采光好，装修好，拎包入住,小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税",,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,
133,绿地 三开间朝南 户型方正 全天采光无遮挡 房东诚售,100万,12148,钟楼区新闸,绿地世纪城A区,2室2厅1厨1卫,高楼层 (共33层),82.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-20,商品房,2017-02-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，..,,,,,,,,,
134,绿地世纪城 小高层洋房 有钥匙 随时看房,76万,10290,钟楼区新闸,绿地世纪城B区,2室2厅1厨1卫,中楼层 (共11层),73.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-01-05,商品房,2019-04-19,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,绿地世纪城 精装2房 户型好 三朝南 采光好 无遮挡 配套齐全,,,绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,此房户型方正，卧室朝南，明厨明卫， 开间大 采光充足位置好，闹中取静，出入方便 ，业主诚心出售,小区配有2000平米的农贸综合市场，1900平米的市及其他连锁市，占地8000平米的幼儿园，及约20000平方米的商铺,,,,,
135,绿地世纪城二期 前排无遮挡帝王楼层采光刺眼,115万,12767,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,高楼层 (共33层),90.08㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-17,商品房,2021-10-14,普通住宅,暂无数据,非共有,有抵押 80万元 业主自还,已上传房本照片,此房保养好，采光好，装修好，拎包入住,"小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻

适宜人群：
发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。..","契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
136,绿地二期 远离高架 户型方正 全天采光刺眼,95万,10580,钟楼区新闸,绿地世纪城c区,2室2厅1厨1卫,中楼层 (共33层),89.8㎡,平层,69.1㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-01,商品房,2013-06-03,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住。,绿地世纪城占地面积409亩，总建筑面积约76万平米，位于龙城大道、龙江路交汇处，飞龙居住区，距市政府道路距离约4公里。借助龙城快速干道、长江路可快速抵达市；社区内规划物业品类丰富，集中布置小高层、高层、联排别墅,"1.税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",天山花园 （98路; 1111路; 1811路） 953米【公交】 绿地世纪城 （98路） 596米【公交】 飞龙首末站 （526路; 1111路; 1811路） 492米【公交】 龙江路龙城大道 （526路） 406米【公交】 飞龙公交枢纽北 （98路; 111路; 213路）,,,,,,,,,
137,拾光里毛坯三房两卫 中间楼层 随时看房,180万,16364,钟楼区新闸,光明当代拾光里,3室2厅1厨2卫,中楼层 (共27层),110㎡,平层,暂无数据,板楼,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,,,,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,
