,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
892,翠竹新村北区 精装 户型方正 视野开阔 采光充足,100万,11112,天宁区红梅,翠竹新村北区,3室2厅1厨1卫,高楼层 (共6层),90㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,翠竹新村北区 精装 户型方正 视野开阔 采光充足,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","契税:首套房,90平米以下成交价的1%,90平米以上成交价的15%,二套房,90平以下成交价的1%,90平以上成交价的2%,三套及以上,成交价的3%;2、个税:产 证满五唯一,免收个税,不唯一交成交价的1%",,生活设施齐全，银行、菜场、商场、饮食近在咫尺生活起居很方便，交通便捷,,,,,,,,,,,
893,怡康花园3房，诚心出售，楼层好，采光佳，户型方正,290万,22598,天宁区红梅,怡康花园,3室2厅1厨2卫,高楼层 (共9层),128.33㎡,错层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，采光佳，户型方正，看房方便~,"业主人友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒,成熟小区管理","税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
894,顶复 带阳光房露台 小区休闲安静舒适 配套齐全,160万,9303,天宁区红梅,聚景苑,4室2厅1厨2卫,高楼层 (共6层),172㎡,复式,暂无数据,塔楼,南,砖混结构,精装,暂无数据,无,暂无数据,2021-07-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,顶复 带阳光房露台 小区休闲安静舒适 配套齐全,,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,此房满五不唯一，产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,"地理位置优越,交通便利，出门就有公交站点，绿化优美，小区环境幽静、小区生活设施齐全，各大银行、菜场、商场、饮食近在咫尺，生活方便 户型周正，格局分布合理，空间感好，通透性强，居住舒适。",,,,,,,,,
895,红梅新村一楼双院 开门新装诚意出售,71万,12479,天宁区红梅,红梅新村,2室1厅1厨1卫,低楼层 (共6层),56.9㎡,平层,暂无数据,平房,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-05-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房为二房 客厅 大，楼层好，院 开门房东诚心出售看房方便！,业主置换现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可仪,房子满五，契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,红梅商场、、红星家具装饰城、，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,,,,,,,,,,,
896,火车站翠竹地铁站，翠竹新村北区精装可开店，户型正,168万,18667,天宁区红梅,翠竹新村北区,3室1厅1厨1卫,低楼层 (共6层),90㎡,平层,暂无数据,板楼,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足.交通便利.配套齐全,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
897,店长推荐好房。拎包入住。价格可谈,220万,16447,天宁区红梅,香缇湾花园,3室2厅1厨2卫,低楼层 (共29层),133.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局分布合理 精装修 可拎包入住，近天宁吾悦，生活方便,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.3%。 个税：不满5年征收1%,,1 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,,,,,,,,
898,锦绣东苑 房东诚意出售 价格可谈,140万,14775,天宁区红梅,锦绣东苑,3室2厅1厨1卫,低楼层 (共6层),94.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-03-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,位置好，视野宽阔，采光充足无遮挡，配 套 齐 全,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，坐 谈 来 去,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
899,红梅新村四室，买一层  一层，外楼梯可以上楼,65万,10712,天宁区红梅,红梅新村,4室2厅1厨2卫,高楼层 (共6层),60.68㎡,平层,暂无数据,板楼,南,砖混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,出小区就有菜场，公交，学 校。2公里内有公园，医院。配套成熟,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,红梅商场、金叶连锁(林园商场东南)、大润发、红星家具装饰城、金太阳家电北环商场、世纪联华，商 业 银行(北环路)、江苏银行红梅支行、农业银行九龙支行、建设银行竹林新村分理处、中国邮政北环路储蓄所、红梅邮政储蓄,9路、10路、11路、15路、24路、29路、208路、216路、H1,,,,,,,,,,
900,店长推荐好房。拎包入住。价格可谈,220万,16447,天宁区红梅,香缇湾花园,3室2厅1厨2卫,低楼层 (共29层),133.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局分布合理 精装修 可拎包入住，近天宁吾悦，生活方便,,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.3%。 个税：不满5年征收1%,,1 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,,,,,,,,,
901,铂雅花园 南边无遮挡 采光全天 精装三房三朝南,375万,26409,天宁区红梅,铂雅花园,3室2厅1厨2卫,低楼层 (共18层),142㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,铂雅花园 南边无遮挡 采光全天 精装三房三朝南,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
902,金梅花园 业主诚心出售 看房方便,128.8万,12949,天宁区红梅,金梅花园北区,2室2厅1厨1卫,中楼层 (共11层),99.47㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,金梅花园中间楼层，全天采光好，位置佳，装修好拎包住,,"：
1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%",,,,小区环境环境优美，绿化丰盛，楼间距大，适合居住，安保设施齐全,,,户型方正，格局分布合理，空间感好，通透性强，居住舒适，2，楼层佳，朝向好，视野开阔，采光充沛，3，明厨明卫,,,,,,
903,一梯一户双阳台随时看房四开间朝南户型佳零浪费,518万,27822,天宁区红梅,铂雅花园,4室2厅1厨2卫,低楼层 (共18层),186.19㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-21,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 400万元 经营性贷款 金融公司垫资,未上传房本照片,一梯一户双阳台随时看房四开间朝南户型佳零浪费,,,,大润发、国美家电、易买得，菜场，娱乐场所，红星美凯龙，红梅公园，翠竹公园，紫荆公园，适宜居住,1111路可到紫荆公园火车站 11路可到火车站新北区万达 231路可到市区南大街、B2、H2、高铁北广场800米,铂悦天宁（备案名：铂雅花园）是由上市公司旭辉打造的高档楼盘旭辉”铂悦“系。向自然而生，融自然于景，铂悦天宁从空间和时间两个维度，锻造了景观更加丰富，视觉更具美感的居住空间。小区人车分流，环境优美，舒适安静，业主素质高,,,,,,,,,
904,市政府地铁口 中/央花园 带露台 诚心出售,226万,23853,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,低楼层 (共30层),94.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,暂无数据,2022-04-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 110万元,未上传房本照片,此房两房朝南 带一个大露台  配套齐全 地铁口,,"税费分析1、契税:首套房，90平方以下的首套跟二套都是1%，90平米以上成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税，; 3、个税:产证满五年但不是唯一套住房, 成交价的1%",,"2公里内有红梅公园菜场:怡康小河沿菜场,锦绣菜场， 市: 2公里内有大润发市，欧尚市 医院: 2公里内有青山湾社区医院,武进医院，一院,二院",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
905,香缇湾花园 精装 三房采光视野好 不靠铁路,240万,17519,天宁区红梅,香缇湾花园,3室2厅1厨2卫,中楼层 (共29层),137㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-04-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,香缇湾花园 精装 三房采光视野好 不靠铁路,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,小区地理位置好，位于交通便利，出小区就是BRT站牌，小区配套设施齐全，银行、菜市、医院、商务会所，小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！欢迎致电！,,,,,,,,,,,
906,新五期！三房！双阳台设计！户型方正！百米楼间距！,242万,24150,新北区红梅,中央花园（新北区） ,3室2厅1厨1卫,低楼层 (共31层),100.21㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五 唯一！新五期！三房！双阳台设计！户型方正！,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收..,,门口地铁，文化广场，生活设施齐 ，小区自带菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,南北 通风的户型！三朝南好户型！阔绰双阳台！三房设计！采光好！,,,,,,
907,房东诚意出售 环境好  价格可谈,230万,24469,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,低楼层 (共33层),94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯十六户,有,暂无数据,2023-03-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,位置好，视野宽阔，采光充足无遮挡，配 套 齐 全,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，坐 谈 来 去,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,小区地理位置佳，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
908,博爱路 +北郊 精装 全天阳光灿烂  生活配套齐全。,278万,21473,天宁区红梅,新天地花苑,3室2厅1厨2卫,高楼层 (共14层),129.47㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-06,商品房,2023-09-06,普通住宅,未满两年,非共有,无抵押,已上传房本照片,博爱路 +北郊 精装 全天阳光灿烂 前后大露台 生活配套齐全。,,"1、契税:90平方以下的首套跟二套都是1%，90平米以上首套房成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税 3、个税:产证满五年但不是唯一套住房, 成交价的1%；满5唯一无个税。",此房无贷款 无抵押 无查封，产权清晰，可以立即过户。欢迎找我带看。,"红梅公园、天宁寺、市民广场、规划馆、博物馆，图书馆，八角井菜场,锦绣菜场， 大润发， 医院: 青山湾社区医院,武进医院，一院,二院。",,,,,,,,,,,
909,房东诚心出售。 车站， 地铁， 红梅公园。,300万,23810,天宁区红梅,翠竹新村南区,4室2厅1厨2卫,低楼层 (共2层),126㎡,复式,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-06-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,： 小区环境优雅，配套成熟，交通便利，居住舒适。,,： 该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,： ： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同税，未满2年征收,,,： 1.客厅宽敞，舒适，使用率高2.卧室温馨，居住理想。3.厨房设施齐全，让美味更加轻松起来。,,,,,,,,,
910,经典户型，房东诚心想卖，楼层好，全天采光,225万,16545,天宁区红梅,新城尚东区花园东区,4室2厅1厨2卫,中楼层 (共18层),136㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,经典户型，房东诚心想卖，楼层好，全天采光,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，全程可陪同过户,门口就是养老院，竹林菜场，小区旁边就是红星美凯龙，易美惠 大型商场。公交车直达红梅公园和紫荆公园。大润发,,,,,,,,,,,
911,凯旋城精装，全天采光，诚意出售,179万,15300,天宁区红梅,凯旋城,3室2厅1厨2卫,中楼层 (共23层),117㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-09-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元 工商 业主自还,未上传房本照片,卖点：火车站大润发边，小高层，环境优美，全天采光！,,"税费解析：
契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"配套：
生活设施齐，银行，市场，商城，菜场，饮食近在咫尺 生活起居很方便，宜居之地！",,"小区介绍：
小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场",,,,,,,,,
912,聚博花园118平三开间朝南中间楼层，楼间距大采光好,208万,17628,新北区红梅,聚博花园,3室2厅1厨2卫,中楼层 (共7层),118㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2022-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,聚博花园 小区比较安静， 三开朝南中楼层 采光好绿化好出行方便,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格 。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,南北 三开间朝南 明厨明卫 低楼层 ，南北 三开间朝南 明厨明卫 中楼层 南无遮挡,,,,,,,,,
913,精装3房东边户 地铁口 人车分流环境美 通透明亮,205万,18389,天宁区红梅,银河湾星苑,3室2厅1厨1卫,高楼层 (共20层),111.48㎡,平层,91.4㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-06-13,商品房,2008-12-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装3房拎包入住 地铁号线 大润发 人车分流 环境优美 明厨明卫,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,小区位于地铁一号线和五号线交汇 小区人车分流 配套大润发 翠竹菜场 火车站出现便利,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,,,,,,,
914,精装3房拎包住 小区人车分流环境美 博/小/北/郊,288万,23722,天宁区红梅,青山湾南区,3室2厅1厨1卫,低楼层 (共19层),121.41㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 工商银行 客户偿还,未上传房本照片,业主自住 保养好 拎包入住 纯人车分流 安全舒适,,"1、契税:90平方以下的首套跟二套都是1%，90平米以上首套房成交价的1.5%,二套房90平以上成交价的 2%,三套房无论面积大小都是3%; 2、增值税:产证满2年免收增值税 3、个税:产证满五年但不是唯一套住房, 成交价的1%；满5唯一无个税",,"红梅公园、天宁寺、市民广场、规划馆、博物馆，图书馆，八角井菜场,锦绣菜场， 大润发， 医院: 青山湾社区医院,武进医院，一院,二院",,小区有东门和北门两个门，汽车电动车直接入库，小区环境优美 人车分流 ，孩子老人玩耍散步安全放心。,,,,,,,,,
915,翠竹新村带阁楼，光线好，户型方正。,70万,10295,天宁区红梅,翠竹新村南区,3室1厅1厨1卫,高楼层 (共5层),68㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2022-05-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，双阳台，采光好，房东自住房，装修品质高,,该房是纯商品房，已经满两年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%,,,该楼盘地处龙城大道与永宁路交汇处800米处，多路公交站台，多个共享单车站点，交通、出行便利,,,,,小区居住人员素质较高，互帮互助，邻里和睦。 业主因置换其它房子，现诚意出售此房，看中可接受小幅度议,,,,,
916,景观房  采光视野佳  顶复  带空中花园,349万,15811,新北区红梅,聚博花园,4室2厅1厨2卫,高楼层 (共22层),220.74㎡,复式,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,暂无数据,2021-06-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,顶复 景观房  全天采光 视野佳 带空中花园 阳光房  交通便利,,,,,地铁一号线市民广场站距离450米， 公交有19路、32路、33路、42路等多路公交直达。,小区2004年交付使用，共32栋，946户，由别墅，小高层和高层组成，物业费0.45，生活配套设施齐全。,,,,,,,,,
917,怡康花园精装修2房 楼层光线好，随时看房，诚心出售,210万,26924,天宁区红梅,怡康花园,2室2厅1厨1卫,高楼层 (共23层),78㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 8万元,未上传房本照片,怡康花园精装修房 楼层光线好，随时看房，诚心出售,业主诚心出售，房屋无抵押，看房方便，价格可商议，随时恭候看房,税费： 1 契税 首套房90平以下1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 。 个人所得税： 满两年1% 满五唯一住房免征个人所得税。,,,,,,,,,,,,,
918,金新鼎邦 户型方正 楼层好 交通便利,315万,24366,天宁区红梅,金新鼎邦,3室2厅1厨2卫,高楼层 (共32层),129.28㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-11-29,商品房,2015-03-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正，三开间朝南，中间楼层采光好,此房业主诚心出售，无抵押，无贷款，产权清晰，诚心要可谈价，方便看房,,,,,小区为次新小区，人车分流，环境优美，绿化多，小区有别墅，南低北高，整体采光好,,,此房户型方正，三朝南户型，客厅，两个房间都朝南，小房间朝北，厨房，卫生间朝北，进门是厨房和餐厅，很方便，客厅连阳台，采光舒服,,,,,,
919,地铁口 双实验市民广场旁143平精装修360万诚售,328万,22938,新北区红梅,中央花园（新北区） ,3室2厅1厨2卫,低楼层 (共25层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子通透性好 中间楼层 采光良好 地段优越,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,小区位于新北区文化广场边 边上配套齐全 奥体也在边上平时健身 好去处啊,,,三室两厅两卫的户型 两房朝南，通透性好 满足全家居住需求 很舒适,,,,,,
920,地铁直达的空中别墅 中 央花园 自住装修 随时看房,350万,19623,新北区红梅,中央花园（新北区） ,4室2厅1厨2卫,高楼层 (共33层),178.37㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段好，交通方便，公交、地铁齐全。旁边市民广场、奥体馆。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,"地铁口、公交就在小区门口，交通便捷。
市民广场、奥体馆就在小区旁边，生活方便。",,"位置：小区地理位置佳，绿化多，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24小时保安巡逻",,,,,,,,,
921,火车站大润发地铁北，网红翠竹大道南，三房二卫,140万,11644,天宁区红梅,翠竹新村南区,3室1厅1厨2卫,中楼层 (共6层),120.24㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-04-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,火车站大润发地铁北，网红翠竹大道南，三房二卫,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,2公里内有大润发、武进医院、奥体、文化广场。 大家都知道，常州人爱吃会吃，如果你来到翠竹，就可以从清晨吃到深夜，从街头吃到街尾，中间的几条支路拐进去又能够发现更多的美食，服装也可以一起逛吃逛吃,,翠竹新村被翠竹大道分成了南北两个区，都是上世纪末的老房子，不同于现在略显高冷的高层小区，在这里你可以感受到什么是生活，什么是人情味儿，还有那些老新村独有的人间烟火气。或许生活就该多一点温度,,,,,,,,,
922,翠竹三开间朝南，户型方正.交通便利.配套齐全,170万,13335,天宁区红梅,翠竹新村北区,3室2厅1厨2卫,低楼层 (共8层),127.49㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,翠竹三开间朝南，户型方正.采光充足.楼层好.交通便利.配套齐全,,"契税：首套房，权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税",,,地铁口.10路.29路.14路.31路公交车 共享单车.出行方便,,,,,,,,,,
923,必买好房  精装修 位置安静 楼层好 出行方便,200万,15749,天宁区红梅,金百花园,3室2厅1厨2卫,中楼层 (共32层),127㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯六户,有,暂无数据,2023-10-24,商品房,2023-11-24,普通住宅,未满两年,共有,有抵押 128万元,已上传房本照片,精装修 位置安静 楼层好 采光刺眼,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
