,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,户型介绍,周边配套,小区介绍,适宜人群,装修描述,交通出行,房源核验码,查询房管备案记录,别墅类型,用水类型,用电类型,燃气价格
100,大平层中上楼层，全天采光，装修保养的好，拎包入住,298万,16345,新北区恐龙园,世茂香槟湖一期,4室1厅1厨1卫,中楼层 (共32层),182.32㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-02,商品房,2014-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,大平层中上楼层，全天采光，装修保养的好，拎包入住,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便，恐龙园就在旁边,小区环境优美，绿化覆盖率高。媲美公园，主要是小区物业管理 费用低。居住成本低。出门 有幼儿园，接小孩便利都不用过马路很安全放心,,,,,,,,,
101,恐龙园旁秀江南别墅8.6米客厅开间 房东诚心出售,650万,22148,天宁区恐龙园,长兴秀江南,5室3厅1厨4卫,低楼层 (共3层),293.49㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-03-03,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,视野开阔 临河别墅 恐龙园边 江南水乡设计风格,,目前在首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,此房没有抵押可放心交易 没有风险 正常首付即可买到临河别墅啊,,,小区是以江南水乡为元素的纯别墅小区 边上就是恐龙园 临河别墅 地段出行方便 绿化高,,,,,,暂无数据,,,
102,房东诚售世茂三期四室，精装70万，中上楼层，方便看房,300万,20924,新北区恐龙园,世茂香槟湖三期,4室2厅1厨2卫,高楼层 (共31层),143.38㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装70多万，品牌家具家电，中上楼层，三开间朝南，随时看,,此房满五但不唯一需交1个点个税，且面积90平朝上，首套需交1.5个点契税，二套2个点契税，三套及以上3个点,,,小区紧靠紫荆公园，恐龙园，旁边就是东经120与在建龙湖天街跟大型菜场，还有规划的地铁6号线,小区人车分流，一共9栋高层，其他都是别墅区，小区地理位置优越，环境优美，物业严谨，认真负责,,,,,,,,,
103,世茂二期精装小高层复式，边户，带大露台，随时可看,498万,19597,新北区恐龙园,世茂香槟湖二期,5室2厅1厨3卫,高楼层 (共17层),254.13㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区自带幼儿园跟1-6年级，地理位置优越，环境优美，物业严谨，认真负责。,,小区紧靠紫荆公园，恐龙园，旁边就是东经120与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,,,,此房满2需交1个点个税，且面积90平朝上，首套需交1.5个点契税，二套需交2个点，三套及以上需交3个点,,,,112439583173,此房满2，精装挑高复式，带2个车位，一个大露台，保养好，随时看,,,,
104,恐龙园旁 世茂香槟湖景观房 楼层好采光好 随时可看,138万,15781,新北区恐龙园,世茂香槟湖二期,2室2厅1厨1卫,中楼层 (共18层),87.45㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-01-10,商品房,2018-03-15,普通住宅,满五年,共有,无抵押,已上传房本照片,"小区环境优雅，管理严格,配套成熟，交通便利，居住舒适。",,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区生活设施齐全，、*市、菜市场、银行、，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,东依龙沧路、南靠河海东路、西临巫山路、北近珠江路，公交乘坐可选择33路、302路、B12路、215路（恐龙园站下车)，小区门口有Y2路直达,,,,,,
105,采光好 位置佳 诚心出售 出行方便,178万,17922,新北区恐龙园,九龙仓时代上院,3室2厅1厨2卫,高楼层 (共26层),99.32㎡,平层,76.67㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-24,商品房,2013-10-22,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"此房满五,楼栋位置优越,无遮挡,楼层佳,视野好,房东诚售",业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,东依龙沧路、南靠河海东路、西临巫山路、北近珠江路，公交乘坐可选择33路、302路、B12路、215路（恐龙园站下车,,,,,,
106,创意园旁四房，世茂香槟湖四期前排湖景房,273万,19644,新北区恐龙园,世茂香槟湖四期,4室2厅1厨2卫,低楼层 (共33层),138.98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-09,商品房,2018-01-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,世茂香槟湖四期，湖景，精装50万，看房方便,业主工作调动，原本做婚房使用，业主现诚心出售，证件齐，欢迎看房,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,次新小区，湖心岛隔壁，软件园前面，环境优美，产权70年改善型小区,,,,,,,,,
107,满五唯一 价格可谈 诚心出售 准备买新房,90万,10112,新北区恐龙园,香树湾花园,2室2厅1厨1卫,中楼层 (共25层),89.01㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-09,商品房,2017-05-04,普通住宅,暂无数据,非共有,有抵押 70万元 张家港农行 客户偿还,已上传房本照片,房子满五唯一，精装修保养好 价格可谈  快速卖掉 换新房子,业主5年前买的婚房，现因工作调动出售，房子满五唯一，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,,,
108,适宜一家三代居住，成功者的象征，世家传承，天著珍品,300万,17544,新北区恐龙园,世茂香槟湖二期,4室2厅1厨2卫,高楼层 (共18层),171㎡,错层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2020-11-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 160万元,未上传房本照片,适宜一家三代居住，成功者的象征，世家传承，天著珍品。,,,,三开间朝南，两房房和客厅朝南，两房北，高楼层  采光好  视野无遮挡,商场： 沿街商铺小区配套每家玛、万达广场、常发广场 丰臣广场 信特*市、海玛特*市 大润发*市医院：三井医院，华山医院、邮局：中国邮政储蓄银行河海邮政储蓄所银行：中国建设银行ATM(常州工学院新北校区西北) 分店中国银行 24小时自助银行(太湖东路),,,,,,,,,,
109,恐龙园旁洋房，印山风华房东诚心出售,470万,32868,新北区恐龙园,嘉宏·印山风华,5室2厅1厨3卫,低楼层 (共11层),143㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-08,商品房,2022-08-10,普通住宅,未满两年,非共有,无抵押,已上传房本照片,印山风华小洋房 精装修交付 诚心出售,,该房是纯商品房，税费主要有:个税是1%、首套房契税是1.5%。二套是2%，三套及以上是3%,,,配套完善，生活设施齐银行购物方便菜场商场饮食近在咫尺生活起居很方便。,,,,小区门口就是河海路公交站向东五百米可上高架向西300米是河海地铁站,,,,,,
110,房东诚售世茂一期精装3室，户型方正，全天采光,228万,18617,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,中楼层 (共16层),122.47㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-18,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房精装三开间朝南，楼栋位置好，全天采光,,此房面积90平朝上，首套需交1.5个点契税，二套需交2个点契税，三套及以上需交3个点,,,小区紧靠紫荆公园，恐龙园，旁边还有东经120与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,小区是由世开发商建造，物业也是开发商自带的物业，小区地理位置优越，环境优美。,,,,,,,,,
111,房东诚售世茂一期精装3室，满五唯一省个税，看房方便,198万,14741,新北区恐龙园,世茂香槟湖一期,3室2厅1厨2卫,低楼层 (共31层),134.32㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-11-04,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,此房满五唯一省个税，精装三开间朝南，楼栋位置好，全天采光,,此房面积90平朝上，首套需交1.5个点契税，二套需交2个点契税，三套及以上需交3个点,,,小区紧靠紫荆公园，恐龙园，旁边还有东经120与在建的龙湖天街跟大型菜场，还有规划的地铁6号线,小区是由世开发商建造，物业也是开发商自带的物业，小区地理位置优越，环境优美。,,,,,,,,,
112,恐龙园旁 香 树 湾 福 园   诚心出售,115万,11735,新北区恐龙园,香树湾福园,3室2厅1厨1卫,低楼层 (共16层),98㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2020-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",,,,,商场：环球港、迪诺水镇 恐龙园：华山医院、武进医院邮局：河海邮政支局银行：交通银行、建设银行、中国银行、,"建筑年代：2012年建成 建筑类型：塔楼,板塔结合 化 率：25% 容 积 率：1.30 物 业 费：0.45元/平米 物业办公地点：小区正门门口 小区入口：小区共2个大门，南门和北门，其中南门为正门",,,,,,,,,
113,恐龙园旁精装好房，好户型，好采光,185万,15812,新北区恐龙园,香树湾福园,3室2厅1厨2卫,高楼层 (共9层),117㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-10-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,诚心出售，户型好，，，，，，，，，，，，，，，，，，，，..,,,,小区经典户型，户型好啊，无改动，，， ，，，，，，，，，，，，，，，，，，，，，，，，，,,小区和恐龙园对望，过个马路就是，小区成熟，绿化高，安静舒适！！！！！！！！！！！！！！！！,适合刚改客户和改善型客户，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，,精装好房，虽然住过人，但是保养很好，，，，，，，，，，，，，，，，，，，，，，，，,,,,,,,
114,龙湖原山独栋别墅419平方毛坯房，满二年有钥匙大花园,1460万,34845,新北区恐龙园,龙湖原山,9室3厅1厨5卫,低楼层 (共3层),419㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2021-10-24,商品房,暂无数据,别墅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,"卖点：
小区生活设施齐全。商场，chao市，菜场",,,,,配套齐全，有商场，chao市，菜场，银行，购物街，近万达、恐龙园、奥体等,龙湖原山小区，物业管理很好，全部人车分流哦，地上完全看不到车辆，安全性很好,,,公交：恐龙园公交枢纽，公交527、215路恐龙谷温泉站下；50、53、99、302、Y2路龙沧路河海路下,,,暂无数据,,,
115,房东诚售世茂四期湖景房，前排无遮挡，全天采光,300万,21586,新北区恐龙园,世茂香槟湖四期,4室2厅1厨2卫,高楼层 (共33层),138.98㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房看房方便，四期最前排湖景房，视野无遮挡，全天采光,,此房不满五唯一，需交1个点个税，且不满90平，首套需交1个点契税，二套需交1.5个点契税，3套及以上3个点契税,,,小区紧靠紫荆公园，恐龙园，旁边就是东经120与在建的龙湖天街跟大型菜场，还有规划好的地铁6号线,小区一共4栋楼，人车分流，地理位置优越，环境优美，物业严谨，认真负责,,,,,,,,,
116,该户型方正，房间内不易造成面积浪费，动区静区分明,60万,11606,新北区恐龙园,世茂广场,1室1厅1厨1卫,低楼层 (共25层),51.7㎡,复式,暂无数据,板塔结合,南,框架结构,精装,六梯五十八户,有,暂无数据,2022-11-23,商品房,2016-03-23,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装办公使用，朝南全天采光，地理位置优越。,,,,,小区紧靠恐龙园与紫荆公园，地理位置优越，环境优美，旁边还在在建的龙湖天街。,,,房子为精装修，可拎包入住，采用环保装修材料，设计清爽简约，看房方便。。。,小区门口就有公交车站台，还有规划的地铁五号线，出行十分便捷。。。。。。。,,,,,,
117,二期小高层，楼上楼下跃层户型，诚心出售，看中价可谈,319万,19970,新北区恐龙园,世茂香槟湖二期,4室2厅1厨2卫,低楼层 (共18层),159.74㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-10-30,商品房,2023-10-12,普通住宅,未满两年,非共有,无抵押,已上传房本照片,精装房，配套成熟，小区环境优美，房东诚心出售，看房方便。,生活设施齐 银行 农贸菜场 商场 饮食近在咫尺 生活起居很方便,首套房契税是1.5%，二套是2%，三套及以上是3%，首套房契税是1.5%，二套是2%，三套及以上是3%,,,,,,,公交，地铁，公共交通自行车，交通出行方便。出行方式多种可自由选择出行,,,,,,
118,新出  恐龙园边  香树湾别墅 边户 位置好 带花园,578万,26760,新北区恐龙园,香树湾花园,4室2厅1厨3卫,低楼层 (共3层),216㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2021-07-27,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,"带院子的别墅，小区环境优美，住户素质高。
户型方正，私密好",,1：契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%++ 2：税：满两年不论面积 全免，不满二年 收全额的5.6% 3：个人所得税：满两年1%，满五年且出售方名下住房免个人所得税,,,,房为江阴产权，物业为新城悦物业，有合院，联排，独栋，环境优美，门岗有保安24h值班。,,房东自住，新装修的，保养好，拎包入住，带花园 提前预约看房  诚心出售,,,,暂无数据,,,
119,龙湖原山大平层 238平纯毛坯四房 中层诚卖,560万,23629,新北区恐龙园,龙湖原山,4室2厅1厨3卫,中楼层 (共17层),237㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-05-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房小高层，中间楼层，户型方正，楼间距宽，无遮挡,,此房满2，不唯一，需交2个税，1个点个税，客户首套房需交1.5个点契税，二套2个点契税，3套及以上3个点契税,,,小区紧靠恐龙园，紫荆公园，旁边就是东经120，与在建的龙湖天街跟大型菜场.,小区环境优美，绿化高，物业严谨，非小区业主不得进入，24小时随叫随到,,,,,,,,,
120,长兴秀江南 4室2厅 南,650万,31250,天宁区恐龙园,长兴秀江南,4室2厅1厨4卫,低楼层 (共5层),208㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2021-11-21,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,暂无数据,,,
121,香树湾花园别墅  精装修边户  院子大  恐龙园旁,680万,31628,新北区恐龙园,香树湾花园,4室1厅1厨3卫,低楼层 (共3层),215㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2022-09-24,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,此房江阴产权，满五唯一，精装修，边户，迪诺水镇，恐龙园在旁,,首套房1.5个点，二套房2个点，三套房3个点。该套房源满五而且是唯一住房，免个人所得税。,,,,这是一个纯别墅小区，绿化环境好，人文素质好，旁边就是恐龙园，还有迪诺水镇,该小区是别墅小区，绿化环境好，房子利用空间大，适合一家老小入住,,,,,暂无数据,,,
122,恐龙园旁 复式洋房 新装修保养好 看房方便,325万,19407,新北区恐龙园,香树湾福园,5室2厅1厨3卫,高楼层 (共5层),167.47㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-04-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房复式有阳光房，三朝南，精装修，配套齐全,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,1、小区生活设施齐全，菜市场、银行，交通便捷； 2、小区内有健身器材，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,,,,
123,H装 带地暖 恐龙园旁 大平层 G端品质小区,550万,22917,新北区恐龙园,龙湖原山,4室2厅1厨3卫,高楼层 (共17层),240㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，采光充足，交通便利，生活配套齐全。,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,1：小区大门外就是菜市场，水果店，银行，小区配有幼儿园。2：小区内有健身器材，可提供小区居民使用.3：小区内停车充足，设立地上停车场和地下停车库,小区环境优美，与恐龙园、环球港相望，为社区居民提供了优美的生活环境。龙湖社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等,,,,,,,,,
124,龙湖原山大平层，地理优越，高档小区，品质装修,500万,21037,新北区恐龙园,龙湖原山,4室2厅1厨3卫,高楼层 (共17层),237.68㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-10-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地处恐龙园位置优越，景观佳，龙湖物业 小区品质好 物业管理到位,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3%,,,,,该房处于高档小区，物业认真负责，精装修，面积较大，空间宽敞，比较适合改善型的,房主诚心出售，房子装修好的，全屋hao华装修，地暖，中yang空调，设施全套，包含一车位,,,,,,,
125,户型佳！纯毛坯！楼层好！小区环境优质！,495.6万,21000,新北区恐龙园,龙湖原山,4室2厅1厨3卫,中楼层 (共16层),236㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,一梯两户,有,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便·,,,,,,,,,,
126,恐龙园旁豪 装2房 中 央 空调 地暖 全天采光,170万,19112,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,高楼层 (共32层),88.95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-12,商品房,2019-09-11,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层光线好,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，房子无抵押,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，房子无抵押，过户全程陪同,,,,,,,,,,,,
127,世茂一期 房东诚心出售  无抵押 换房诚售,125万,14725,新北区恐龙园,世茂香槟湖一期,2室2厅1厨1卫,低楼层 (共31层),84.89㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-07-07,商品房,2017-05-02,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满二，楼层好，视野宽阔，欧式装修，交通便利，视野开阔.,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,此房房型漂亮，双朝南，阳台设计，阳台长达6米。主卧带飘窗和内卫。明厨明卫。,,此房为世茂新的一期，交付时间2009年，小区新，楼道和小区公共区域环境干净整洁。 自己的物业公司，物业服务好，收费低。 人车分流，24小时安保。,,,,,,,,,
128,香树湾别墅旁 云景舒适精装房 诚意出售,80万,9127,新北区恐龙园,香树湾花园,2室2厅1厨1卫,低楼层 (共25层),87.66㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-11-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,别墅区 香树湾云景 舒适3房 诚意出售,业主购买的首套房，保养好，现因工作调动，诚意出售，看房方便。,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,,,
129,景观房，前面没遮挡视野旷阔，采光充足，交通便利,251万,17827,新北区恐龙园,世茂香槟湖二期,3室2厅1厨2卫,低楼层 (共22层),140.8㎡,平层,暂无数据,暂无数据,西南,未知结构,精装,两梯三户,有,暂无数据,2023-07-13,商品房,2019-10-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,景观房，前面没遮挡视野旷阔，采光充足，交通便利,此房精装四十几万，业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,,,,,,,
130,50W精装 4房2卫 边户 入住仅1年 景观房 拎包住,330万,23987,新北区恐龙园,世茂香槟湖四期,4室2厅1厨2卫,高楼层 (共33层),137.58㎡,平层,108.67㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-27,商品房,2020-03-02,普通住宅,暂无数据,共有,有抵押 江南农村商业银行 业主自还,已上传房本照片,50W精装 4房2卫 边户 入住仅1年 景观房 拎包住,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,此房满二年 产权清晰 个人所得税1%  契税：首套1.5% 二套2% 第三套及以上3%,,,,,,精装修品牌家具家电；全明设计；空间设计利用合理；适合一家三口带老人居住,,,,,,,
131,恐龙园旁香树湾云景精装修、全天采光、满五唯.一,99万,11294,新北区恐龙园,香树湾花园,2室2厅1厨1卫,高楼层 (共25层),87.66㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-09-12,商品房,2012-08-30,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房精装修，发现生活温度，适合刚需、婚房等需求,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,,,,,
132,地暖房、有车位、恐龙园、世茂广场旁 时代上院精装房,155万,17574,新北区恐龙园,九龙仓时代上院,3室2厅1厨1卫,中楼层 (共26层),88.2㎡,平层,68.74㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-04,商品房,2013-11-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装修地暖房、有车位，3开间朝南、拎包住,业主现诚心出售，证件齐全，欢迎随时看房，随时恭候，房子无抵押,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，房子无抵押，过户全程陪同,,,,,,,,,,,,
133,满5 唯 一 一梯一户 精装 好楼层 采光佳 随时看,215万,16570,新北区恐龙园,香树湾福园,3室2厅1厨2卫,中楼层 (共11层),129.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-10-02,商品房,2010-10-21,普通住宅,暂无数据,共有,无抵押,已上传房本照片,满 五唯 一，精装修，得房率高，前后无遮挡,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,商场：环球港、迪诺水镇 恐龙园：华山医院、武进医院邮局：河海邮政支局银行：交通银行、建设银行、中国银行、龙湖天街在建,,,,,,,,,,
134,恐龙园旁 世茂香滨湖一期  房东诚心 价格可谈,139万,16599,新北区恐龙园,世茂香槟湖一期,2室2厅1厨1卫,低楼层 (共32层),83.74㎡,平层,62.25㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-05-22,商品房,2011-04-11,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区地理位置好，位于交通便利，出小区就是BRT站牌，小区配套设施齐全，银行、菜市、医院、商务会所，小区环境幽雅，绿化面积大，家里家室家电齐全，可带衣物直接入住！看房方便，提前预约！欢迎致电！,,,,,,,,,,
135,此房动静分离，交通方便，业主诚心出售,163万,18303,新北区恐龙园,世茂香槟湖四期,3室2厅1厨1卫,低楼层 (共33层),89.06㎡,平层,70.35㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-26,商品房,2018-04-02,普通住宅,暂无数据,共有,有抵押 40万元 中国农业银行,已上传房本照片,动静分离，采光充足，交通方便，配套设施齐,房子装修了基本未住，没有出租过，品牌家具家电，装修设施各方面都比较新，贷款房东自己可以还,房子装修了基本未住，没有出租过，品牌家具家电，装修设施各方面都比较新，贷款房东自己可以还,,,,世茂香槟湖四期位于常州新北区太湖东路世茂香槟湖四期期，是由世贸商城有限公司建成的，物业公司为上海世茂南京物业服务有限公司 ，人车分流,,,,,,,,,
