,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,户型介绍,周边配套,房源核验码,查询房管备案记录,适宜人群,税费解析,权属抵押,交通出行,售房详情,装修描述,别墅类型,用水类型,用电类型
140,清风公园旁保利公园九里新小区房东诚心出售次新房,249万,18991,钟楼区北港,保利公园九里,4室2厅1厨2卫,中楼层 (共27层),131.12㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,2019-11-20,普通住宅,暂无数据,共有,有抵押 129万元 中国银行 业主自还,已上传房本照片,"卖点：
卖点： 卖点： 卖点： 卖点： 卖点： 核卖点： 卖点..","小区介绍：
小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 小区介绍： 1、环境优雅，低密度社区 2、小区绿化高，地理位置得天独厚，出行方便！","户型介绍：
户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 户型介绍： 房源优势正规户型，日照充足，空气流畅，格局合理，没有浪费面积，利用空间大，是 的好户型",,,,,"税费解析：
税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 税费解析： 房子是商品房，这套房子在交易的时候需要缴纳1.5%的契税（首套房），1%的个人所得税。",,,,,,,
141,青枫公园，龙湖天街，地铁口，交通便利,108万,16992,钟楼区北港,青枫公馆青枫花园,1室1厅1厨1卫,中楼层 (共24层),63.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-13,商品房,2020-04-21,普通住宅,暂无数据,非共有,有抵押 60万元 银行 客户偿还,已上传房本照片,青枫公园 2号地铁口 大型商场旁 生活配套齐全,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,,"：
成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需。",,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,,
142,宝龙国际花园，好楼层，好地段，必买好房,120万,14009,钟楼区北港,宝龙国际花园,2室2厅1厨1卫,中楼层 (共32层),85.66㎡,平层,82.86㎡,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-10-22,商品房,2019-10-10,普通住宅,暂无数据,共有,有抵押 2万元,已上传房本照片,房东诚心卖，楼层中高层，全天采光,绿化优美，四季有花，四季有果，出门就是青枫公园，空气清新，景色优美。整体小高层布局，采光充足,,,,,,税费解析： 个税：1% 契税 首套1% 二套1%三套3%具体跟客户的实际.,权属抵押： 此房 产权清晰    独立产权    正常交易     可正常过户,,,,,,
143,金玉苑电梯房  3房简装 有钥匙 随时看房,100万,9168,钟楼区北港,金玉苑,3室2厅1厨1卫,中楼层 (共9层),109.08㎡,平层,100㎡,板楼,南,钢混结构,简装,一梯两户,有,暂无数据,2023-02-22,商品房,2019-11-06,普通住宅,满两年,共有,有抵押 平安银行，77万左右，客户正常付款就行 客户偿还,已上传房本照片,青枫公园旁，地铁2号线，楼层好，采光好客厅宽敞舒适,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，，银行 美食等 人文素养好，乐于助人，相处和谐,干净舒适，两房朝南双阳台 主卧房间都朝南，厨房卫生间都有窗户，通风效果好,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住,,,,,,,,,,,
144,青枫公园旁金色领寓 精装小三房 小高层边户户型,123万,13442,钟楼区北港,金色领寓,3室2厅1厨1卫,中楼层 (共11层),91.51㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,暂无数据,2022-11-14,商品房,2020-05-29,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
145,雅居乐棠颂 低楼层 精装4房 采光良好  配套齐全,238万,18489,钟楼区北港,雅居乐·路劲棠颂,4室2厅1厨2卫,低楼层 (共20层),128.73㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-05-27,商品房,2021-08-06,普通住宅,满两年,共有,有抵押,已上传房本照片,此房户型方正 四室两厅一厨两卫 高楼层 采光充足 配套完善,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
146,三开间朝南，楼层好，视野开阔，交通便利，采光充足,160万,12527,钟楼区北港,御源林城西区,4室2厅1厨2卫,低楼层 (共11层),127.73㎡,平层,109.03㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-11-12,商品房,2013-06-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好，采光充足，配套齐全，三室二厅一厨两卫。客厅带阳台，视野开阔,,产权清晰，无纠纷； 房东置换，诚心出售， 看房方便，看中即签！ 随时恭候您的来电,,042468451826,三开间朝南，楼层好，视野开阔，交通便利，采光充足,,,,,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,
147,精装拎包住，楼层好，位置好，视线采光好,105万,12381,钟楼区北港,枫林雅都,2室2厅1厨1卫,中楼层 (共11层),84.81㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2023-05-25,商品房,2017-07-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,精装拎包住，楼层好，位置好，视线采光好,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
148,青枫公园旁河枫御景 精装三房两卫 中间楼层 看房方便,210万,16698,钟楼区北港,河枫御景花苑,3室2厅1厨2卫,中楼层 (共24层),125.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-01-29,商品房,2016-04-27,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满..,,042469461113,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,,,,,,,,,
149,枫林雅都 3室2厅 南 北,175万,13252,钟楼区北港,枫林雅都,3室2厅1厨2卫,中楼层 (共18层),132.06㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-05-28,商品房,2017-01-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,
150,青枫公园旁精装大三房，低密度小区，环境优美,250万,18116,钟楼区北港,青枫壹号,4室2厅1厨2卫,高楼层 (共17层),138㎡,平层,114.86㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-08-17,商品房,2014-03-06,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
151,青枫公园旁地铁口 小区 精装三房 坐拥公园全景,168万,15503,钟楼区北港,金色领寓,3室2厅1厨1卫,中楼层 (共25层),108.37㎡,平层,86.53㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-07-29,商品房,2014-02-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,客厅宽敞舒适，使用率高 卧室温馨 居住理想小区 ，满五,小区环境：绿化优美，四季有花，四季有果，出门就是青枫公园，空气清新，景色优美。整体小高层布局，采光充足。,房龄比较新的，两房朝南一房朝北 边户 ，通风效果好，采光无遮,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活..,,,,,,,,,,,
152,枫林雅都 3室2厅 南 北,175万,13252,钟楼区北港,枫林雅都,3室2厅1厨2卫,中楼层 (共18层),132.06㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-05-28,商品房,2017-01-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,
153,金玉苑精装修 顶楼复式电梯房   高楼层 采光良好,210万,12963,钟楼区北港,金玉苑,6室2厅1厨2卫,高楼层 (共9层),162㎡,复式,暂无数据,板楼,南,钢混结构,毛坯,一梯一户,有,暂无数据,2022-05-31,商品房,2011-12-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正 六室两厅一厨两卫  采光充足 配套完善 交通方便,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻..,,,,,小区环境优美，舒适安静，适宜居住，宝龙物业，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
154,此房满五唯一，3房，楼层好，位置好，视线采光好,125万,14793,钟楼区北港,河枫御景花苑,3室2厅1厨1卫,高楼层 (共24层),84.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-11-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房满五唯一，3房，楼层好，位置好，视线采光好,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
155,青枫公园 宝龙广场旁 精装修 户型方正 业主诚心出售,180万,13861,钟楼区北港,宝龙国际花园,3室2厅1厨2卫,高楼层 (共32层),129.87㎡,平层,104.88㎡,板塔结合,南,钢混结构,精装,一梯三户,有,暂无数据,2022-05-13,商品房,2013-04-03,普通住宅,暂无数据,非共有,有抵押 120万元 建行,已上传房本照片,卖点： 近青枫公园，地铁2号线，楼层佳，采光好，..,小区介绍： 小区环境优美，与青枫公园、童子河休闲观光绿化带相望，为社区居民提供了优美的生活环境。金玉苑社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务..,户型介绍： 户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,税费解析： 契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,,,,,
156,配套有地铁。二号线就在小区的楼下。商场、宝龙商场、,175万,12852,钟楼区北港,万水美兰城,3室2厅1厨2卫,低楼层 (共32层),136.17㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-11,商品房,2020-07-02,普通住宅,暂无数据,非共有,有抵押 140万元,已上传房本照片,小区地理位置佳，绿化45%，居民素质高；有健身器材，露天泳池，小型球场，儿童幼儿区，可供小区居民使用；停车位充足，建有地上停车场和地下车库,幼儿园：西林幼儿园，大型商场：万泰广场、上海家具大卖场。医院：妇幼+第/一医院分院，西林医院。银行：中国邮政银行，江南农村银行。公园：青枫公园,,首套房90㎡以下 1%，90㎡以上1.5%；二套房90㎡以下1%，90㎡以上2%；三套房不论面积统一3%。2.增值税： 满两年免缴；不限售且不满二年的5.6%。 3.个人所得税： 满两年1%；满五唯一免缴,042427898609,配套有地铁。二号线就在我们小区的楼下。商场、宝龙商场、龙湖天,,,,,,,,,
157,精装 3开间朝南，米多装饰设计，视线好,186万,16148,钟楼区北港,雨润城,3室2厅1厨1卫,高楼层 (共32层),115.19㎡,平层,暂无数据,板楼,东南 南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-03,商品房,2019-04-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满两年，精装修，边户，诚心出售,小区环境优美 人车分流 绿化很好 有健身娱乐设施 自带喷泉水池,,,,,,商品房 满两年免增值税 首套房个税为一个点契税是一点五 二套房契税加0.5,,出小区大门左拐有共享单车 离小区700米出为龙江高架往南到湖塘往北到新北区,,,,,
158,金玉苑精装修2房  中间楼层 采光良好,102万,12345,钟楼区北港,金玉苑,2室2厅1厨1卫,低楼层 (共6层),82.63㎡,错层,73.26㎡,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-31,商品房,2011-12-23,普通住宅,满五年,共有,无抵押,已上传房本照片,此房户型方正 两室两厅一厨一卫  采光充足 配套完善 交通方便,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻..,,,,,小区环境优美，舒适安静，适宜居住，宝龙物业，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
159,青枫壹号别墅 纯毛坯 看房方便 配套齐全,950万,32370,钟楼区北港,青枫壹号,6室2厅1厨4卫,低楼层 (共3层),293.49㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-12-11,商品房,2019-02-28,别墅,暂无数据,共有,有抵押,已上传房本照片,此房户型方正 六室两厅一厨 高楼层 采光充足 配套完,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,暂无数据,,
160,青枫公园西门，景瑞曦城三房，房东诚心出售,180万,13066,钟楼区北港,景瑞曦城,4室1厅1厨2卫,低楼层 (共18层),137.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-29,商品房,2009-09-10,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"：
青枫公园景观房 精装好房 随时看房",,,小区边有三个公园，二号线地铁就在家门口，公交23，龙江路高架就两个红绿灯。。。。。,,,老人，因为离青枫公园近，每天饭后早晨都可以去公园散散步，跳跳舞，锻炼身体！也适合带小孩上学的家庭，骑车很快就到校园了 ！也适合在常州打拼多年想定居的小夫妻，相比与新北、湖塘的地段，价格不高,首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2.税： 满两年免 不满二年 收全额的5.3% 3.个人所得税： 满两年1% 满五免个人所得税,,,,,,,
161,景瑞曦城 青枫公园边 上下3层 实际面积大,318万,14927,钟楼区北港,景瑞曦城,5室2厅1厨3卫,高楼层 (共18层),213.04㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-29,商品房,2021-07-18,普通住宅,暂无数据,非共有,有抵押 260经营贷,已上传房本照片,精装拎包住，楼层好，位置好，视线采光好，上下三层,,,"常州市妇幼保健医院500米，D铁2号线（延星港路），BRT,52路,213路，39路公交车，500米 上高架，宝龙商场，惠农生鲜，龙湖商场等",,,,买家首套契税：面积＜ 90平米1%，面积≥90平米1.5%；二套契税：面积＜ 90平米1%，面积≥90平米2%；三套契税：3%。个人所得税卖家满五唯一免征。商铺公寓地产3%契税。房屋契税时间不满2年，缴纳5.3%增值税,,,,,,,
162,龙湖天街旁 精装修4房 地暖新风边户 业主诚心出售,228万,16655,钟楼区北港,保利公园九里,4室2厅1厨2卫,中楼层 (共33层),136.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-01,商品房,2017-02-03,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，户型通透,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 全天采光。房型方正视野好。干湿分离 格局分明，此房是保利收尾完工的 2019年交付。,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
163,100米到公园，50米到地铁，精装3房一步地铁一步公园,116万,10947,钟楼区北港,港龙华庭,3室1厅1厨1卫,中楼层 (共6层),105.97㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2021-08-29,商品房,2019-03-19,普通住宅,暂无数据,共有,有抵押 45万元,已上传房本照片,"配套成熟,交通便利,居住舒适，距离青枫公园，100米距离地铁","：
小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行  美食等 人文素养好，乐于助人，相处和谐","客厅宽敞,舒适,使用率高温馨,居住理想。3.厨房设施齐全,保养干净清爽",,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,,,,,,
164,保利公园九里精装四房 客厅南北阳台 中间楼层全天采光,228万,16418,钟楼区北港,保利公园九里,3室2厅1厨2卫,中楼层 (共33层),138.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-12-02,商品房,2016-08-12,普通住宅,暂无数据,共有,无抵押,已上传房本照片,青枫公园 客厅宽敞舒适，使用率高 ，朝南户型,小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 美食等 人文素养好，乐于助人，相处和谐,户型 朝南舒适，全天采光。房型方正视野好。干湿分离 格局分明,成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,,,,,
165,雨润城房东换房出售同小区好房户型楼层佳,135万,11696,钟楼区北港,雨润城,3室2厅1厨1卫,低楼层 (共32层),115.43㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-09-21,商品房,2019-02-07,普通住宅,暂无数据,共有,有抵押 业主自还,已上传房本照片,次新小区 青枫公园位置好 得房率高 保养新 户型方正 ...,小区地理位置好 绿化好 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 地面人车分流保安：小区内24保安巡逻,,,,,小区环境优美，舒适安静，适宜居住，服务有保障。出门即有公交菜场，银行 商场 美食等 人文素养好，乐于助人，相处和谐！配套齐全，公园地铁医院商场,"1.契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
166,高楼层，视野开阔，采光充足，交通便利，出门即是..,220万,15603,钟楼区北港,景瑞曦城,4室2厅1厨2卫,高楼层 (共18层),141㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2021-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高楼层，视野开阔，采光充足，交通便利，出门即是..,,楼层好，采光充足，配套齐全，客厅带阳台，视野开阔，全天采光.,,,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,房东处理财产，诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，房东委托挂牌，诚心出售，价格以房东为准。产权清晰，无任何经济纠纷，请放心考虑。,,,,
167,万水美兰城别墅 毛坯 西边户430平,950万,22094,钟楼区北港,万水美兰城,8室3厅1厨3卫,低楼层 (共4层),430㎡,,暂无数据,,南,钢混结构,精装,,,暂无数据,2020-05-31,商品房,暂无数据,别墅,暂无数据,共有,有抵押 200万元 客户偿还,未上传房本照片,1单价2万不到。2交通方便环境好。3西边户实际使用面积多.,小区面积9.6万平方米，建筑面积24万平方米。小区前面别墅后面高层，实行人车分流。小区内景观主要集中在别墅区，保安24小时巡逻。,本别墅是西边户，北进户，南边院子还有门，南边有80平院子加西侧院子合计100多平。北侧有车库2个，边上还可以停2部车。总4层，地下壹层，地上3层。,,,,,契税： 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％. 2、 增值税： 满二年不论面积全免、 不满二年收全额的5.3％、 3、个人所得税： 满二年不满5年1％（视情况而定个税可清）、,,,,,联排,,
168,宝龙旁，梧桐香郡主卧面积变大，采光好装修材料自选,137.5万,16317,钟楼区北港,梧桐香郡花园西区,2室2厅1厨1卫,高楼层 (共22层),84.27㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,有,暂无数据,2021-12-26,商品房,2017-12-11,普通住宅,暂无数据,共有,有抵押 50万元 银行 客户偿还,已上传房本照片,此房精装修保养的很好，拎包就可入住，三开间朝南户型好,小区位于钟楼北港玫瑰路上梧桐香郡西区，是2017年交付的新小区，小区环境好，人车分流。楼栋间距大，楼与楼之间没有遮挡，不影响采光,小区位于钟楼北港玫瑰路上梧桐香郡西区，是2017年交付的新小区，小区环境好，人车分流。楼栋间距大，楼与楼之间没有遮挡，不影响采光,家门口宝龙商场，旁边青枫公园，常州妇幼保健院，地铁2号线青枫公园站，地段好，生活配套齐全,,,,,,,,,,,
169,次新小区 近青枫公园位置好 得房率高 房东诚售,117万,13287,钟楼区北港,雨润城,2室1厅1厨1卫,中楼层 (共32层),88.06㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-20,商品房,2019-01-11,普通住宅,满五年,非共有,无抵押,已上传房本照片,次新小区 近青枫公园位置好 得房率高 房东诚售,小区环境优雅，绿化好天然氧吧，水气充足空气好，配套成熟，居住舒适。人文素养好，宁静和谐，好环境总会给人带来好心情。,,,,,,1.契税:首套房90平以下 1%，90平以上1.5%；二套房90平以下1%，90平以上2%；三套房不论面积统一3%。2.增值税： 满两年不论面积全免，不满二年收全额的5.6%。3.个人所得税：满两年1%，满五唯一免个人所得税。,,,房东诚心出售，价格可以再谈，欢迎看房，随时恭候，本公司经过层层筛选，产权清晰，无任何经济纠纷，请放心考虑。,,,,
170,青枫公园旁 万水美兰城 精装修 拎包即住,132万,14844,钟楼区北港,万水美兰城,2室1厅1厨1卫,低楼层 (共32层),88.93㎡,平层,71.57㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-08,商品房,2015-02-16,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五唯一精装修拎包入住……,小区 配套设施齐全 人员素质高 物业好 环境优美 配套齐全……,,,,,本房精装修 拎包即住 省去了装修的时间，首付低一般工薪人员都可以购买……,,,小区门口有公交，共享单车，300米处有地铁2号线和BRT，龙城高架 出行方便……,,,,,
171,枫逸人家 2房 高楼层 采光视野好,115万,12942,钟楼区北港,枫逸人家,2室1厅1厨1卫,高楼层 (共11层),88.86㎡,平层,74.79㎡,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-02-09,商品房,2011-12-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,楼层好 采光好 无遮挡 视野开阔,小区绿化好 环境优美 干净整洁 停车方便 入住率高 人文气息浓厚 居住舒适 出行方便,,1公园：青枫公园、运河景观带 2购物：汇农生鲜、宝龙广场、龙湖天街 3医院：常州妇幼保健医院 4交通：龙江路高架、地铁2号线,,,,,,,,精装修 房子保养的好 拎包入住 装修设计合理 居住舒适 功能间分明,,,
172,御源林城西区 2室1厅 南,131万,14193,钟楼区北港,御源林城西区,2室1厅1厨1卫,低楼层 (共22层),92.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-28,商品房,2018-08-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,
173,青枫公园旁景瑞曦城房东诚心出售,120万,13490,钟楼区北港,景瑞曦城,2室2厅1厨1卫,低楼层 (共30层),88.96㎡,平层,65.21㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-13,商品房,2012-10-18,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区介绍：小区介绍：小区介绍：小区环境优美，舒适安静 适宜居住，出门即有公交菜场，银行 市 美食等 人文素养好，乐于助人，相处和谐,"税费解析：税费解析：1、契税：首套房，成交价的1.5％, 二套房，成交价的2% 2、（个税：产证满五年且是房主在本市唯一一套住房，免收个税）此房产证满5年，但非房主在本市唯一一套住房，故缴税成交价的1%。",,,042494736811,卖点：卖点：：清枫公园 客厅宽敞舒适，使用率高 ，朝南户型,,配套：配套：成熟社区，配套设施齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切生活所需,,,,,,,
174,青枫公园旁 精装修两房 看房方便  拎包入住,115万,12763,钟楼区北港,青枫颐景花园,2室2厅1厨1卫,中楼层 (共29层),90.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-13,商品房,2019-02-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房 户型方正 采光充足 精装修拧包入住 配套完善..,,"户型介绍：
西边户，采光好，前后无遮挡，两房朝南，两房朝北，户型方正，得房率高","配套：
小区人文环境优良，物业和保安到位，您可以放心入住。：配套齐全，小区出门就是餐饮，购物广场，医院，..",,,,"税费解析：
契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%2税：满两年不论面积 全免不满二年 收全额的5.6%3个人所得税：满两年1%满五免个人所得",,,,,,,
