,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
459,旭辉.都会上著 3室2厅 南 北,240万,20461,经开区青龙,旭辉.都会上著,3室2厅1厨2卫,中楼层 (共18层),117.3㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,,,,,,,,,,,,,,,,
460,九洲御河湾临天宁吾悦，出行便利诚心卖,210万,15431,天宁区青龙,御河湾,3室2厅1厨2卫,高楼层 (共25层),136.09㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局好，户型方正 楼间距大 每个房间都有飘窗 明厨明卫,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，天宁吾悦,满2年，免增值税。 契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。未满5年成交价的1%,,,小区介绍：1：小区生活实施齐全，商场，*市，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,,,,,,,,
461,小区环境优雅，配套成熟，交通便利，居住舒适,496万,28579,天宁区青龙,央著瑞庭,3室2厅1厨3卫,低楼层 (共17层),173.56㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-17,商品房,2023-01-11,普通住宅,未满两年,非共有,有抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,,1 契税：首套房 90平方以下成交价的1%，90平方以上成交价的1.5%，二套房90平方以上成交价的2%，三套房无论面积大小都是3% 2 增值税：产证满2年免收增值税，未满2年征收5.6% ； 3 个税：产证满五年且是唯一住房，免收个税，未满5年是成交价的1%,,,该小区环境好，旁边就是紫荆公园，休闲散步好处去，为成熟社区，环境优雅，配套完善，交通便利，居住舒适。,,,该房为开发商精装修，小区位置好远离高架。业主从未未住，保养好。户型方正，双阳台。地暖 空调 新风系统 装标很高。,,,,,,
462,阳光龙庭三朝南户型，精致装修，采光视野无任何遮挡,245万,19919,天宁区青龙,阳光龙庭,3室1厅1厨2卫,中楼层 (共33层),123㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2019-12-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,阳光龙庭三朝南户型，精致装修，采光视野无任何遮挡,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,,,,,"近龙城大道高架、青洋高架，自驾出行方便。小区南门永宁北路上有公交枢纽。有10、14、31、47、H1等多条公交，,李火车站，长途汽车站较近，出行方便",,,,
463,龙湖郦城 大平层 四房两厅 精装修 拎包即住 视野佳,530万,23874,天宁区青龙,龙湖香醍漫步北区,4室2厅1厨3卫,高楼层 (共32层),222㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2020-09-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 130万元 江苏银行 客户偿还,未上传房本照片,三面通透 楼层好 视野佳 景观好 全天阳光普照 配套齐全 交通便利,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,三间卧室朝南 带一朝南的阳台 一卧朝北 客厅朝西 三面通透 景观和视野都棒棒的,,,,,
464,永宁雅苑 89平 2房精装修  150万,150万,16702,天宁区青龙,永宁雅苑,2室2厅1厨1卫,高楼层 (共30层),89.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
465,彩虹城 115平 精装 3房160万 满2年,160万,13914,天宁区青龙,彩虹城,3室2厅1厨1卫,高楼层 (共21层),115㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
466,三开间朝南，动静分离，红梅公园，生活配套齐全,98万,7979,天宁区青龙,五角场东村东区,3室2厅1厨2卫,高楼层 (共6层),122.83㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,三开间朝南，动静分离，红梅公园，生活配套齐全,,朝阳综合市场，大润发*市，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,此房没有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,小区边有BRT快速公交，即将通行的地铁2号线，有高架，畅通常州各个地方,,,,
467,青龙 景瑞天玺 106平3房 277万,277万,26212,天宁区青龙,景瑞天玺,3室2厅1厨2卫,低楼层 (共22层),105.68㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 15万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
468,小区物业好，环境优美，高区采光无遮挡，,398万,24568,天宁区青龙,龙湖香醍漫步北区,4室2厅1厨2卫,中楼层 (共32层),162㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯两户,有,暂无数据,2021-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区物业好，环境优美，高区采光无遮挡，,,公园：紫荆公园、翠竹公园 银行：中国银行永宁北路支行、建设银行永宁北路支行、工商银行龙锦路支行。 医院：第二人民医院分院、红梅街道卫生所、武进医院 ：、常发广场,,,,,,,,,近永宁北路交通枢纽，有多条公交线路：B1路、B12路、B13路、11路、35路、18路、36路、47路、31路，自驾近龙城大道高架，青洋高架。出行方便。,,,,
469,香溢紫郡经典三居户型楼层不高上下方便精装拎包住,143万,15344,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共30层),93.2㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,有,暂无数据,2020-08-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,本房满两年，业主诚心出售，楼层好，装修好，出行方便,房东诚心出售，生活片区更换 房屋无贷款， 价格可以沟通 看房也方便,上高架，近地铁，交通方便，小区配置幼儿园，教育一体化，天宁购物,,,,香溢紫郡，开发商是新城房地产，封闭式小区，小区物业好，绿化到35%。全天保安巡逻。,,适合刚需、改善、婚房等需求，便拎包入住，适合老年人居住和不喜欢太高楼层的客户,,,,,,,
470,楼层好采光佳户型方正看房方便11111,186万,17029,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共29层),109.23㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-12-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层不错光线好，随时看房,业主人很好，现在诚心出售，证件齐全，欢迎看房，一般都可以看的,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,"此房产权清晰，房源真实，业主诚心出税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年..",,,,,,,,
471,香溢紫郡精装3房2卫 房东诚售 地铁口 吾悦旁 随时看房,178万,13344,天宁区青龙,香溢紫郡,3室2厅1厨2卫,低楼层 (共34层),133.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,香溢紫郡精装3房2卫 房东诚售 地铁口 吾悦旁 随时看房,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，吾悦广场，紫荆公园，丁塘河湿地公园。,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
472,此房满五唯一，房东诚心出售，边户，户型好,173万,13008,天宁区青龙,彩虹城,3室2厅1厨2卫,低楼层 (共32层),133㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,暂无数据,2021-04-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,此房满五唯一，边户采光足，视眼开阔，设施齐全,,商场：信特*市、苏果*市、欧尚*市，医院；武进医院，邮局：常州邮政局翠竹代办所，银行：工商银行、建设银行,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,,,,
473,旭辉自持  户型方正  中层 采光全天 业主诚售,205万,17827,经开区青龙,旭辉.都会上著,3室2厅1厨2卫,中楼层 (共18层),115㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 130万元 客户偿还,未上传房本照片,新房，精装交付经开区高架下来就是，出行方便，3房2卫大客厅.,,天宁吾悦广场 外国语z学 经开区x学 近2号线 靠九龙 小商品市场,,,,,,,,房龄比较新 还没有满两年 采光比较好 中层 户型方正的 楼间距比较大,经开区x学和常州外国语z学 走路没一会 小孩子可以走路上学，2号口,,,,
474,龙湖香醍漫步142平精装修四房两厅295万采光好底价出售,280万,19816,天宁区青龙,龙湖香醍时光 ,4室2厅1厨2卫,低楼层 (共24层),141.3㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
475,水晶城精装三房，楼层好，采光好，房东诚心出售,168万,14298,天宁区青龙,水晶城,3室2厅1厨1卫,低楼层 (共18层),117.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2020-08-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,水晶城精装三房，楼层好，采光好，房东诚心出售,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,清洋高架，天宁吾悦，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,,,,,,,,,
476,地铁口 月馨苑精装3房 带产权车位 有钥匙看房方便,140万,15218,天宁区青龙,月馨苑,3室1厅1厨1卫,低楼层 (共7层),92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装河景3房 地铁口双公园 带产权车位,,红梅公园，东坡公园，儿童医院，大润发，火车站，朝阳菜场，生活方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,2号线地铁口 小区有共享单车停放点，500米处有公交站台，可以乘坐10，25，60，203路等公交车，地处繁华，打车也很方便，交通十分便利,,,,
477,新上房源，楼层好，采光佳，户型方正，看房方便~,130万,11776,天宁区青龙,水晶城,3室2厅1厨1卫,高楼层 (共18层),110.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-09-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房源户型方正，房东诚心出售可谈价，楼层不错光线好，随时看房,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
478,蔚蓝天地纯毛坯好房 采光无遮 带车位,255万,17347,经开区青龙,蔚蓝天地,4室2厅1厨2卫,中楼层 (共34层),147㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新小区，绿化好，环境优美，交通齐全，菜场商场一应俱全,,出门有高，架，有地铁，有菜场，有吾悦广场，有生态公园，生活娱乐养生齐全,"税费解析：1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,适合自住，小户型，低价格，适合投，资，适合结婚居住，适合过度居住，适合养老居住,,小区经典户型，中高楼层，通光性好，整个房子都有采光，厨房卫生间带有独立大窗，通风采光俱佳,,,,,
479,彩虹城 双卧室朝南 通透全明 全天采光,140万,15910,天宁区青龙,彩虹城,2室1厅1厨1卫,低楼层 (共33层),88㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,有,暂无数据,2022-07-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,彩虹城 双卧室朝南 通透全明 全天采光,业主现在诚心出售，证件齐全，欢迎看房，随时恭候，看房方便，专业讲解,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
480,天宁吾悦（紫韵香庭双阳台）三开间朝南户型，含车位！,178万,17800,经开区青龙,紫韵香庭,3室2厅1厨1卫,中楼层 (共25层),100㎡,平层,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2022-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,业主诚心出售，看房提前约就好，房子小区最前排，双阳台哦！,,天宁吾悦广场，永辉C市，家乐C市近在咫尺，健身房，游泳馆，2大菜场，工商银行，江南银行， 一院，二院，中医院，儿童医院，！,契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,,,"三开间朝南，动静分离的户型，楼层好，采光好，视野开阔，通风效果好
！",,,,,,,,,
481,龙洲伊都小区精装三房小区环境优美，临公园，配套齐全,386万,26884,天宁区青龙,龙洲伊都,3室2厅1厨2卫,高楼层 (共28层),143.58㎡,平层,暂无数据,板塔结合,南 北 东,钢混结构,精装,两梯三户,有,暂无数据,2022-11-17,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优美，临公园，配套齐全,,天宁区政府板块，小区旁边有紫荆公园，迪诺水镇、体育馆等 ，配套齐全,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,小区处于天宁区竹林北路上，小区环境优美，绿化30%， 房绿化面积：22344 m²，小区内有满足全龄段的休闲娱乐场所,,,,,,,,,
482,户型方正，南边靠河，采光好，诚意出售,330万,22935,天宁区青龙,景瑞天玺,4室2厅1厨2卫,中楼层 (共24层),143.89㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-02,商品房,2021-08-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正，南边靠河，采光好，诚意出售,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。隔壁还有个游泳健身馆，环境好。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,房子是开发商精装交付的，房子里面的东西保养的很好，动静分离，设施全，拎包入住,,,,,,
483,龙湖香醍漫步 127平 精装 3房2卫 298万,298万,23465,天宁区青龙,龙湖香醍漫步南区,3室2厅1厨2卫,中楼层 (共32层),127㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
484,望府花苑 4室2厅 南,320万,20513,天宁区青龙,望府花苑,4室2厅1厨2卫,高楼层 (共32层),156㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2021-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 10万元 建行 业主自还,未上传房本照片,,,,,,,,,,,,,,,,
485,香溢紫郡精装3房 满二采光好 地铁口 吾悦旁 房东诚售,190万,14286,天宁区青龙,香溢紫郡,3室2厅1厨2卫,高楼层 (共34层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2020-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,香溢紫郡精装3房 满二采光好 地铁口 吾悦旁 房东诚售,,综合市场，*市，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.吾悦广场,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
486,龙湖别墅毛坯房发挥你房想象装自己喜欢的房子,1500万,45181,天宁区青龙,龙湖香醍漫步北区,5室2厅1厨2卫,低楼层 (共4层),332㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2021-04-26,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,龙湖别墅三开间朝南 毛坯 采光无忧,,小区底层商铺 公园：恐龙园，紫荆公园，横塘河湿地公园 小区外围有*市小区杂货店等等,,,,"天宁北塘河路与龙锦路交叉口向东200米 所属区域：天宁 青龙 产权描述：产权70年 物业类别：住宅 建筑年代：2015年建成 开 发 商：龙湖地产 建筑类型：板楼,塔楼 建筑面积：650000平方米 占地面积：310000平方米 物 业 费：2.40元/平米·月",,,,,交通线路有：14路、29路、31路、53路，到永宁北路公交总站下车,联排,,,
487,大平层，采光足，中 央空调地暖，对 面小区2.8万,368万,19575,天宁区青龙,彩虹城,4室2厅1厨2卫,高楼层 (共24层),188㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,楼层好，采光足，精装修，小区楼栋*好位置,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,
488,火车站地铁口旁 大润发商圈 永宁星座住宅 四房,270万,20002,天宁区青龙,永宁雅苑,4室2厅1厨2卫,高楼层 (共30层),134.99㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-05-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满5年 清爽四房 交通便利 菜场 大润发 医院齐全,,"公园：小区自带一个青山公园 ,2公里内有红梅公园菜场：怡康菜场 ，锦绣菜场，市：2公里内有大润发市 欧尚市。医院：2公里内有青山湾社区医院，武进医院，一院 ，二院","契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%；2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，可以上环城高架,,,,
489,房东诚心出售 户型方正 上叠墅 视野开阔,730万,35114,天宁区青龙,龙湖香醍漫步南区,4室2厅1厨2卫,低楼层 (共3层),207.9㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2021-12-30,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片,该房为上叠墅，视野开阔，前排为别墅无遮挡，看房方便，,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,生活设施齐全 农贸菜场 商场 公园 近在咫尺 生活起居很方便,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,,,叠拼,,,
490,此房，采光足，前无遮挡，交通便利，离天宁吾悦近。,245万,17500,天宁区青龙,金新御园,4室2厅1厨2卫,中楼层 (共24层),140㎡,平层,暂无数据,暂无数据,东南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 145万元 江南银行 业主自还,未上传房本照片,此房，采光足，楼层好，前无遮挡，交通便利，离天宁吾悦近。,,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,,
491,彩虹城视野开阔 价格实惠 看房方便,232万,16224,天宁区青龙,彩虹城,3室2厅1厨2卫,高楼层 (共28层),143㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,暂无数据,2019-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 工行 客户偿还,未上传房本照片,南北通三房，高层采光无遮挡，视野好,,商场：信特*市、苏果*市、欧尚*市 医院：武进医院 邮局：常州邮政局翠竹代办所 银行：工商银行、建设银行,,,,,,,,,"位于永宁北路与龙城大道交界处，距市区约1.5公里,距奥体1公里。交通较为通达，有10路、14路、29路、31路、47路、H2等公交车经过。,10路、14路、29路、31路、47路、60路",,,,
492,紫荆公园旁琅越龙洲开发商精装修；大和开发商开发,628万,32915,天宁区青龙,琅越龙洲花苑,4室2厅1厨3卫,高楼层 (共25层),190.8㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,无,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优美；装修档次高；采光好；房东诚心出售,,配套完善；生活实施齐全；银行；菜场；购物商场；饮食生活起居方便,,,,,,,大和开发商精装修交付；空调；地暖；新风三大件；厨具；卫具齐全,,紫荆公园旁地铁规划中；公交站交错站台进行中；双高架随意选择；生活出行很方便,,,,
493,阳光龙庭东门商铺共三层位置好。,280万,11619,天宁区青龙,阳光龙庭,1室1厅0厨1卫,低楼层 (共33层),241㎡,复式,暂无数据,板塔结合,东,钢混结构,简装,暂无数据,无,暂无数据,2019-05-19,商品房,暂无数据,底商,暂无数据,共有,无抵押,未上传房本照片,配套成熟，商铺位置比较好。户型方正。,,,"税费分析 （非居）
契税3％
增值税差额的5.6％
个税差额的20％
印花税双方各万分之五
土地增值税（增值额*税率）-（扣除项目*速算系数）30%
产证工本费550元/人

居间服务费*2%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
494,小区环境优雅，配套成熟，交通便利，居住舒适,330万,25582,天宁区青龙,央著瑞庭,4室2厅1厨2卫,高楼层 (共18层),129㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,,该房是纯商品房，没有满两年，增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,,,该小区环境好，旁边就是紫荆公园，休闲散步好处去，为成熟社区，环境优雅，配套完善，交通便利，居住舒适。,,,该房为开发商精装修，小区位置好，户型方正，双阳台。地暖 空调 新风系统 装标很高。,,,,,,
