,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验码,查询房管备案记录,核心卖点,小区介绍,税费解析,交通出行,户型介绍,周边配套,售房详情,权属抵押,适宜人群,装修描述,别墅类型,用水类型,用电类型,燃气价格
509,局前街 北直街二楼 精装两房带储藏室 边户通透 双阳台,300万,44445,天宁区南大街,北直街小区东区,2室2厅1厨1卫,低楼层 (共6层),67.5㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-05-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,局前街 北直街二楼 精装两房带储藏室 边户通透 双阳台,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,此房二楼 上下方便 两个房间 其中 双卧室朝南 南边没有高层 采光很好 2019年装修的 装修清爽,,,,
510,东头村 南大街旁 楼层好 采光佳 闹市区,195万,30000,钟楼区南大街,东头村,3室1厅1厨1卫,中楼层 (共7层),65㎡,平层,暂无数据,板楼,东南,混合结构,简装,暂无数据,无,暂无数据,2021-01-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，采光佳，房东比较诚心出售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
511,鹏欣丽都精装3居2卫四季采光觅渡广化桥莱蒙敞亮户型,350万,24983,钟楼区南大街,鹏欣丽都,3室2厅1厨2卫,低楼层 (共29层),140.1㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-12-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房满五年，精装自住保养好，敞亮户型采光充裕楼层佳。,,,,"户型两房朝南，阳光直洒房间，温暖明亮。
客厅开阔方正，两个卫生间让日常洗漱更便捷。",,,"贷款抵押：业主全款购买，无抵押，产权清晰。
房子夫妻共同共有，双方感情好，素质高，售房意见一致无分歧。",,"业主精装自住，保养良好，节省重新装修精力和资金，省心。
开阔敞亮户型，通风状况优，居住舒适。",,,,
512,天皇堂弄，户型方正，看房方便，诚心出售,270万,28587,钟楼区南大街,天皇堂弄,3室1厅1厨1卫,高楼层 (共6层),94.45㎡,复式,暂无数据,板塔结合,东南 南,钢混结构,简装,暂无数据,无,暂无数据,2021-11-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房通透，采光好，配套齐全，交通便利 北郊,,1.契税：首套房，90平方以下的首套跟二套都是1%，90平方以上成交价的1.5%；二套房90平以上成交价的2%；三套房无论面积大小都是3%；2.增值税：产证满2年免收增值税，未满2年征收5.6%；3.个税：产证满五年且是一套住房，免收个税，未满5年成交价的1%,,,小区有健身器材，可供居民使用，公园，医院，商场，银行，菜市场一应俱全，成熟社区。,业主现诚心出售，证件齐全，看房方便 拎包即住，此房通透，采光好,,,,,,,
513,，户型方正，格局好，楼层好，采光充足，配套设施齐全,259万,15279,钟楼区南大街,金色新城东区,5室2厅1厨2卫,低楼层 (共32层),169.52㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2020-08-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,户型方正，格局好，楼层好，采光充足，配套设施齐全，生活..,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房房源真实，提前预约，随时可以看房，房东诚心出售，随时可签；,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同 此房 格局好 视野开阔 采光充足 配套设施齐全 交通便利,,,,,,
514,近地铁口 配套齐全  交通方便  看房提前预约,360万,26355,钟楼区南大街,璞丽湾,4室2厅1厨2卫,高楼层 (共34层),136.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2020-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,式楼层好，采光佳，户型方正，看房方便~,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
515,青果巷文化街区 精装大4房拎包即住 满五免个税,390万,25095,钟楼区南大街,云庭公寓,4室1厅1厨2卫,中楼层 (共30层),155.41㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯四户,有,暂无数据,2021-10-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，采光佳，户型方正，看房方便~,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
516,迎春花园 顶楼复式 保养良好 局实空置,470万,56268,天宁区南大街,迎春花园,4室2厅1厨2卫,中楼层 (共7层),83.53㎡,复式,暂无数据,暂无数据,南,未知结构,简装,暂无数据,暂无数据,暂无数据,2021-06-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房楼层好，采光无遮挡，顶楼复式的，保养良好，局实空置。,,解析：此房满五唯一，故无个税。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,,出门就是迎春步行街，紧挨泰富、新世纪、百货大楼，南临文化遗址，北有一院，走一会儿就能走到人民公园。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,
517,简装修 房间是朝南，前后无遮挡，采光好，南北很通,480万,31945,天宁区南大街,中山门公寓,3室2厅1厨1卫,中楼层 (共6层),150.26㎡,平层,暂无数据,暂无数据,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-05-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,简装修 房间是三房朝南，前后无遮挡，采光好，南北很通,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,小区门口自带中型生活*市，烟酒店等，包含体育馆，健身房，游泳池。小区下综合市场和菜场。中国银行，中国工商银行，中国农业银行，中国邮政储蓄银行环伺其周,业主现诚心出售，楼层佳，证件齐，房子目前空置，欢迎看房，随时恭候，,,,,,,,
518,觅渡桥 北郊 新世纪旁 觅渡雅居 精装三房 通透全明,610万,40398,钟楼区南大街,觅渡雅居,3室2厅1厨2卫,高楼层 (共7层),151㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,暂无数据,2021-02-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,觅渡桥 北郊 新世纪旁 觅渡雅居 精装三房 通透全明,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
519,金色新城 总高10层洋房电梯房 三房两卫 采光无遮挡,199万,15669,钟楼区南大街,金色新城东区,3室2厅1厨2卫,低楼层 (共32层),127.01㎡,错层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-05-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,金色新城 临亚细亚、吾悦 电梯房三房两卫 采光无遮挡,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
520,此房户型方正，通透明亮，阳台视野宽阔，采光很好,338万,24697,钟楼区南大街,运河天地,4室2厅1厨2卫,低楼层 (共33层),136.86㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-06-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,此房户型方正，通透明亮，阳台视野宽阔，采光很好,小区环境优美，配套齐全，居民素质高，交通配套成熟，出行便利，小区安保物业负责，有公园，医院，商场， 等等,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,此房业主诚心出售，产权清晰，证件齐全，看房方便，价格还可以协商。,,,,,,,
521,小区位置好，出行方便、三房朝南，有双阳台,285万,16194,钟楼区南大街,安阳花苑,4室2厅1厨2卫,中楼层 (共5层),176㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-07-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房户型好，小区位置好，出行方便、三房朝南，有双阳台,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%",小区的位置好，几百米处就有公交车站，可以到达火车站和新北万达。从小区走路就能到达吾悦广场，骑车去南大街也很方便，交通便利。,房源户型方正，三房朝南的户型，双阳台，适合居住。面积大适合一家三口居住，房子实际使用面积大,老小区位置好，所属商圈成熟，门口有*市，银行，菜场。小区一公里之内就有商场和卫生服务站，可以满足平时的生活,,,,,,,,
522,"户型方正,格局分布合理,居住舒适,难得的好房。",242万,32267,钟楼区南大街,天皇堂弄,3室2厅1厨2卫,高楼层 (共5层),75㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2020-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,户型格局好，交通便利，通透性好，拎包即住！,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 三套房无论面积大小都是3%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价..",小区楼下有共享单车，和两个公交站台，门口公交有多条线路，可到达火车站等，交通四通八达，小区门口即是环城主干道，可通往常州各个区域。,,"公园：小区自带一个沿河公园 ,2公里内有红梅公园 菜场：八角井菜场 ，中山路菜场， *市：2公里内有大润发*市 欧尚*市。 医院：2公里内有青山湾社区医院，武进医院，一院 ，二院",,,,,,,,
523,配套齐全，采光好，楼层位置好，宽敝明亮。,480万,28572,钟楼区南大街,莱蒙小时代,4室2厅1厨2卫,高楼层 (共44层),168㎡,平层,暂无数据,板楼,东南 南,钢混结构,精装,一梯七户,有,暂无数据,2020-12-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,配套齐全，采光好，楼层位置好，宽敝明亮。,小区地址：钟楼杨柳巷13号（延陵路与杨柳巷和早科...所属区域：钟楼 南大街邮 编：213000产权描述：该项目产权为70年物业类别：住宅建筑年代：2013年建成开 发 商：常州莱蒙都会置业有限公司建筑类型：塔楼建筑面积：120000平方米占地面积：17000平方米。,,公交】 人民公园 （52路; 55路; 210路; 219路; 220路; 302路; 601路）	681米 【公交】 小营前 （6路; 212路; 220路; 231路; 903路; b12路; b21路; d6路; d6路区间; y1路）	1012米 【公交】 小河沿 （12路; 23路; 210路; 219路; 302路; b22路）,,幼儿园：开心幼儿园：商场：莱蒙都会国际街医院：一院、二院、四院邮局：南大街邮局银行：建行、工行、交通银行小区内部配套：运动场所，休闲运动健身。,,,,,,,,
524,此房采光充足，交通方便，户型方正,310万,28972,天宁区南大街,兴隆巷,3室2厅1厨2卫,中楼层 (共5层),107㎡,平层,暂无数据,板楼,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2020-08-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房采光充足，交通方便，户型方正,,,,,,,此房没有抵押，房东诚心出售，随时看房，过户随时，房东人好话不多,此房事宜老年人养老居住，也适合小孩达到上学年龄的一家三口居住，就近上学,,,,,
525,娑罗家园旁牡丹公寓精装修全朝南成熟社区配套齐全,550万,45834,天宁区南大街,牡丹公寓,3室2厅1厨2卫,低楼层 (共4层),120㎡,平层,暂无数据,板塔结合,南,砖混结构,精装,暂无数据,无,暂无数据,2020-10-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房满五唯一，三开间朝南，产权明晰,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主诚心出售，证件齐全，欢迎大家来看房，随时恭候！！如看中房子，价格方面可以商谈.而且目前业主自住，房子也保养的很好！！！！,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
526,荆溪人家  户型良好，采光充足，田觅空置，,860万,44792,天宁区南大街,荆溪人家,4室3厅1厨2卫,中楼层 (共4层),192㎡,跃层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,荆溪人家  户型良好，采光充足，田觅空置，。看房方便,小区门口就有共享单车停放点，出小区50米就是公交站台，可以乘坐23路、25路 、42路 、56路 、210路 、219路 、220路 、武进公交302路等，交通十分方便,"此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.

房主自荐(业主对房源的描述)",,,生活设施齐 银行 市 菜 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,
527,局前街 旁 中山苑 楼层好 看中可谈 随时看房,350万,34661,天宁区南大街,中山苑,3室1厅1厨1卫,低楼层 (共6层),100.98㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-01-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,此房户型方正，三房朝南，采光好，生活设施齐全,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,楼层佳，三房一厅一卫，两个大房间朝南，采光好，无遮挡，闹中取静,地铁一号线就在门口，离火车站步行比较近，家门口有个中山门菜场，工商银行，酒店，*市，一应俱,,,,,,,,
528,金鹰旁复式，上下共3层，有80平大露台,300万,18405,钟楼区南大街,邮电公寓,4室1厅1厨2卫,中楼层 (共4层),163㎡,复式,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-04-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,业主诚心出售 位置好，出行方便,,房子为商品房。税费信息：满两年 省增值税。 首套房90M以下1％、90M以上 1.5 二套房90M以下1％、90M以上2％ 三套房不论面积统一3％,,,小区旁成熟社区，配套设施 综合市场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.大型商场齐，菜场，娱乐场所，公园 银行 医院，适宜居住 让你步行就满足一切需要,业主很信任我，我能了解业主卖房新的动态。目前市场交易量平稳，政策已经基本稳定，是市场触底入手的好时候。请不要错过此房的好房。,,,,,,,
529,市中芯 精装4房2卫 运河畔 环境美 觅渡桥,380万,24633,钟楼区南大街,鹏欣丽都,4室2厅1厨2卫,高楼层 (共32层),154.27㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-08-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,精装保养好 地铁线 繁华地段 配套成熟 资源优异,小区环境优美，位于南大街成熟生活区，繁华交汇，璀璨绽放。将生活、工作、购物、娱乐、休闲等集中考量，使生活、休闲、工作、健康“四位一体”，老年人的安逸、小孩子的教育、中年人的缤纷生活，生态人居的价值全面提升。,此房房所需交的税：1、满5年，无增值税。2、契税首套1.5%，二套2%，三套3% 3、个税1%,,,,,此房无贷款，无抵押，无查封，产权清晰，可以立即过户。房东诚心出售，欢迎找我带看,,,,,,
530,京城豪苑方正户型3居2卫中间楼层，新世纪南大街旁。,600万,52174,钟楼区南大街,京城豪苑北区,3室2厅1厨1卫,中楼层 (共28层),115㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2021-09-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,"此房满两年，3居2卫户型方正
边上就是新世纪、南大街等成熟商圈",,,"1.地铁1号线就在南侧，过两条马路即可到达，转乘2号线也方便。
2.BRT和公交线路通达全城，公共出行便捷。",京城豪苑北区中间楼层采光良好，3居2卫，方正户型无浪费面积。,,,,"适宜对品质有要求且有孩子家庭。
新世纪、南大街等业态成熟，生活便利。
北侧就是少年宫，艺术培养很方便。",,,,,
531,三家村精装3房，南北通透采光足，户口空置随时用,280万,34714,天宁区南大街,三家村(天宁区),3室2厅1厨1卫,中楼层 (共7层),80.66㎡,平层,37.6㎡,塔楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2020-09-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,此房屋已经满2年，南北通透，采光足。精装3房，陪读拎包入住..,,契税：首套房90平方以下成交价的1%，90平方以上是成交价的1.5%。二套房90平方以下1%，二套2%，三套及以上不论面积成交价的3%。个人所得税：房屋满5年唯一可免，不唯一则需成交价的1%。,,房屋是三朝南户型，南北通透。卫生间和厨房都有窗，明亮透气，采光足,,,,,房屋是精装居家装修，品牌家具家电，可随时拎包即住，很方便..............,,,,
532,带大院子，大空间，得房率高，户型方正，看房方便~,450万,35157,天宁区南大街,王家村(天宁区),4室2厅1厨2卫,低楼层 (共6层),128㎡,平层,暂无数据,板楼,南,混合结构,简装,暂无数据,无,暂无数据,2022-04-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,带大院子，大空间，得房率高，户型方正，看房方便~,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，面议,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
533,东区电梯房一梯两户 近出入口 房东诚售看房方便,185万,15869,钟楼区南大街,金色新城东区,3室2厅1厨1卫,高楼层 (共11层),116.58㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2020-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,东区电梯房一梯两户 大三房 近出入口 楼层好采光佳 房东诚售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",BRT站台B1、B10、B12直线距离200米 通江路往南吾悦国际广场3公里，往北万达广场3公里 菜场：西新桥菜场800米 医院：一院二院3公里，小区有工商银行，中国银行，建设银行等，菜场，万达 吾悦,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,
534,天成苑3房，实得面积大，交通出行方便,388万,44598,天宁区南大街,天成苑,3室1厅1厨1卫,中楼层 (共7层),87㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2021-01-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,天成苑3房，实得面积大，交通出行方便,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
535,荷花池公寓，楼层好，采光佳，房东比较诚心出售，,400万,29874,钟楼区南大街,荷花池公寓,3室2厅1厨2卫,低楼层 (共9层),133.9㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2021-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,楼层好，采光佳，精装拎包即住，大三房，房东比较诚心出售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
536,博爱路  房子户型 采光好 通风好,300万,43542,天宁区南大街,博爱路小区,2室2厅1厨1卫,高楼层 (共6层),68.9㎡,复式,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-04-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,核 心卖点：楼层好，采光佳，户型方正，看房方便~,,"税费解析：税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,售房详情：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,权属抵押：此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,
537,银苑小区 西上园旁 采光充足 带阁楼,200万,20577,钟楼区南大街,银苑小区,2室2厅1厨1卫,高楼层 (共7层),97.2㎡,复式,暂无数据,板塔结合,南 北,钢混结构,简装,暂无数据,无,暂无数据,2021-04-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,银苑小区 西上园旁 采光充足  带阁楼,,"1、	契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",小区地处市区交通便利：门口有公交站台BRT 24路 31路等 1公里内有火车站 ，汽车站，,,"公园：小区自带一个青山公园 ,2公里内有红梅公园 菜场：西新桥公寓菜场 ，锦绣菜场，",,,,,,,,
538,聚和家园 精装修 上下独立两层 外楼梯 有地暖 带露台,498万,27214,天宁区南大街,聚和家园,5室4厅2厨2卫,高楼层 (共11层),183㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-03-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,精装修 顶楼 上下独立两层 外楼梯 二楼有地暖  带露台,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,上学步行 菜场：中山门菜场、怡康小河沿菜场均步行就能到 公园：往东一公里即到红梅公园天宁寺 往南一公里多点即到人民公园 医院：半径一公里范围内有一院、二院、武进医院、中医院和一0院 地铁口,,,离校很.近，减少孩子上学的时间和精力成本 小区环境安静 适合一家人生活,楼上 楼下独立两层 上下层高一样  外楼梯  所以二楼没办法拍vr 需要图片可以私聊我  二楼有独立的厨房和卫生间  二楼还有地暖  适合3代人居住 楼上楼下互不打扰  二楼有露台  实际使用面积多了50平,,,,
539,户型方正 三个房间都朝南 双阳台 楼层好 采光无遮挡,540万,30000,钟楼区南大街,荷花池公寓,5室2厅1厨2卫,低楼层 (共9层),180㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-04-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,户型方正 三个房间都朝南 双阳台 楼层好 采光无遮挡,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,鸣珂巷幼儿园，觅渡桥，新世纪商城，泰富百货，招商银行 建设银行 工商银行 邮局，瞿秋白纪念馆，交通便利 有多路公交直达,,房东诚心出售 满二不唯一 产权清晰 夫妻共有产权 无抵押 随时可过户,,,,,,
540,品牌精装拎包住 九成新保养好 局前街+实。验,285万,29482,天宁区南大街,金桥花苑,2室2厅1厨1卫,中楼层 (共4层),96.67㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2022-05-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 公积金 客户偿还,未上传房本照片,,,市中芯  地铁口 离校近 品牌精装修九成新,,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.3%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,业主 诚心出售，房子产证齐全，产权清晰，看房方便，提前联系。,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,
541,金色新城边户4房  1梯2户 通风好 绿化高,240万,17773,钟楼区南大街,金色新城东区,4室2厅1厨2卫,低楼层 (共11层),135.04㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,房子无贷款，满五不唯一，价格可议。,,,东边就有BRT公交直通南北，南边有地铁2号线，去任何地方都很方便。,2房朝南，1房朝北，空中花园算一半面积，客厅宽敞明亮，适合和父母同住。,有吾悦国际商场，亚细亚影院，江南商场回车场，盛毓度和市北，自带菜场。,,,,,,,,
