,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,适宜人群,售房详情,装修描述,户型介绍,别墅类型,权属抵押
56,龙城福第精装修，两室两厅一卫，楼层好，交通方便,89万,9271,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共18层),96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙城福第精装修，两室两厅一卫，楼层好，采光佳，交通方便,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此购房为首套房且购买房屋为90㎡及以下，契税为：1%。90㎡以上契税：1.5%。 二套房90㎡及以下依旧：1%，若90㎡以上将2%。三套房不论面积大小契税均按照3%,近有五洲国际商场，春潮购物广场，小湖市场，基本的生活设施都有。,,小区属于江阴产权，和常州一路之隔，地理位置优越，交通 便 利,,,,,,
57,精装修，两室两厅一卫，楼层好，采光佳，交通方便,89万,9469,新北区璜土,龙城福第,2室2厅0厨1卫,中楼层 (共18层),94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-11-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,龙城福第精装修，两室两厅一卫，楼层好，采光佳，交通方便,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，契税为：1%。90㎡以上契税：1.5%。 二套房90㎡及以下依旧：1%，若90㎡以上将2%。三套房不论面积大小契税均按照3%,近有五洲国际商场，春潮购物广场，小湖市场，基本的生活设施都有。,,小区属于江阴产权，和常州一路之隔，地理位置优越，交通 便 利,,,,,,
58,小户型，适合刚需，拎包入住，随时看房,63万,11455,新北区璜土,龙城福第,,中楼层 (共18层),55㎡,,,,南,,,,,,2021-06-16,商品房,2020-07-05,车库,暂无数据,非共有,有抵押 29万元 建设银行,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
59,文鑫苑纯毛坯 洋房 好楼层 采光好 使用空间大,168万,11749,新北区璜土,文鑫苑,4室2厅1厨2卫,中楼层 (共9层),143㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境好 碧桂园物业 服务好 房子洋房 好楼层 居住舒适,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税不满五唯一一个点,,小区东门出门是公交站站台，3公里上青阳路高架，3公里左右上高速，去苏州，无锡，南京，都方便。,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,
60,文鑫苑 3室2厅 南,135万,11658,新北区璜土,文鑫苑,3室2厅1厨2卫,高楼层 (共34层),115.81㎡,平层,暂无数据,板楼,南,砖混结构,毛坯,两梯四户,有,暂无数据,2023-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,
61,龙城福第 纯毛坯 中间楼层 急售,73万,7574,新北区璜土,龙城福第,2室2厅1厨1卫,中楼层 (共28层),96.39㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯五户,有,暂无数据,2022-09-17,商品房,2023-10-25,普通住宅,未满两年,共有,有抵押 20万元,已上传房本照片,龙城福第，纯毛坯，两室两厅一卫，楼层好，采光佳，交通便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，契税为：1%。90㎡以上契税：1.5%。 二套房90㎡及以下依旧：1%，若90㎡以上将2%。三套房不论面积大小契税均按照3%,近有五洲国际商场，春潮购物广场，小湖市场，基本的生活设施都有。,,小区属于江阴产权，和常州一路之隔，地理位置优越，交通 便                利,,,,,,
62,江阴的房子 靠着常州 交通方便,103万,10511,新北区璜土,碧桂园百兴澜庭,3室2厅1厨1卫,中楼层 (共21层),98㎡,平层,暂无数据,暂无数据,南,砖混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-08-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房位置好，楼层好，视野开阔，采光充足，交通便.,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,出行方便，    小区门口就是、公交站，到常州高铁 方便   靠着恐龙园,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,
63,文鑫苑 3室2厅 南 北,105万,10742,新北区璜土,文鑫苑,3室2厅1厨1卫,低楼层 (共30层),97.75㎡,平层,暂无数据,塔楼,南 北,框架结构,简装,暂无数据,暂无数据,暂无数据,2021-09-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
64,金美林精装3房，交通便利，配套完善,110万,9587,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共11层),114.75㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,次房为精装房，生活交通便利，房东诚心出售,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,生活设施齐 ，卖场， 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,
65,环球港，恐龙园，龙城福第三房两厅一卫,105万,10000,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共33层),105㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元,未上传房本照片,此房交通便利，出门公交站，邻近地铁站、高铁站、高速口,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,,
66,金美林花园(北区)2室1厅1卫好楼层价格可谈,76.5万,10324,新北区璜土,金美林花园,2室2厅1厨1卫,低楼层 (共14层),74.1㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,金美林花园，楼层好、全天采光无遮挡，房东诚心出售,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,距离恐龙园约3公里，公交站 交通便利 出行方便 交通便利，菜市场就近。,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
67,恐龙园旁 文鑫苑 小区新 毛坯3房 好楼层 看房有钥匙,105万,9131,新北区璜土,文鑫苑,3室1厅1厨2卫,低楼层 (共34层),115㎡,平层,暂无数据,平房,南,钢混结构,毛坯,三梯四户,有,暂无数据,2022-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区绿化高环境好 房子户型好三朝南 通透 好楼层 居住舒适,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,碧桂园华星·世纪学府小区，环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,此小区为新小区，小区环境好，入住率百分之80，24小时安保，绿化比例2.2，适宜居住。,,,,,,
68,碧桂园世纪学府，毛坯三房，前后无遮挡,85万,8855,新北区璜土,文鑫苑,3室2厅1厨1卫,低楼层 (共34层),96㎡,平层,暂无数据,板楼,南,砖混结构,毛坯,两梯四户,有,暂无数据,2022-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,文鑫苑，纯毛坯，江阴产权，三室一卫，前后无遮挡，随时看,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区环境优美，绿化充足；：自驾：通过小湖路、常澄路、青阳路、芙蓉大道可快递前往常州及江阴市区，楼下自带大型商店,,小区环境好入住率百分之80，24小时安保，绿化比例2.2.整体干净整洁，适合居住,,,,,,
69,金美林花园 3室2厅 南,115万,8395,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共11层),137㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-11-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,
70,"此房格局好,南北通风户型,全天采光,户型方正视野好",125万,10163,新北区璜土,龙城福第,3室2厅1厨1卫,低楼层 (共33层),123㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
71,玲珑花园旁 金美林精装修3房 好楼层 视野好,115万,10177,新北区璜土,金美林花园,3室1厅1厨2卫,高楼层 (共11层),113㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,房子精装修 好楼层 小区前面别墅 视野棒,首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,小区出门有共享单车 大岸路有公交车 小区西面就是公交总站 龙业路29路出行方便,小区楼间距大 总层高低 居住舒适 有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
72,新上 金美林 精装带地暖 好楼层诚心卖,73万,7526,新北区璜土,金美林花园,2室2厅1厨1卫,中楼层 (共11层),97㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 18万元,未上传房本照片,此房边户敞亮，装的地暖保养好，楼层好，配套齐全,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,,,,
73,碧桂园百兴澜庭 4室2厅 南,138万,11040,新北区璜土,碧桂园百兴澜庭,4室2厅1厨2卫,高楼层 (共9层),125㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-13,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,
74,碧桂园百兴澜庭 3室2厅 南,115万,11735,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,高楼层 (共9层),98㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2021-09-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 业主自还,未上传房本照片,,,,,,,,,,,
75,文鑫苑 4室2厅 南,165万,11786,新北区璜土,文鑫苑,4室2厅1厨2卫,低楼层 (共9层),140㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-02-28,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,
76,江阴产权，看房方便，诚心出售，精装自住,112万,9047,新北区璜土,龙城福第,3室2厅1厨2卫,低楼层 (共33层),123.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,江阴产权，看房方便，诚心出售，精装自住,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是五洲商场、连锁酒店、健身馆、游泳馆、小湖综合菜市场水产市场,,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,
77,金美林小两房，江阴的价格，享受常州的交通配套，,70万,9334,新北区璜土,金美林花园,2室1厅1厨0卫,高楼层 (共14层),75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是满两年  房子是江阴的  但是享受的常州的交通配套设施，,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,,,,房子是业主自己装修好，自己住的房子，里面装修材料都是自己挑选的,此房的户型也是小区比较好的小两房  而且两个房间朝南，主卧朝南带阳台，采光很好，  厨房都是全明户型的,,
78,房东诚售 楼层好 采光好 看房方便,73万,10736,新北区璜土,金美林花园,2室1厅1厨1卫,低楼层 (共14层),68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-04-02,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房不满两年，但不限售，房好业主人更好，诚心出售,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,小区配套齐全，距离北站一公里车程，距离环球港1000米，距离恐龙园一里路车程,,有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库,,,,,,
79,金美林花园精装小两房，采光充足，房东诚意出售,65万,9552,新北区璜土,金美林花园,2室1厅1厨1卫,中楼层 (共14层),68.05㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房方正，采光充足，小区出行便利,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,小区环境优美 配套成熟 交通便利 居住舒适 人文素养好 乐于助人 相处和谐,,,,,,此房产权清晰 无抵押 无户口 无纠纷 可放心购买 业主诚心售 房价可谈 看房方便 提前联
80,金美林花园 93.4平方 毛坯  95万二房,85万,9101,新北区璜土,金美林花园,2室2厅1厨1卫,高楼层 (共10层),93.4㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 40万元 建行 客户偿还,未上传房本照片,金美林花园，小高层、前面别墅，采光无遮挡，房东诚心出售,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,
81,五洲国际旁精装大三房自住装修拎包入住,113.5万,10000,新北区璜土,龙城福第,3室2厅1厨2卫,中楼层 (共32层),113.5㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 5万元 业主自还,未上传房本照片,此房满五唯一，看房方便，诚心出售,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,出小区就是五洲商场、连锁酒店、健身馆、游泳馆、小湖综合菜市场水产市场。,,小区位置好，邻近别墅区，人文素质高，物业管理好，安全设施齐全,,,,,,
82,恐龙园，金美林花园 精装三房两厅两卫,100万,8805,新北区璜土,金美林花园,3室2厅1厨1卫,低楼层 (共11层),113.58㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-04-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,恐龙园，金美林花园精装三房两厅，拎包入住,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,小区生活配套全 环境好 距离环球港2000米 距离恐龙园1500米，距离璜石湖公园1500米左右，坐拥双城生活圈,,,,,,此房精装三房两卫，户型好，空间利用的好，视野开阔，优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,
83,金美林精装2房，配套完善，交通便利,95万,9514,新北区璜土,金美林花园,2室2厅1厨1卫,低楼层 (共29层),99.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-06-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为精装2房，中间楼层，采光充足,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,此小区边上有玲珑菜市 场，卖 场，公交站台，生活 交通便利。,,,此房总价比较低，很适合首付不够低的，对上学没有要求的刚需人群。,,,,,
84,金美林，大三房，三面采光，随时可以看房,98万,7765,新北区璜土,金美林花园,3室2厅1厨2卫,低楼层 (共10层),126.21㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-06-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元 /,未上传房本照片,金美林花园大三房，小高层，采光无遮挡，房东诚心出售,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",小区生活配套全 ，公交车，便利市场，大型蔬菜批发市场，水产市场，边上公园多，环境好 距离环球港2000米 距离恐龙园1500米,,小区环境好，全部小高层，不押韵，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,
85,碧桂园百兴澜庭，精装三室，户型方正，中间好楼层,105万,9243,新北区璜土,碧桂园百兴澜庭,3室2厅1厨1卫,低楼层 (共30层),113.61㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 业主自还,未上传房本照片,碧桂园百兴澜庭，三室两厅一卫，户型方正，中间好楼层,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,户型方正，三室两厅，双阳台，2梯4户，边上别墅，没有遮挡，随时可以看房,,
86,龙成福第 小面积 刚需的看过来,49.8万,9397,新北区璜土,龙城福第,1室1厅1厨1卫,低楼层 (共18层),53㎡,平层,暂无数据,暂无数据,东北,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-12-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地理位置优越，交通便捷，设施齐全，门口就是公交站，商场,"1、90平以内首套房契税1%，二套房1%，三套或以上3% 
2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 
3、不满两年增值税5.6%，满两年免增值税 
4、满五年唯一免个税1%",近有五洲国际商场，春潮购物广场，小湖市场，基本的生活设施都有。,,,,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,两梯四户，小高层得房率高",,
87,金美林精装2房，交通便利，配套完善,86万,8912,新北区璜土,金美林花园,2室2厅1厨1卫,低楼层 (共10层),96.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房为精装房，交通便利，配套完善,存量房需要缴纳个人所得税1%。契税，若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套及以上为3%。,此小区边上有玲珑菜市场，信特卖场，公交站台，BRT，生活交通便利。,,,此房总价比较低，很适合首付不够，总房价预算低的一家三口或是老人居住。,,,,,
88,房子户型好 靠着恐龙园  看房子方便,135万,10385,新北区璜土,碧桂园百兴澜庭,3室2厅1厨2卫,低楼层 (共33层),130㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-11-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房位置好，楼层好，视野开阔，采光充足，交通便.,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,出行方便， 小区门口就是、公交站，到常州高铁 方便 靠着恐龙园,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,
89,金美林花园 2室1厅 南,80万,8282,新北区璜土,金美林花园,2室1厅1厨1卫,低楼层 (共11层),96.6㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,
90,此房格局好，精装修，业主自住保养好，看房方便。,100万,10753,新北区璜土,龙城福第,2室2厅1厨1卫,高楼层 (共18层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,,,
91,"此房格局好,南北通风户型,全天采光,户型方正视野好",66万,12245,新北区璜土,龙城福第,1室1厅1厨1卫,中楼层 (共18层),53.9㎡,平层,暂无数据,暂无数据,北,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-10-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","：
契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,本房精装，明厨明卫，干湿分离，适合老人和小3口居住。随时看房,"：
业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同"
92,新上 金美林精装两房 好楼层 位置安静,75万,10949,新北区璜土,金美林花园,2室1厅1厨1卫,高楼层 (共15层),68.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,房子中上楼层 采光好 生活方便 自主过度都可以,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；",,,,刚需自住优先选 小夫妻首套房手里首付不多的可以先买了过渡即可,,,两房 带阳台 麻雀虽小五脏俱 全户型 位置中间 欢迎随时看房,,
93,金美林花园 1室1厅 南,75万,11030,新北区璜土,金美林花园,1室1厅1厨1卫,低楼层 (共15层),68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-12-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,
