,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
186,边户全天采光，外有两百多平大平台可使用，圆你花园梦,170万,15179,天宁区雕庄,中海凤凰熙岸,4室2厅1厨2卫,低楼层 (共34层),112㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-08-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,交通便利，小区设备齐全，房子满两年，能正常交易，户型方正,"小区生活实施齐全，商场，菜市场，银行等。
2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻
税费解析","首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
187,新城泰和之春恒温房 地暖空调 生活方便 环境优美 ..,300万,19608,天宁区雕庄,泰和之春,4室2厅1厨2卫,中楼层 (共26层),153㎡,平层,暂无数据,暂无数据,南,未知结构,精装,两梯四户,有,暂无数据,2023-03-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新城泰和之春恒温房 地暖空调 生活方便 环境优美 ..,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
188,装修30万、平时很少住、楼层好、诚心出售、急售的,192万,16917,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,高楼层 (共34层),113.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-09-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,装修30万、平时很少住、楼层好、诚心出售、急售的,,房屋产权70年契税；首套房契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之1.5个点，二套契税小于90平方计税价格百分之1个点，大于90平方计税价格百分之2个点。三套以上计税价格百分之3个点，2；增值税满二年免征，不满二年征5.3%,公园（规划中） 新天地公园，武进购物，乐购，福克斯广场，万达广场，吾悦广场，大润发，路劲又一城，沿街商铺,,,,户型方正，格局分布十分合理。空间感好。居住舒适。楼层佳。朝向南北。视野开阔。采光透亮。小区环境优美。绿化面积高。干净整洁。内有健身器材和娱乐广场。物业服务态度好,,,,,
189,金科中梁衡麓世家 精装修 有学业正衡 诚心出售,200万,20619,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨1卫,高楼层 (共20层),97㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,卖点： 全明格局，生活交通配套便利，户型方正，采光充足..,1.小区生活设施齐，商场、菜市场等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
190,格局好，户型周正，楼间距舒适，采光好,145万,15251,经开区雕庄,锦艺旭辉·都会江来,3室2厅1厨1卫,中楼层 (共27层),95.08㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-05-11,商品房,2023-04-28,普通住宅,未满两年,非共有,无抵押,已上传房本照片,格局分布合理，采光好，新小区，居住舒适,1：小区生活实施齐全，有购物，买菜，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：停车位充足，有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,,交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发 房主自荐(业主对房源的描述),,,,楼层佳，朝向南北，视野开阔，采光透亮，居住舒适............,,,,,
191,金科中梁衡麓世家三房 精装修准备自己住 含正衡本子,230万,23712,天宁区雕庄,金科中梁衡麓世家,3室2厅1厨1卫,低楼层 (共20层),97㎡,平层,暂无数据,板塔结合,南 东南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,本小区实在房源，带学V环境优美，楼间开阔，居住舒适性高,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
192,泰和之春 精装未入住 位置好 房东诚心出售 价格可谈,256.1万,17018,天宁区雕庄,泰和之春,4室2厅1厨2卫,低楼层 (共33层),150.49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-08-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房三开间朝南 户型方正 明厨明卫 双阳台 一梯一户,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,优质天宁板块内中吴大道旁 购物就在家门口 局小分校区 正衡 配套齐全 资源充足,,,,,,,,,
193,衡麓世家131平精装4房 带正衡诚心出售!,265万,20230,天宁区雕庄,金科中梁衡麓世家,4室2厅1厨2卫,中楼层 (共18层),131㎡,平层,暂无数据,暂无数据,东南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-05,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,精装修拎包入住；带正衡；房东诚心出售,小区封闭式的，24小时有物业巡逻，很安全。小区里面有一处的儿童游乐场所，还有个健身区,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
194,正衡旁锦凤合鸣毛坯三房，看房方便的，有钥匙的,300万,21583,天宁区雕庄,锦凤合鸣,4室2厅1厨2卫,中楼层 (共11层),139㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"户型方正价格可谈房东诚售,采光没有遮挡",,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
195,中海凤凰熙岸纯毛坯好房 格局好 诚意出售,190万,14961,天宁区雕庄,中海凤凰熙岸,3室2厅1厨2卫,低楼层 (共18层),127㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,格局好，户型方正 楼间距大 每个房间都有飘窗 明厨明卫,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",凤凰公园，儿童医院，凤凰实验，交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发,,,,,,,,,
196,全天采光！泰和开发商精装修未入住！舒适居住在这里,168万,16322,天宁区雕庄,泰和之春,3室2厅1厨1卫,高楼层 (共33层),102.93㎡,平层,暂无数据,塔楼,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修。户型方正 三开间朝南 双阳台！,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
197,此房，楼层好，采光足，交通便利。,149万,12374,天宁区雕庄,竹韵名苑,3室2厅1厨2卫,中楼层 (共20层),120.42㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房，楼层好，采光足，交通便利。,,故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以,,,,,,,
198,新城泰和之春恒温房 地暖空调 生活方便 环境优美 ..,285万,16194,天宁区雕庄,泰和之春,4室2厅1厨2卫,低楼层 (共32层),176㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新城泰和之春恒温房 地暖空调 生活方便 环境优美 ..,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,南边就是中吴大道有公交，很方便。北边有地铁，楼下有共享单车。东边大概1公里就是高架入口，出行还是很方便的,,,,,,
199,泰和之春 精装三房 房东诚售 随时可看,153.8万,15380,天宁区雕庄,泰和之春,3室2厅1厨1卫,低楼层 (共33层),100㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-06-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,新城泰和之春恒温房 地暖空调 生活方便 环境优美,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的 有钥匙的,,,,,,,
200,开发商精装！泰和之春舒适度高！诚心卖！,166万,16639,天宁区雕庄,泰和之春,3室2厅1厨1卫,低楼层 (共33层),99.77㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房精装修。户型方正 三开间朝南 双阳台！,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
201,户型好 方正 采光明亮 小区环境好 物业好,248万,19459,天宁区雕庄,中海凤凰熙岸,3室1厅1厨2卫,中楼层 (共18层),127.45㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2021-08-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型好 方正 采光明亮 小区环境好 物业好,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,朝阳综合市场，大润发，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,
202,开发商精装大三房！房东诚心卖，全天采光,235万,20407,天宁区雕庄,泰和之春,3室2厅1厨2卫,中楼层 (共29层),115.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-08-29,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 50万元,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,"小区生活实施齐全，商场，菜市场，银行等。
2：小区内有健身器材，小型篮球场，可供小区居民使用。3：小区停车位充足，建有地面临时停车位以及底下停车位。4：小区内24小时保安巡逻","首套房，90平米以下成交价的1%,90平米以上成交价的1.5%，二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6%;3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",交通银行，中国工商银行，中国农业银行，邮政储蓄，绿地公园，大润发房主自荐（业主对房源的描述）,,,,,,,,,
203,此房，楼层好，采光足，交通便利。,155万,12872,天宁区雕庄,竹韵名苑,3室2厅1厨2卫,中楼层 (共20层),120.42㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-07-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房，楼层好，采光足，交通便利。,,故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,综合市场，大卖场，医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以,,,,,,,
204,泰和开发商精装修！空调新风全都有，舒适居住又改善,250万,21151,天宁区雕庄,泰和之春,3室2厅1厨2卫,中楼层 (共33层),118.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,此房精装修。户型方正 三开间朝南 双阳台！,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
205,买一层得一层  业主诚心出售  天宁少有底复  随时看房,324万,22817,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,低楼层 (共17层),142㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,毛坯,一梯一户,有,暂无数据,2023-03-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,买一层得一层  业主诚心出售  天宁少有底复  随时看房,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，儿童游乐设施，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流，地上有会客停车位 4.小区物业国家一级资质物业，24小时保安巡逻,此房满二，满二个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,
206,和山新上好房 大横厅 房东诚售,249.6万,19200,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,低楼层 (共18层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,大横厅，一梯一户，户型方正，采光充足，观景舒适，,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主外地置换 现诚心出售，欢迎看房，随时恭候，如看中房子 见面协商，,,,,,,,,
207,璞樾和山 毛坯四房 复式产品 楼层好 视野佳,280万,19622,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),142.7㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明格局，生活交通配套便利，户型方正，视野好,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
208,菱溪名居毛坯3房 满二 有钥匙随时看房 房东诚售,127万,11870,天宁区雕庄,菱溪名居,3室2厅1厨1卫,低楼层 (共18层),107㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,两梯四户,有,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,菱溪名居毛坯3房 满二 有钥匙随时看房 房东诚售,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
209,此房精装修，未入住位置很好。采光没影响。地暖 空调,278万,18745,天宁区雕庄,泰和之春,4室2厅1厨2卫,中楼层 (共32层),148.31㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-12,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房精装修，未入住。位置很好。采光没影响。地暖 空调,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
210,璞樾和山，跃层，毛坯四房，房东诚售随时看,320万,18286,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),175㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-10-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,全明格局，生活交通配套便利，户型方正，采光充足，看房方便。,1.小区生活设施齐，商场、菜市场等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,,,,,,,,,
211,泰和之春开发商精装修！集中供暖！配套齐全生活便利,258万,17627,天宁区雕庄,泰和之春,4室2厅1厨2卫,中楼层 (共29层),146.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房开发商精装修。户型方正 三开间朝南 ！大双阳台,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄.,此房产权清晰，房源真实，业主诚心出售，看房方便， 业主现诚心出售，证件齐，欢迎看房，随时恭候，随时看房的,,,,,,,,
212,璞樾和山 跃层 净值得房率 中间楼栋 随时看房,260万,18375,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),141.5㎡,跃层,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-06-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房毛坯三房。中间楼层。采光没影响。随时看房,1、24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房,,,,,,,,
213,璞樾和山精装4房 中间楼层全天采光 随时看房,230万,18161,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨2卫,中楼层 (共18层),126.65㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-02-23,商品房,2020-03-14,普通住宅,满两年,共有,有抵押 105万元 招商银行,已上传房本照片,璞樾和山精装4房 中间楼层全天采光 随时看房,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％。,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，弘阳广场。,,此房有贷款，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
214,璞樾和山毛坯三房。中间楼层。此价格只卖两星期,195万,17890,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨1卫,中楼层 (共11层),109㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-18,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元 20 业主自还,未上传房本照片,此房毛坯三房。中间楼层。采光没影响。有钥匙  可随时看房。,1、24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格有来去的。,,,,,,,,
215,璞樾和山 花园位置 中间楼层 跃层 净值得房率随时看房,305万,21632,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),141㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-09-15,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,复式楼，跃层。户型方正，采光充足，观景舒适,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主外地置换 现诚心出售，满二，欢迎看房，随时恭候，如看中房子 见面协商,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
216,璞樾和山 跃层 有大车位，房东诚售 看房随时有密码,360万,20339,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,中楼层 (共18层),177㎡,跃层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-08-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,格局通透，采光好，户型方正 ，配套全。,小区环境优美，新城物业，二十小时安保巡逻，生活方便，交通便捷,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应。 新的儿童医院，幼儿园等齐全,,,,,,,,,
