,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
869,金地天际次新小区，少有的复试楼，业主自住精装全配，,440万,26079,新北区三井,金地.天际,4室2厅1厨2卫,中楼层 (共30层),168.72㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房房子满两年，次新小区精装修的复试楼，房子有车位 诚意出售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,,"此房是复试楼，一楼客厅朝南带阳台，一个卧室朝南。另外一个卧室朝北，餐厅也朝北 全明户型
二楼有个主卧朝南 次卧朝北",,,,,,房子是自己住的装修，东西都是全配好的 直接拎包入住 诚意出售。,,,,
870,复式房子实用面积大飞龙商圈优质物业楼层位置好,400万,24243,新北区三井,金地.天际,4室2厅1厨2卫,中楼层 (共30层),165㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-03-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,复式房子实用面积大飞龙商圈优质物业，纯毛坯。楼层位置很好,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,市府版块、万达商圈、属三井街道交通配套：龙城大道、通江大道、长江路等主干道离市常州南站车程，离常州北站紧车程，离奔牛机场紧车位生活配套：麦德龙紧在咫尺,,,,,,,,,
871,配套设施齐全交通方便，地理位置好，素质高有健身器材,515万,18864,新北区三井,雅居乐星河湾,4室2厅1厨4卫,中楼层 (共29层),273㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-10-30,商品房,2023-12-31,普通住宅,未满两年,共有,有抵押,已上传房本照片,小区地理位置好，居民素质高 配套：有健身器材,此楼栋建造于2013年，位于小区门口楼下免费停车位多 停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安全 交通方便 精装修,,,,,小区门口自带中型生活小店，烟酒店等，小区自带会所，包含体育馆健身房，游泳池，御景天大酒店，小区自带幼儿园，东边有太湖综合市场包含菜市场和中型购物店，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛广场等,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路 32A路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架可快速到达常州各个区域, 向西到达奔牛机场。东南方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘薛家出入口",,,,,,,
872,大名城旁玉龙湾花园精装修两房 楼层好 全天采光,110万,15179,新北区三井,玉龙湾花园,2室2厅1厨1卫,高楼层 (共17层),72.47㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-07,商品房,2016-08-27,普通住宅,暂无数据,共有,有抵押 22万元 工商 客户偿还,已上传房本照片,此房满五唯一，户型好 采光好 业主诚心出售,小区环境优美，与飞龙吾悦广场，飞龙公园，为社区居民提供了优美的生活环境。金玉苑社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,,,,,,,,,
873,地铁一号线精装豪～宅业主诚心出售,498万,27514,新北区三井,新城樾府,4室2厅1厨3卫,中楼层 (共32层),181㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
874,雅居乐优质小区，环境优美，物业强大。,650万,20588,新北区三井,雅居乐星河湾,4室2厅1厨4卫,中楼层 (共30层),315.72㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2020-12-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,雅居乐品质大平层 百米间距 全天采光,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐全，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.小区自带游泳池 健身房等5.交通便利，四通八达，出行更加方便，节省时间6.配套医院近，适合家有老人和孩子的家庭,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,小区门口自带中型生活市场，烟酒店等，小区自带会所，包含体育馆健身房，游泳池，御景天大酒店，小区自带幼儿园，东边有太湖综合市场包含菜市场和中型购物广场，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路 32A路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘",,,,,,,
875,地铁口的别墅，带前后院，采光好，生活配套齐全,820万,27987,新北区三井,天誉城市花园一期,5室2厅1厨5卫,低楼层 (共3层),293㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-03-10,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,项目西依晋陵路、东靠天目山路、南近龙城大道、北临太湖路，,天誉花园，项目特色为新古典主义浪漫风情别墅。地处常州市政府地段，国际原址，独享常州新、市民广场、常州大剧院、奥体、规划馆、博物馆等配套。,契税首套房90平以下 1%，90平以上1.5%90平以上2%三套房不论面积统一3%2税：满两年不论面积 不满二年 收全额的5.6%3个人所得税：满两年1%满五免个人所得税,,,,,目前市场交易量平稳，政策已经基本稳定，是市场触底入手的好时候。请不要错过的好房。,配套齐全，小区就是餐饮，购物广场，医院，菜市场等，小区旁就有幼儿园，四大银行，公园，娱乐场，美食街，只有你想不到 的，没有你买不到的。 【交通配套】交通便利，不行可到站，自驾出行国道高速四通八达，公交站牌就在小区门口，.,,,,联排,,,
876,房子目前空置，装修不错，随时看房，诚心出售！,92万,10980,新北区三井,前桥新村,2室2厅1厨1卫,高楼层 (共6层),83.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,无,暂无数据,2023-05-12,商品房,2019-07-12,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"房子目前空置，
装修比较讲究。
房东卖了置换大一点，房子户型好",1.环境优美：小区安静优雅，绿化较好，有篮球场，乒乓球场等休闲设施，还有凉亭，夏天可在凉亭乘凉，十分有情调。2.交通便利：公交车方向众多，100米处就是外环高架。 3.生活便利：小区内有新怡华，东门就是前桥综合市场，满足生活所需。,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,,,
877,万达旁 新城府翰苑西区 楼层好采光充足 诚心出售,480万,22019,新北区三井,新城府翰苑西区,5室2厅1厨3卫,高楼层 (共18层),218㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,两梯两户,有,暂无数据,2023-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正.采光充足.交通便利.配套齐全,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
878,万和城五区精装四房 高楼层视野 开阔采光好 远离高架,290万,29592,新北区三井,绿都万和城五区,4室2厅2厨3卫,高楼层 (共27层),98㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-06-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,此房高楼层 视野宽阔 采光充足 产证98平 改造后有240平,,契税 A首套 90平米以下 1% B首套 90平米以上 1.5% C二套 90平米以下 1% D二套 90平米以上 2% E三套 不看面积大小都是3% 2. 增值税 满2年免征； 不满2年，全额征收5.3% 2.个人所得税 满五唯一 免征 不满五唯一 征1,,,复式  经典四房 南北格局 房龄新 小区环境保养很好 物业品质较高,设施配套齐全 高架 公交 菜场 万达广场 设施满足基本生活居住.......,,,,,,,,,
879,房东一直自住，为了孩子想换房，诚意出售,328万,17034,新北区三井,旺角花园,5室2厅1厨3卫,高楼层 (共9层),192.56㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-29,商品房,2023-07-03,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房满2年，万达商圈，交通发达，繁华板块,小区在万达商场旁边，新北区板块hx地段，大型购物c市，公交线路多，娱乐，购物，休闲，集中。物业严格，安保严密，绿化密植。读书，上班，购物，休闲,,,,,一路之隔是万达商场，丰城国际，华润c市，距离环球港1公里，地铁站1公里。众多公交线路四通八达，对应的读书教育机构都是区zd,业主自住未出租过，目前自住，房东诚心卖。 满2年，看房方便，房东准备卖了这套房子之后给儿子买婚房,,,,,,,,
880,美林国际村顶楼复式真实在售，业主诚心，欢迎咨询,298万,16742,新北区三井,美林国际村,5室3厅1厨3卫,高楼层 (共6层),178㎡,复式,暂无数据,平房,南,框架结构,精装,暂无数据,无,暂无数据,2022-02-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,生活方便 交通便利 看房提前预约,小区环境好，物业管理好，居住人群集中，感兴趣可以实地看下，，，,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%； 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,此房产权清晰，房源真实，精装修，装了暖气片，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
881,金地.天际 5室2厅 南,550万,19326,新北区三井,金地.天际,5室2厅1厨3卫,高楼层 (共27层),284.6㎡,复式,暂无数据,塔楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
882,雅居乐优质小区，环境优美，物业强大。,645万,20430,新北区三井,雅居乐星河湾,4室2厅1厨4卫,中楼层 (共30层),315.72㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2020-12-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,雅居乐品质大平层 百米间距 全天采光,1.环境优雅，低密度社区2.绿化优美，感受大自然带来的美丽3.儿童游乐设施齐全，给孩子快乐的童年，减少带孩子外出游玩带来的麻烦4.小区自带游泳池 健身房等5.交通便利，四通八达，出行更加方便，节省时间6.配套医院近，适合家有老人和孩子的家庭,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,小区门口自带中型生活市场，烟酒店等，小区自带会所，包含体育馆健身房，游泳池，御景天大酒店，小区自带幼儿园，东边有太湖综合市场包含菜市场和中型购物广场，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路 32A路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘",,,,,,,
883,飞龙吾悦旁，银一城一期，装修好明厨卫,132万,13904,新北区三井,银河湾第一城一期,2室2厅1厨1卫,低楼层 (共22层),94.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-27,商品房,2018-08-21,普通住宅,暂无数据,非共有,有抵押 80万元,已上传房本照片,幼儿园，飞龙中小，飞龙体育公园，高架出入口，门口两排底商,,,,本小区适合一些年轻客户自主的，总价低，适合一家人居住，小区邻近公园，常鲸，飞龙吾悦，满足生活需求。,"1、房源位于小区内，全天采光，视野无遮挡。
2、户型方正、朝南采光好 
3、此房源为本小区为数不多的好房，产权明晰",幼儿园，飞龙中小，飞龙体育公园，高架出入口，门口两排底商，飞龙吾悦在建,,,,,,,,,
884,挑空，挑高，6米多挑高，200万装修，小区少有,580万,21482,新北区三井,雅居乐星河湾,4室3厅1厨3卫,高楼层 (共28层),270㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-04-22,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 350万元 银行 客户偿还,未上传房本照片,前排全天采光，精装修200万，客厅带挑高的，住起来舒服,,购房者来说，买这套房子契税：首套1.5，二套2，三套及以上3个点（*总价），个税：一个点（因为满二了，并未满五）,,,东边户，南通北透大三房，二楼也做了房间，视野很好，采光全天，主要装修很用心，现在自己住的。,新北区市政板块，到新北万达近，泰山的小以及新北实y中x，龙城大道在小区南面，出行方便。,,,,,,,,,
885,（也跟房东沟通很到位）诚心出售，接受周期长的客户,680万,26667,新北区三井,雅居乐常乐府,5室1厅1厨4卫,低楼层 (共8层),255㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 银行,未上传房本照片,新北万达旁，雅居乐常乐府，纯洋房叠墅小区看房方便,小区位于市政府板块，近通江路，靠高架，出行方便，小区环境优美，居民素质高,契税： 首套房1.5% 二套房2% 三套房3% 增值税： 满两年免征， 不满二年 收全额的5.6% 个人所得税： 未满五年1% 满五唯一免个人所得税,,,,,,小区北边是太湖路，旁边有多家银行，各种餐饮店，向东就是新北万达广场，府琛商务广场，太阳广场，丰臣国际广场,,,,,,,
886,小区环境优雅，配套成熟，交通便利，居住舒适。,199万,11638,新北区三井,西小村小区,4室2厅1厨2卫,中楼层 (共6层),171㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,无,暂无数据,2023-08-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
887,市政府东侧3居室精致装修，中上楼层好户型,265万,17889,新北区三井,水木年华,3室2厅2厨1卫,中楼层 (共15层),148.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-04-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地段好，楼层好，装修好，诚意出售，随时看房。,小区地理位置好，交通、生活、健身、娱乐，都很方便。小区绿化多，物业管理严格，居住舒适。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,出小区就是主干道，步行200米到达地铁口，门口生活市场，市民广场，奥体紧靠小区，生活方便。,,,,,,,
888,新城牡丹格拉美西-洋房 大平层 品质小区,515万,26135,新北区三井,新城牡丹格拉美西,5室2厅1厨3卫,中楼层 (共8层),197.06㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新城牡丹格拉美西-洋房 大平层 品质小区 毛坯 诚心出售,1，小区位于飞龙板块，楼间距大，绿都最 新小区， 2，小区实行人车分流，出行更安全，全天安保工作到位 3，小区环境好，绿化优美。,税费：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 不满二年 收全额的5.6%税费：,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利，生活用品及买菜十分便利，生活轻松,,,,,,,,,
889,百草园精装两房拎包即住138万诚意出售,138万,14308,新北区三井,百草苑,2室2厅1厨1卫,中楼层 (共30层),96.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2022-07-22,商品房,2020-03-26,普通住宅,暂无数据,共有,有抵押 68万元 兴业银行,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,业主人友好、热情，很有诚意出售。138万拎包即住，欢迎看房，随时恭候。,,,,,,,,
890,常乐府顶复  清水毛坯  近万达  诚心出售,430万,27742,新北区三井,雅居乐常乐府,4室2厅1厨3卫,高楼层 (共6层),155㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,三井片区，雅居乐常乐府，旁边配套全，洋房叠加别墅,小区位于市政府板块，近通江路，靠高架，出行方便，小区环境优美，居民素质高,契税： 首套房1.5% 二套房2% 三套房3% 增值税： 满两年免征， 不满二年 收全额的5.6% 个人所得税： 未满五年1% 满五唯一免个人所得税,,,,,,小区北边是太湖路，旁边有多家银行，各种餐饮店，向东就是新北万达广场，府琛商务广场，太阳广场，丰臣国际广场,,,,,,,
891,恐龙园—龙湖原山毛坯联排别墅诚心出售,1380万,35659,新北区恐龙园,龙湖原山,5室3厅1厨5卫,低楼层 (共3层),387㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-08-25,商品房,暂无数据,别墅,暂无数据,共有,有抵押 490万元,未上传房本照片,此房通透格局方正楼层佳视野开阔阳光充足价格小刀,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",权属抵押： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光通透,,,出门就是主路，有公交，共享大单车后续还会有地铁，高架出行也方便，无论步行，骑车，开车，或者后续地铁都方便,,,,暂无数据,,,
892,雅居乐星河湾大平层精装修看房方便欢迎推荐,518万,18947,新北区三井,雅居乐星河湾,3室2厅1厨3卫,低楼层 (共23层),273.4㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2021-10-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 150万元,未上传房本照片,生活方便 交通便利 看房提前预约,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
893,叠加别墅的下层，采光和视野都很不错,430万,18219,新北区三井,水木年华,5室3厅1厨3卫,低楼层 (共4层),236.03㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-01-25,商品房,2007-09-28,普通住宅,暂无数据,共有,无抵押,已上传房本照片,本房适合婚房、改善居住 旁边就是绿洲家园菜场，买菜方便,,"1、契税：首套房，90平米以下成交价的1％ ，二套房90平以下成交价的1%,三套及以上成交价的3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房免收个税，未满5年成交价1%",,本房适合婚房、改善居住 旁边就是绿洲家园菜场，买菜方便 小区自带5000方大型购物场所，购物便捷,,,,小区门口有50路、53路、b10路、14路、29路、31路、60路等多条公 交线路经过，出行方便，近1号线地铁奥体站,,,,,,,
894,新市府区万达商圈，新城府翰苑，装修采光好，交通便利,430万,17992,新北区三井,新城府翰苑东区,5室2厅1厨3卫,高楼层 (共17层),239㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,新市府区万达商圈，新城府翰苑，装修采光好，交通便利,小区环境优美媲美公园，人车分流。24小时安保服务。新城自己的物业。常州人都比较认可的物业公司。,,,,此房方方正正，明厨明卫敞亮不压抑，两个朝南的卧室，主卧室带独立卫生间有窗户，次卧室带阳台，阳台出去就是院子 客厅朝东的一个腰厅设计，更是阔大了采光面，让光照更加的充足。,小区北边是鼎鼎大名的大渡河路小吃一条街。车水马龙人流熙熙攘攘映射了繁华都市的缩影。南边是常发广场，购物买菜，电影院都一应俱全。一句话配套相当成熟，完全满足年轻人都对繁华地段的要求 小区东边是地铁1号线，距离站口也就是500米的距离。,,,,,,,,,
895,新北飞龙精装修三房，楼间距大，两房朝南,140万,12125,新北区三井,银河湾第一城一期,3室2厅1厨2卫,中楼层 (共18层),115.47㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-05-18,商品房,2011-11-02,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房带装修，中间楼层，两房朝南，客厅朝北，实用性高,小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。 小区成熟，购物交通便利 适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。,,,,,两公里内有幼儿园，飞龙中小，飞龙体育公园，高架出入口，门口两排底商，飞龙吾悦在建,,距离飞龙公园仅1500米，距离万达广场直线距离仅1000米，距离麦德龙大卖场仅1000米。龙城高架近在咫尺，出小区门口行驶两百米直接可以上高架了。距离高铁北站仅5千米，出行方便,,,,,,,
896,飞龙吾悦旁 精装两室 诚心出售,140万,15973,新北区三井,绿都万和城三区,2室2厅1厨1卫,低楼层 (共30层),87.65㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-23,商品房,2015-06-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正，楼层采光好，飞龙吾悦旁 精装两室 诚心出售,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,小区门口有万和minimall，烟酒店等，耶鲁双语幼儿园，往东太湖路上有，农业银行，邮政银行，中国 银行，工商银行，三井医院，万达广场，府琛广场等,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可 到万达商圈,,,,,,,
897,新北雅居乐星河湾大平层四套间百米楼距看房随时,300万,16394,新北区三井,雅居乐星河湾,4室2厅1厨3卫,低楼层 (共34层),183㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯六户,有,暂无数据,2023-10-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,新北万达商圈，无遮挡视野好，房东诚信出售 百米楼间距,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,"首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,"小区楼下有共享单车，和两个公交站台有公交213路 46路 111路 32路，可到达江南商场，奔牛，西林，火车站等多个地方，小区南边是龙城高架，也通往常州各个区域, 向西到达奔牛机场。市区方向到火车站向北到达常州高铁北站和沪蓉高速龙虎塘.",,,,,,,
898,翡翠锦园中上楼层，采光很好，无遮挡，户型好。,235万,18218,新北区三井,翡翠锦园,3室2厅1厨1卫,中楼层 (共34层),129㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2021-07-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,通江路地段佳！御景湾旁！三房户型好，采光良好。商圈齐全,新北万达旁，次新小区，小区人车分流，管理完善，此房远离高架，位置安静,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,,小区门口自带中型生活商店，烟酒店等，小区自带会所，包含体育馆健身房，游泳池，御景天大酒店，小区自带幼儿园，东边有太湖综合市场包含菜市场，太湖路旁有，农业银行，邮政银行，中国银行，工商银行，三井医院，万达广场，府琛..,,,,,,,,,
