,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,权属抵押,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,周边配套,房源核验码,查询房管备案记录,装修描述,交通出行,适宜人群
56,"此房格局好,南北通风户型,全天采光,户型方正视野好",49万,5327,金坛区西城街道,北环小区,2室2厅1厨1卫,高楼层 (共5层),92㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-05-08,商品房,2022-08-02,普通住宅,未满两年,共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","此房格局好,南北通风户型,全天采光,户型方正视野好,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,塔楼,暂无数据,暂无数据,,,,,,,
57,本套房源面积大，有汽车库，静待有缘人,105.8万,7000,金坛区西城街道,美地蓝庭,4室1厅1厨2卫,中楼层 (共5层),151.16㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-08-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,平房,暂无数据,暂无数据,,,,,,,
58,凤凰城 3室2厅 南,85万,7265,金坛区西城街道,凤凰城,3室2厅1厨1卫,中楼层 (共5层),117㎡,暂无数据,南,框架结构,其他,,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,平层,平房,暂无数据,暂无数据,,,,,,,
59,此房户型方正，楼层好，采光充足.,130万,10071,金坛区西城街道,虹亚亲亲家园,3室2厅1厨2卫,高楼层 (共14层),129.09㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房户型方正，楼层好，采光充足.,"此房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,暂无数据,暂无数据,暂无数据,,,,,,,
60,文化一村三房过渡好房，95.00m²,51万,5369,金坛区西城街道,文化一村,3室2厅1厨1卫,高楼层 (共5层),95㎡,暂无数据,南 北,混合结构,精装,,暂无数据,2020-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上
2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5
年征1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,板楼,暂无数据,暂无数据,,,,,,,
61,北环西路19号3-1-1-1 89.00m²,50万,5618,金坛区西城街道,北环西路19号,3室1厅1厨1卫,中楼层 (共4层),89㎡,暂无数据,东南,未知结构,简装,,暂无数据,2022-02-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",现业主诚心出售，证件齐全，看房需提起前预约，随时可签！价格可谈！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,平层,暂无数据,暂无数据,无,,,,,,,
62,美地蓝庭3-1-1-1 106.00m² 83.8 万,83.8万,7906,金坛区西城街道,美地蓝庭,3室1厅1厨1卫,低楼层 (共6层),106㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-05-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,平房,暂无数据,无,,,,,,,
63,金城花园多层顶复一层产证面积103平方，3室以上,63.8万,6195,金坛区西城街道,金城花园,3室2厅1厨2卫,高楼层 (共5层),103㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-03-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,板塔结合,暂无数据,暂无数据,,,,,,,
64,"颐和世家，电梯复式,南北通风户型,全天采光",176.8万,9834,金坛区西城街道,颐和世家,3室2厅1厨3卫,高楼层 (共11层),179.8㎡,暂无数据,南,框架结构,精装,,暂无数据,2020-12-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,塔楼,暂无数据,暂无数据,,,,,,,
65,春风公园旁 顶楼复式 有70平左右的阁楼 业主诚心出售,55万,5613,金坛区西城街道,春风二村,4室2厅1厨2卫,高楼层 (共6层),97.99㎡,暂无数据,南,砖混结构,简装,,暂无数据,2020-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,塔楼,暂无数据,暂无数据,,,,,,,
66,（文化二村3-1-1-1 117.00m²,68万,5812,金坛区西城街道,文化二村,3室2厅1厨1卫,中楼层 (共5层),117㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2021-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,平房,暂无数据,暂无数据,,,,,,,
67,山湖城花园湖畔小院3-2-1-2 110.00m²,110万,10000,金坛区西城街道,山湖城花园湖畔小院,3室2厅1厨2卫,低楼层 (共3层),110㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-11-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,欢迎随时随地看房,随时恭候,如看中房子,价格可谈",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,平层,暂无数据,暂无数据,暂无数据,,,,,,,
68,房格局好南北通风户型全天采光户型方正视野好干湿分离,61.8万,5518,金坛区西城街道,景阳花园,5室2厅1厨2卫,高楼层 (共6层),112㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-09-05,商品房,2019-03-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房格局好南北通风户型全天采光户型方正视野好干湿分离,"：
房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","：
业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","：
契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%",,复式,暂无数据,暂无数据,暂无数据,,,,,,,
69,元巷小区电梯三室二 厅 毛坯房 房东诚心出售,65万,5417,金坛区西城街道,金城镇元巷小区,3室2厅1厨2卫,中楼层 (共11层),120㎡,暂无数据,南,框架结构,毛坯,,暂无数据,2021-03-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满二年，，可以贷款过户，电梯中间楼层，有钥匙，随时看房,房子三空间朝南，二个卫生间，采光好，客厅朝南，南北通风，小区楼间距大，,房东在坛有多套房子。所以卖掉这套去做别的生意。房东诚心出售。看中房子价格可以谈,,,平层,板塔结合,一梯三户,有,小区内部环境好，都是电梯房，小区配备了幼儿园，建设银行，菜市场。设施齐全生活便利,,,,,,房子是电梯房，适用每个阶段的客户，有需要的朋友欢迎随时看房，房子是毛坯，根据你的风格装修房子
70,恒大御湖庄园，147平，三居室，有花园,170万,12033,金坛区西城街道,恒大御湖庄园,3室2厅1厨3卫,低楼层 (共3层),141.28㎡,140㎡,南,未知结构,精装,双拼,暂无数据,2021-11-10,商品房,2022-07-01,别墅,未满两年,非共有,有抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
71,好楼层，精装修，有个小车库，拎包入住,72.8万,5688,金坛区西城街道,景阳花园,2室2厅1厨1卫,中楼层 (共6层),128㎡,暂无数据,南,钢混结构,精装,,暂无数据,2022-11-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五唯一，视野宽阔，采光充足，配套设施齐全，交通便利,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,平层,板楼,暂无数据,暂无数据,小区有小型的游乐区和健身区域，让您和家人在休息的时候可以一起享受欢乐的亲子时光,,,,业主精装修，平时爱干净整洁，保养得好，让您节省了装修的时间和成本,,
72,爬楼顶楼 带个小车库 看中价格好谈,39.8万,5453,金坛区西城街道,文化新村,3室1厅1厨1卫,高楼层 (共5层),73㎡,暂无数据,南 北,框架结构,简装,,暂无数据,2023-05-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子 有钥匙 随时看房",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,板塔结合,暂无数据,暂无数据,,,,,,,
73,电梯好楼层   拎包入住  看中价格好谈,119.8万,9287,金坛区西城街道,虹亚亲亲家园,3室2厅1厨1卫,低楼层 (共14层),129㎡,暂无数据,南 北,未知结构,精装,,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子 有钥匙 随时看房","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
74,凤凰城 精装修 120平 3室2厅 采光好 商圈成熟,83万,6917,金坛区西城街道,凤凰城,3室2厅1厨1卫,低楼层 (共5层),120㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-08-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五不唯一 户型方正 采光好 朝向南北 产权清晰 随时交易,,房东诚心出售，置换新房，改善居住条件，房源真实有效，产权清晰，手续齐全，保障购房人的合法权益，无后顾之忧，看房方便，随时可签。,,,平层,平房,暂无数据,暂无数据,,小区外有公园，医院，大型购物商场，银行，公交站台，教育机构，商圈成熟，配套齐全，出行便利。,,,,,此房楼层低，采光好，户型方正，小区环境优美，绿化高，舒适安静，适合年轻人，老人和小孩居住，交通便利，商圈成熟，配套齐全。
75,"金溪新村三室两卫,南北通风 全天采光 户型方正视野好",99.9万,6660,金坛区西城街道,金溪新村,3室2厅1厨2卫,中楼层 (共5层),150㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-04-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风,全天采光,户型方正视野好,干湿分离,.","此房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,平层,暂无数据,暂无数据,暂无数据,,"小区配套成熟，包括KFC,星巴克，大娘水饺，百特喜，大统华等优质品牌",,,,,
76,户型方正，采光充足，房东很好说话 价格可谈,93.8万,8301,金坛区西城街道,虹亚亲亲家园,2室2厅1厨1卫,低楼层 (共20层),113㎡,暂无数据,南,钢混结构,精装,,暂无数据,2023-05-03,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,采光充足，户型方正，位置有优势,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,平层,暂无数据,两梯两户,有,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,,,,金坛区焦点位置，交通四通八达  购物方便 医院就在旁边，小区旁边还有金坛的运河，去高速也方便,
77,文化三楼 楼层佳，精装修三年，有钥匙，看房子方便,45.8万,6190,金坛区西城街道,文化新村,2室1厅1厨1卫,中楼层 (共5层),74㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,三楼楼层佳，精装修三年，有钥匙，看房子方便，上学方便,房子是朝南的两居室，主卧阳台，格局方正，好利用，此房好楼层，不临街，采光视野开,,,,平层,板塔结合,暂无数据,无,该小区居民大部分为自住，多层的住宅，现在物业重新翻新，小区外观和环境整体都比较不错，置换过来的年轻人较多，居民素养很高。小区外有生鲜商、餐饮店一应俱全,,,,质量环保装修，硬装风格现代简约又高品质，全屋水、电、管等全部装修公司设计施工。可根据自己喜好布置软装，轻松打造一个属于自己的温馨的家。户型方正，南北通风，视野也很好，前后无遮挡，每个房间采光都很好，适宜居住。,,
78,白凉亭新村2-1-1-1 60.00m² 40 万,40万,6667,金坛区西城街道,白凉亭新村,2室1厅1厨1卫,低楼层 (共1层),60㎡,暂无数据,南,未知结构,简装,,暂无数据,2022-02-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"格局好,南北通风户型,全天采光,户型方正视野好",,,"税费解析： 套房90平以下成交价的1%,90平米以上1.5%，二套房90平米以下1%，90平米以上2%",权属抵押： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,平层,暂无数据,暂无数据,暂无数据,,,,,,交通出行： 出行方便 小区门口菜场便利 小区门口有公交车 距离八佰伴500米,
79,西门大街 两室 精装修 看房方便,28.8万,3914,金坛区西城街道,西门大街,2室1厅1厨1卫,高楼层 (共6层),73.6㎡,暂无数据,南,框架结构,简装,,暂无数据,2022-05-29,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房子地理位置好，生活，出行都是很方便的,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可以商量","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%",,平层,板楼,暂无数据,暂无数据,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,
80,金城镇元巷小区3-2-1-1 105.00m²,70.8万,6743,金坛区西城街道,金城镇元巷小区,3室2厅1厨1卫,高楼层 (共11层),105㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-12-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,板塔结合,暂无数据,暂无数据,,,,,,,
81,雅居乐山湖城4-2-1-4 129.00m²,326万,25272,金坛区西城街道,雅居乐山湖城,4室2厅1厨4卫,低楼层 (共2层),129㎡,暂无数据,南,框架结构,精装,暂无数据,暂无数据,2021-12-27,商品房,暂无数据,别墅,暂无数据,共有,有抵押 业主自还,未上传房本照片,茅山旅游度假胜地，雅居乐山湖城联排别墅1~2层，内有院子,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,,,,,,
82,城北小区3-2-1-1 106.79m² 64.6 万,59万,5525,金坛区西城街道,城北小区,3室2厅1厨1卫,中楼层 (共5层),106.79㎡,暂无数据,北,砖混结构,精装,,暂无数据,2021-08-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好","房格房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫局好,南北通风户型,全天采光,户型方正视野好","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,平层,塔楼,暂无数据,无,,,,,,,
83,城北小区4楼 3室2厅1厨1卫 老精装 保养好 有朝南车库,59.8万,5750,金坛区西城街道,城北小区,3室2厅1厨1卫,中楼层 (共6层),104㎡,暂无数据,南 北,砖混结构,简装,,暂无数据,2023-09-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,平层,塔楼,暂无数据,暂无数据,,,,,,,
84,"此房格局好,南北通风户型,全天采光,户型方正",62万,5255,金坛区西城街道,文化二村,4室2厅1厨1卫,高楼层 (共4层),118㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-08-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,暂无数据,暂无数据,暂无数据,,,,,,,
85,雅居乐山湖城3-2-1-2 96.51m²,210万,21760,金坛区西城街道,雅居乐山湖城,3室2厅1厨2卫,低楼层 (共1层),96.51㎡,暂无数据,南,未知结构,精装,,暂无数据,2021-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,平层,暂无数据,暂无数据,暂无数据,,,,,,,
86,常州市金坛区西城街道金桂美芦电梯8楼,100万,8621,金坛区西城街道,金桂美庐,3室2厅1厨1卫,高楼层 (共9层),116㎡,暂无数据,南,未知结构,精装,,暂无数据,2022-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好，交通便利.","房子格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫。",现业主诚心出售，证件齐全，看房需提起前预约，随时可签！价格可谈！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,平层,板塔结合,一梯三户,有,,,,,,,
87,上庄农民公寓 2室2厅 南,48万,5162,金坛区西城街道,上庄农民公寓,2室2厅1厨1卫,中楼层 (共6层),93㎡,暂无数据,南,框架结构,精装,,暂无数据,2023-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,平层,板塔结合,暂无数据,暂无数据,,,,,,,
88,此房出门就是文荟？？园二中就在隔壁.房子视野开阔,78万,5389,金坛区西城街道,文荟苑北区,3室2厅1厨2卫,中楼层 (共6层),144.75㎡,暂无数据,南 北,砖混结构,精装,,暂无数据,2023-05-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房出门就是幼儿园，二中就在隔壁，房子在四楼，视野开阔,,房东想改善居住环境，住电梯房，主要是女儿在常州上班，想买到新城区去，卖了去买新房,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。","此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",平层,塔楼,暂无数据,无,,,,,,,
89,雅居乐山湖城3-2-0-3 90.25m²,155万,17175,金坛区西城街道,雅居乐山湖城,3室2厅0厨3卫,低楼层 (共2层),90.25㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,2021-10-16,商品房,暂无数据,别墅,暂无数据,非共有,有抵押 业主自还,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,欢迎随时随地看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
90,阳光花园(金坛)4-3-1-2 131.00m² 88.8 万,77.8万,5939,金坛区西城街道,阳光花园(金坛),4室3厅1厨2卫,高楼层 (共5层),131㎡,暂无数据,南,框架结构,精装,,暂无数据,2021-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正.",,业主房产较多，置换新房房屋状况：随时可以看房，业主随时可以签约特殊要求：业主无特殊要求，贷款，全款都可以,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",复式,板塔结合,暂无数据,暂无数据,,,,,,,
