,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
642,天润园精装3＋1四朝南户型采光刺眼看房方便,200万,14476,新北区河海,天润园,3室2厅1厨2卫,低楼层 (共30层),138.16㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2021-01-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
643,御庭园，精装修，交通便利，采光充足,398万,30616,新北区河海,御庭园,3室2厅1厨2卫,低楼层 (共29层),130㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-04-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野宽阔，采光充足，格局分明，明厨明卫，开间朝南,次新小区，一夜间只剩下尾盘，并未对外开放销售，所以小区居住人群都是素质人群，而且所卖户型都是大户型改善为主。,,,,,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,新北区高点楼盘，欧式园林风，对标恐龙园龙湖景粼天著，万达商圈新城御景湾，是河海板块节节高楼盘,,,,,,
644,新区公园旁 地铁口 双阳台 满五唯一  都市雅居,175万,17240,新北区河海,都市雅居,2室2厅1厨1卫,低楼层 (共11层),101.51㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,暂无数据,2023-01-30,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，格局好，前后双阳台，两个大房间,,,,房屋所在楼栋为小高层，前后楼间距大。房子格局方正，双阳台格局，通透明亮。,,房子没有贷款，没有抵押，产权清晰。房东诚心卖，可以随时过户。,,,"小区地段好，出门就是公园，地铁。
小区环境好，小桥流水，绿树成荫，繁花点缀。
小区一共10栋楼，都是小高层，邻里关系和睦。",,,,,,
645,央企品质三房 精装修 拎包入住 看房方便,140万,12821,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,高楼层 (共18层),109.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区中海物业 环境好 小区新 房型好 视野好,,,,房龄新 楼间距大，舒适度高， 精装修 楼层佳 业主诚心出售 视野开阔 舒适三房,,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%。,央企 中海物业 小区生活方便，出小区800米到玲珑菜场跟信特卖场 龙虎塘 学 校 到幼儿园出小区100米就能到 平常带孩子步行即可,,,,,,
646,新北万达旁（精装修三房，中高楼层全天有采光）满两年,145万,10662,新北区河海,侨光苑,3室2厅1厨1卫,中楼层 (共18层),136㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-03-20,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，居住舒适； 2、楼层佳，朝向南北，..,,地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静。 2、小区周 边生活设施齐，各大银行、*市、菜场、商场、饮食近在咫尺，生活起居非 常的方便。 2、 小区绿 化率高，楼间距也特 别的大，房间格局分明、采光足,,,,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,,,,,,
647,兰翔新村，地铁口，中间楼层，房东诚售,65万,11319,新北区河海,兰翔新村,2室1厅1厨1卫,高楼层 (共6层),57.43㎡,平层,暂无数据,平房,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2022-10-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 34万元,未上传房本照片,房子近小区南门 出门就是菜场 公交站台 地铁口,,,,朝南户型 地段优越 格局好 通透性好 采光刺眼 欢迎随时看房,,房子有抵押 ，属于正常房产抵押， 可以正常交易， 房主诚心出售。,,目前在常州首房首贷首付3成，二贷首付3成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征，不满二5.3增值税,,,,,,,
648,精装修  怀德名园  舒适好房,155万,14091,新北区河海,常信怀德名园,3室2厅1厨1卫,中楼层 (共18层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,怀德名园小区环境优雅，配套成熟，交通便利，居住舒适。,,"生活设施齐 ，农贸菜场, 商场, 饮食近在咫尺, 生活起居很方便。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大..,,,,,,,
649,户型方正，面积适中 布局舒展，尺度宽松，动静分区,198万,15115,新北区河海,凤凰苑,3室2厅1厨2卫,高楼层 (共18层),131㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2020-02-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，面积适中 布局舒展，尺度宽松，动静分区,,,,全明设计，南北通风，即充分采光，又有利于室内空气流通，餐厅北面带阳台设计，采光，观景，生活更方便,客卫干湿分离又照顾到了3个卧室及客厅的便利性，全明设计，南北通风，即充分采光，又有利于室内空气流通,,,,"：
凤凰苑：自由自宅整体规划走向呈Ｌ型布局，全框架结构建筑，由一栋１８层高层连同１１层辅楼组成，十多万平方米的新区公园，蓝港广场二大绿地围合相拥",,,,,,
650,恐龙园旁 荣盛馨河郦舍小洋房 有车位和地下储藏室,325万,24216,新北区河海,荣盛馨河郦舍,3室2厅1厨2卫,中楼层 (共5层),134.21㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2021-02-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,
651,燕兴新村复式 地铁口交通方便享受三代同堂的惬意生活,152万,13104,新北区河海,燕兴新村东区,4室2厅2厨2卫,高楼层 (共6层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-08-23,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满二 让空间复制，让全家舒适，比一比，看一看复式房源,,,"新区公园（地铁1号线）
保纳广场（33路，42路）
庐山桥（24路）",4房2厅 2卫河海商圈在售房源平均得房78.6% ，本房得房95%,,,,,"燕兴新村西区篮球场
新区公园
金陵江南游泳馆
万达广场 环球港 恐龙园",,,,,,
652,新区公园片区  吟枫苑 三房 房东去外地发展 急售,235万,17670,新北区河海,吟枫苑西区,3室2厅2厨1卫,低楼层 (共12层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2019-11-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新区公园边，小区环境优雅，配套成熟，交通便利，居住舒适。,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，没有贷款，看房提前联系，目前出租中，如看中房子，价格可谈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
653,御庭园 5室3厅 南,598万,27432,新北区河海,御庭园,5室3厅1厨3卫,高楼层 (共29层),218㎡,复式,暂无数据,塔楼,南,框架结构,精装,两梯一户,有,暂无数据,2022-07-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,,,,,,,,,,,,,,,,
654,高档小区3房2卫清爽装修！一梯一户带租出售,270万,16875,新北区河海,华亭苑,3室2厅1厨2卫,中楼层 (共23层),160㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2019-11-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正 使用面积合理小区环境优美 交通便利 商 业成熟配套齐,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.6% 个人所得税：不满5年征1%、,小区生活设施齐，商场、*市、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡,,,,,,
655,"采光充足,配套齐全， 格局分布合理。",160万,15572,新北区河海,繁華里,2室2厅1厨1卫,高楼层 (共40层),102.75㎡,平层,102.75㎡,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-30,商品房,2023-03-30,普通住宅,未满两年,共有,有抵押 120万元 客户偿还,已上传房本照片,"采光充足,配套齐全， 格局分布合理。",,"地下停车库,停车位充足,二十四保安巡逻,菜场,商场,银行等配套设施齐 全,生活方便快捷,交通便利 售房详情小区地理位置佳,绿化好,居民素质高,有健身器材,活动场所,建有地上停车场和 房东置换,诚心出售,看房提前约就好。房子看满意了价格可以谈。",,,,,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,小区地理位置绿化居民素质高配套:有健身器材小型篮球场可供小区居民使用车 位:停车位充足建有地上停车场和地下车库保安:小区内24保安巡逻,,,,,,
656,面积大 近万达可以看到中公园 朝南,129万,14334,新北区河海,荣盛锦绣华府,2室2厅0厨2卫,中楼层 (共19层),90㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,四梯二十三户,有,暂无数据,2021-12-21,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,万达旁边楼层好，视野宽阔，采光好，配套设施齐全，交通便利,,"：
南面是湿地公园，吃喝玩乐一应俱全！距离万达仅1.5公里！距离江南环球港2.2公里！",,房间位于第排 前排就是央公园 景观房 产证90平 实际面积180平 面积大,,,,,巡逻位置：地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,,,,,,
657,万达旁 配套成熟 交通便利 科技住宅 恒温恒湿恒氧,340万,22667,新北区河海,朗诗绿郡花园,4室2厅1厨2卫,中楼层 (共18层),150㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-08-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,万达旁 配套成熟 交通便利 科技住宅 恒温恒湿恒氧 户型方正,此房为科技住宅 恒温恒湿恒氧 新风系统 全屋净水 四季如春 低密度舒适型住宅 生活配套成熟 交通便利 老人孩子皆适宜,新区公园 万达广场 丰臣国际 乐购 沃尔玛 常州九悦医院 河海派出所 河海菜场 三井医院 奥体体育馆 交通便利： BRT B1 B11 B19 11 33 通江路下即可,,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2.增值税：产证满2年免收增值税，未满2年征收5.3％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,
658,顶楼复式，利用面积多，满五年 ，有钥匙 ，随时看房,398万,20102,新北区河海,长兴好日子家园,5室2厅1厨3卫,高楼层 (共11层),198㎡,复式,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房业主精装自住，保养好，满五唯一，业主诚售,户型合理，格局方正，三代同堂，或者说多口之家。各个活动区域分明，改动方便，都可以合理利用，,"：
配套完善，新区公园近在咫尺 一条马路之隔就到啦。河海菜场跟燕兴菜场就在旁边 买菜方便，公交便利。*市、水果店、食品店、银行等 配套齐全
出门地铁口，万达，环球港，恐龙园步行也就一刻钟",,,,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%，公寓楼涉及到一个土地增值税 根据房屋买入卖出差价具体核算。,小区人车分流，私密性很好，物业管理到位，生活便利，交通发达，有钥匙，随时看房。,,,,,,
659,华亭苑，森林式住宅， 精装修 房东很诚心卖,333万,17713,新北区河海,华亭苑,4室2厅1厨2卫,中楼层 (共22层),188㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型周正，格局分布合理，居住舒适； 2、楼层佳，朝向南北,,地理位置优越，交通便利，出门就有公交站点，绿化优美，小区环境幽静。 2、小区周 边生活设施齐，各大银行、菜场、商场、饮食近在咫尺，生活起居非 常的方便。 2、 小区绿 化率高，楼间距也特 别的大，房间格局分明、采光足,,,,,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安,,,,,,
660,央企品质三房 精装修 拎包入住 看房方便,140万,12821,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,高楼层 (共18层),109.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-02-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区中海物业 环境好 小区新 房型好 视野好,,,,房龄新 楼间距大，舒适度高， 精装修 楼层佳 业主诚心出售 视野开阔 舒适三房,,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%。,央企 中海物业 小区生活方便，出小区800米到玲珑菜场跟信特卖场 龙虎塘 学 校 到幼儿园出小区100米就能到 平常带孩子步行即可,,,,,,
661,精装修三房，采光无遮挡，房东诚售，看房方便,209万,15715,新北区河海,都市雅居,3室2厅1厨2卫,中楼层 (共17层),133㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2020-03-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,精装修三房，楼层佳，视野好，采光无遮挡，房东诚售，看房方便,,小区南边就是新区公园，天然大氧吧，离河海菜场、万达都比较近，配套完善，生活便利,,高层，南北通风，三朝南方正户型，两个房间+客厅都朝南，没有浪费面积，利用率高,,,,该房是纯商品房，已经满十年，没有高额的增值税，税费主要有：个税是1%、首套房契税是1.5%，二套是2%，三套及以上是3%。,,,,,,,
662,富都小区 精装三房 中间楼层 满二,140万,14913,新北区河海,富都花苑北村东区,3室2厅1厨1卫,中楼层 (共6层),93.88㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-01-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 4.9万元,未上传房本照片,距离环球港近，诚心出售价格可谈，看房方便,,距离中 央公园1200米，距离环球港1000米，距离菜场500米，配套齐全！,环保自行车、公交车都很方便，小区门口就是了，BRT在通江路上，距离近，交通方便,,,,,契税：首套房，90平以下成交价的1%，90平米以上成交价的1.5%；二套房：90平以下成交价的1%，90平米以上成交价的2%；三套及以上：成交价的3%,,,,,,,
663,天安花园，小区环境优美，交通便利，出行方便,280万,14433,新北区河海,天安花园,3室2厅1厨2卫,高楼层 (共6层),194㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-01-06,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,采光充足，通透性好，地铁口，配套设施齐全,,小区交通方便，东靠地铁，西邻新区公园，商场，*市，银行，菜场...几步之遥，满足您的一切需求.,,房子是复式，实际有三层，通透性好，简单装修，阳光充足，有钥匙看房方便,,,,,小区环境优美，安静舒适，内有篮球场，健身器材可供小区居民使用。,,,,,,
664,朗诗绿郡花园科技住宅，精装未住过，楼层好 房东诚售,320万,27119,新北区河海,朗诗绿郡花园,3室2厅1厨1卫,低楼层 (共34层),118㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2021-04-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满两年可以交易 房型是客厅南北通，小区自带新能源系统..,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%..,,,,,,,
665,出门地铁口，珠江花园中间楼层三楼，看房方便,148万,12650,新北区河海,珠江花园,3室2厅1厨2卫,中楼层 (共7层),117㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,出门地铁口，珠江花园中间楼层三楼，看房方便,,商场：每家玛*市、ITAT国际品牌服装商场、五星电器新北卖场、国美金太阳电器新北区店医院：华山医院、常州三三六医院邮局：河海邮政支局、长江路邮电支局银行：邮政储蓄、建设银行、农业信用社、农业银行、工商银行、交通银行其他：新北中 心 公园,,全明设计，南北通风，即充分采光，又有利于室内空气流通客厅大开间，与景观阳台相连，使客厅的空间感增强，采光效果更好,,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；",,,,,,,
666,小区环境优雅，配套成熟，交通便利，居住舒适,120万,12000,新北区河海,河海二村,2室2厅1厨1卫,中楼层 (共7层),100㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,生活设施齐 银行 *市 菜场 商场 饮食近在咫尺 生活起居很方便,交通方便，公交brt一应俱全，出行很是方便，不用担心出行，为以后的购物生活打下了基础,,,,,,小区环境很好，居住人群素质较高，邻里关系很和睦，生活起来很舒服。,,,,,,
667,新北万达商圈 恐龙园 天润园 2楼相当于毛坯房,170万,18086,新北区河海,天润园,3室2厅1厨1卫,低楼层 (共31层),94㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2021-06-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房是满五唯一，小区东门位置，视野开阔，楼层好，配套实施..,,"配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24小时保安巡逻",,"户型介绍：
户型方正，布局合理，无浪费面积， 、小区安静舒适，环境优美，适宜居住",,,"售房详情：
，诚心出售此房，价格可以再谈的，欢迎看房的，随时恭候......","税费解析：
存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。","小区介绍：
位置：小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场 保安：小区内24小时保安巡逻",,,,,,
668,晋陵路旁 怀德名园177平精装4房带地暖 350万,350万,19775,新北区河海,常信怀德名园,4室2厅1厨2卫,低楼层 (共11层),177㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-05-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,
669,地铁口，怀德名园精装3房2卫，三开间朝南,240万,16742,新北区河海,常信怀德名园,3室2厅1厨2卫,中楼层 (共11层),143.36㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-06-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，布局合理，无浪费面积， 小区安静舒适，环境优美,,,,,,,业主诚意出售，手续齐全，价格公道，看房方便，节省您的时间和精力,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
670,高档小区环境优美南北通风三面采光户型方正,580万,22054,新北区河海,繁華里,4室2厅1厨3卫,低楼层 (共26层),263㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2018-12-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,本房满二，小区环境好，绿植高！交通便利地段繁华~,,,,此房为大平层，南北通风，户型方正，三面采光，阳光充足，简单清爽装修。,,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,,,,
671,户型方正 四开间朝南 中上好楼层 科技住宅,296万,23680,新北区河海,朗诗绿郡花园,3室2厅1厨2卫,高楼层 (共31层),125㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满五年 配套齐全 业主诚心 三恒系统 交通方便 五星物业,本房是科技住宅，恒湿恒温恒氧，四季如春，24小时过滤通风换气合适各种人群居住,本小区位于新北万达和江南环球港之间，有三个菜场解决你做饭之忧，还有沃尔玛和乐购2个大型生活用品店 生活便利,,,,,,,朗诗绿郡是南京朗诗置业在新北开发的住宅小区，小区秉承科技住宅住宅理念，打造恒湿恒温恒氧生态环境,,,,,,
672,绿色家园顶复精装拎包入住带80平露台,167万,9654,新北区河海,绿色家园,4室2厅1厨2卫,高楼层 (共6层),173㎡,复式,暂无数据,板塔结合,南 北,混合结构,简装,暂无数据,无,暂无数据,2020-08-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二两梯两户拎包入住采光刺眼,,,,此房楼龄不算太旧顶楼复式楼下两房朝南，次卧带阳台，客厅朝南，一房朝北，厨房也朝北,此房是房东十年前精装自住房，家具家电以前都是品牌，环保，拎包住,,房子是精装自住房老人年纪大了，爬楼不方便，所以卖掉置换到市里,,,,,,,,
673,市府板块，万达商圈内，天安花园 155平精装4房,288万,18498,新北区河海,天安花园,4室2厅2厨1卫,高楼层 (共19层),155.7㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2020-05-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,
674,吃在全聚德 住在天安和怀德 地铁口楼层好 采光好,230万,18733,新北区河海,常信怀德名园,3室2厅1厨2卫,中楼层 (共31层),122.78㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2021-04-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段优势：，生活便利，大型商场就只有一步之遥， 自住都很适合,,,,全明户型通透，通透性强，采光*好、户型方正，布局合理，....,,,房屋空置 诚心出售，价格可以再谈，欢迎看房，随时恭候....,,小区环境小区环境优美 小区中有一个大花园 .小区旁就有 医院 警察局 银行 *市 饭店  .小区配套设施完善、环境优美、花园洋房，七十年产权商品房,,,,,,
675,华亭苑精装修三室两厅 126平 ，房东诚售,228万,18073,新北区河海,华亭苑,3室2厅1厨2卫,低楼层 (共17层),126.16㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-02-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,生活设施齐 银行  菜场 商场 酒店 饮食近在咫尺 生活起居很方便。富都,,,,,小区环境安静，业主人非 常友好、热情，很有诚意出售。欢迎随时看房,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,
676,恐龙园旁 繁华里 楼层户型好 采光好 精装修 业主诚售,260万,21703,新北区河海,繁華里,3室2厅1厨2卫,中楼层 (共33层),119.8㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一 精装修 楼层好 户型方正 拎包可住 业主诚售,,小区楼下自带商铺 出门就是恐龙园 一路之隔就是龙小 向西500米有地铁,,,业主精心装修 保养好 采用品牌材料 装修质量无需担心  业主诚心置换,,,,小区由香港九龙仓开发建设 目前本小区也是恐龙园片区综合评分靠前的小区 小区绿化好 基础设施齐全 整体居住人群素质高 是刚改和改善的好选择,,,,,,
