,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
251,精装四房 不靠铁路 楼层好 近环球港 房东诚心出售,187万,14610,新北区龙虎塘,九洲花园南区,4室1厅1厨2卫,高楼层 (共27层),128㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-03-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片,近环球港 地铁1号线 好楼层 户型方正,,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2增值税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五唯一免个人所得税,,,户型方正，格局分布合理，格局好，通透性强，居住舒适；南北朝向，视野开阔，采光透亮,,小区环境优美，与环球港，万达近 为社区居民提供了优美的生活环境。九洲花园社区有着完善的硬件设施，内设服务大厅、警务室、活动场所、便民服务点等.,,,,,,,
252,九洲花园精装大平层，房东诚心出售，家具家电全留,230万,12310,新北区龙虎塘,九洲花园南区,5室1厅0厨2卫,中楼层 (共18层),186.84㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-05-19,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 客户偿还,未上传房本照片,"：
此房位置好，楼层好，视野开阔，采光充足，交通便利",人文环境好，适宜四世同堂， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,亲和力爆棚的业主，诚心置换故此出售，房东内心五味杂陈，忍痛挂牌。业主家庭和睦，等待有缘人接盘。房屋买卖交易问题可以随时致电垂询！,存量房需要缴纳个人所得税1%。 契税：（看买房名下房屋套数决定费率），首套：面积小于90平，收取1%，面积大于90平，收取1.5%。 二套：面积小于90平，收取1%，面积大于90平，收取2%，三套及以上，无论面积大小.都收取3%,,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,,
253,九洲花园三期 3室2厅 南,218万,16682,新北区龙虎塘,九洲花园三期,3室2厅1厨2卫,中楼层 (共33层),130.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
254,婚房装修 基本未入住 采光无忧 看房方便,112.8万,13509,新北区龙虎塘,九洲花园南区,2室2厅1厨1卫,低楼层 (共25层),83.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,全新装修婚房装修，拎包即住，远离高铁，采光无忧，配套齐全,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,
255,九洲花园南区  房东诚售  离环球港、高速近,188万,15764,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,中楼层 (共27层),119.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 组合贷 业主自还,未上传房本照片,房精装修，发现生活温度，适合刚需、婚房等需求,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
256,九洲花园南区 精装3房 好楼层 视野无遮挡,195万,15644,新北区龙虎塘,九洲花园南区,3室2厅1厨2卫,低楼层 (共27层),124.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境好 绿化高 房子南北通风好 好楼层居住舒适,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,
257,九洲花园精装两室拎包入住居住配套齐全,129万,14176,新北区龙虎塘,九洲花园南区,2室2厅1厨1卫,低楼层 (共27层),91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-05-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房满五唯一，中间楼层，视野宽阔，全天采光,,业主因置换需要，目前诚心出售该套房屋，所以挂牌价比较实惠。看房随时可看,房子是商品房住宅，契税首套1.5%，二套2%，三套及以上3%。 产权已经满五年且为业主常州惟一的一套住房，所以可以省去1%的个人所得税。,,,,,小区一共分为3期，一期以高层为主，房龄略长一些。二期就是我们这套房子所在的小区，环境好绿化高。以洋房为主。 出门小区门口有各种小吃，饭店银行等各种配套，马路北边就是龙虎塘学-校。往西通江大道有BRT站台，地铁1号线站口 物业管理费少，居住成本低,,,,,,,
258,次新房，社区环境好，物业管理好，交通便捷，设施齐全,215万,15402,新北区龙虎塘,牡丹·水岸国际,3室2厅1厨2卫,高楼层 (共18层),139.6㎡,平层,暂无数据,板塔结合,东 南 北,钢混结构,简装,三梯三户,有,暂无数据,2022-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，格局分布合理，空间感好，通透性强，居住舒适。,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻。,,,,,,,,
259,中上楼层，精装修拎包入住，诚心出售,130万,10253,新北区龙虎塘,紫阳美地山庄,3室2厅1厨1卫,高楼层 (共27层),126.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-08-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,中上楼层，采光好，精装修拎包入住，诚心出售，,,,房屋产权:房子为商品房。税费信息满两年省增值税。首套房90M以下1%、90M以上15二套房90M以下1%90M以上2%三套房不论面积统-3%,,,,,环境优美小区安静优雅绿化较好带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利:公交车方向众多，外部道路宽阔，交通十分便利。3生活便利:小区内有，合理分布便利，生活用品及买菜+分便利，生活轻松。,小区生活设施齐全、菜市场、银行、交通便捷2、小区内有健身器材，小型篮球场，可供小区居民使用:3、小区内停车位充足，建有地上停车场和地下车库;4、小区内24小时保安巡逻。,,,,,,
260,菜场  环球港   五洲国际  车站,130万,10388,新北区龙虎塘,玲珑花园,3室2厅1厨1卫,高楼层 (共9层),125.15㎡,平层,108.29㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-15,商品房,2013-11-29,普通住宅,暂无数据,共有,有抵押 3万元 建设银行 业主自还,已上传房本照片,新装修保养好，自住中，拎包即住，生活配套齐全,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,房子是五年多前新装修的家电齐全，自住保养好，可以拎包入住。。,,
261,九洲花园精装洋房，南北双院子，带车位，三开间朝南,355万,24214,新北区龙虎塘,九洲花园北区,3室2厅1厨2卫,低楼层 (共4层),146.61㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,九洲花园精装洋房，南北双院子，带车位，三开间朝南,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；",,,,,1. 小区物业管理严格，服务到家让你生活放心 2. 小区人文素质高，是您居住的 3. 小区居住安静舒适，让您居住并享受品质生活中的 4. 小区绿树成荫鸟语花香让您随时呼吸到新鲜空气,门口就是29路公交车、离小区200米有BRT公交车，1公里有地铁口,,,,,,
262,九洲花园精装三房，房东诚意出售,160万,15921,新北区龙虎塘,九洲花园南区,3室2厅1厨1卫,中楼层 (共25层),100.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-02-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,户型 方方正正 精装修 业主诚心卖 保养好,,,,,,,,小区是周bian物业榜样小区 绿化高 环境好 位理位置 生活方便 交通便利 小区离环球港1公里 离万达2公里 出门上高速方便,,,,,房子户型方正 格局好 精装交付 业主配的家具家电都是不错的 家具都是实木的 如果不需要家具价格可以再谈,,
263,大平层户型方正 五个房间 双阳台 精装修价格可谈,259万,13851,新北区龙虎塘,九洲花园南区,5室2厅1厨2卫,低楼层 (共18层),187㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房位置好，楼层好，视野开阔，采光充足，交通便利,人文环境好，适宜四世同堂， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%， 二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,此房位于小高层，楼层好，户型好，三房朝南，双阳台，采光好，视野开阔,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,,,,,,,
264,牡丹水岸国际 毛坯四房 诚心出售,269万,19079,新北区龙虎塘,牡丹·水岸国际,4室1厅1厨2卫,中楼层 (共18层),141㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯一户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
265,小区前排  中间楼层  精致两房 实用高效,115万,12770,新北区龙虎塘,祥龙苑,2室2厅1厨1卫,中楼层 (共9层),90.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-12-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房中间楼层  精装好房 小高层得房率高 无遮挡采光好 业主c..,,业主人很友好，置换诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,1.： A.首套 90平以下1% B.首套90平以上1.5% C.二套90平以下1% D.二套90平以上2% E.三套都是3% 2.营业税：满2年免征 不满2年全额征收5.6% 3.个人所得税：不满5年征1%,,,,配置齐全 公交、地铁、车站、银行、医院、、健身房、大小娱乐项目让您尽情享受,环境优美；小区环境安静；车位整齐排放，小区环境整洁，适合晚间饭后散步，小区栋距宽，视野好,,,,,,,
266,此房满二不唯一，精装保养好拎包住,173万,14914,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,中楼层 (共21层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-12-11,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,此房满二不唯一，精装保养好拎包住,房子楼层适中，适合老，弱，小，孕居住，房子有电梯，公园，菜场，学 校一步之遥，生活居住方便,房东是自己结婚住的，装修用料很环保也保养的蛮好的，很注重自家人身体健康,,,,房子是三房，户型方正，两房朝南，一房朝北，客厅带阳台，明厨明卫，空气流通好，适宜居住,,,,,,,,,
267,美林湖旁边香树湾名苑三房两卫看房方便,138万,10455,新北区龙虎塘,香树湾名苑,3室2厅1厨2卫,中楼层 (共18层),132㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2023-09-04,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
268,美林湖花园 前无遮挡 中yang空调地暖 装修漂亮,160万,17729,新北区龙虎塘,美林湖花园,2室2厅1厨1卫,中楼层 (共21层),90.25㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,地段好，交通方便，小区环境好，装修漂亮，中yang空调带地暖。,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,"位置：小区地理位置佳，绿化多，居民素质高
配套：有健身器材，小型篮球场，可供小区居民使用
车位：停车位充足，建有地上停车场和地下车库
保安：小区内24小时保安巡逻",,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,
269,水岸国际138平四房，中间楼层采光好,278万,20145,新北区龙虎塘,牡丹·水岸国际,4室2厅1厨2卫,中楼层 (共18层),138㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,区地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
270,适合做婚房创业的小年轻，首付不多的人，刚需自住的人,165万,12407,新北区龙虎塘,美林湖花园,3室2厅1厨2卫,中楼层 (共22层),133㎡,平层,暂无数据,板塔结合,西南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-11-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满两年，小区环境优美，得房率高，总价低，单价合理,,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,房子满二，楼龄新，户型为东首，客厅东西朝向带阳台，两房朝南，次卧带阳台，主卧带内卫,,,,,,,,,
271,花园洋房 房型正空间大 装修保养好 拎包即住,188万,16729,新北区龙虎塘,九洲花园北区,3室2厅1厨1卫,中楼层 (共4层),112.38㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-09-24,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型正空间大，三朝南，精装修，楼层好，配套齐全,,业主人很友好、热情，诚心出售，成熟小区管理，证件齐全，随时签约，看房方便,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,,,,,,,,
272,九洲花园二期 精装三房 采光充足 诚心出售,158万,12640,新北区龙虎塘,九洲花园南区,3室2厅1厨2卫,中楼层 (共27层),125㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-07-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,采光充足，大面宽，通透优雅，经典布局。,此房精装修，发现生活温度，适合刚需、改善、婚房等需求，便拎包入住,,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,,,
273,祥龙苑旁玲珑花园精装三房满五唯一拎包住,165万,12843,新北区龙虎塘,玲珑花园,3室2厅1厨1卫,中楼层 (共11层),128.48㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-02-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 公积金,未上传房本照片,此房满五唯一，钻石楼层，看房方便,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,此房前面视野开阔，采光好，以利用空间多，中户型，适合居住.南北透,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,
274,九洲花园大平层 环境优美 小高层 得房率高,220万,11828,新北区龙虎塘,九洲花园南区,5室3厅2厨2卫,中楼层 (共18层),186㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优美，家具家电全留，业主诚心出售,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,小区地理位置好，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,
275,美林湖一手毛坯小三房  两房朝南带阳台 要钥匙诚意卖,130万,11404,新北区龙虎塘,美林湖花园,3室2厅1厨1卫,低楼层 (共22层),114㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-04-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 20万元,未上传房本照片,此房是满五年且 在常州只有这一套房产 一手毛坯房方便装修,,房东人现在在外地 不在打算回常州发展了 所以要把这个房子卖掉了,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,房子是两房朝南 一房朝北 厅朝北的东边户 主卧朝南带阳台 客厅朝北也有  厨房卫生间也是朝北的 房子是一手毛坯买进的啊 装修起来也方便,,,,,,,,,
276,诚心出售 江山樾精装四房两卫 双阳台 中间楼层,270万,21600,新北区龙虎塘,江山樾花园,4室2厅1厨2卫,中楼层 (共20层),125㎡,平层,暂无数据,暂无数据,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,小区生活设施齐全 菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安,,,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适，精装修双阳台,,
277,水岸国际138平四房，中间楼层采光好,278万,20145,新北区龙虎塘,牡丹·水岸国际,4室2厅1厨2卫,中楼层 (共18层),138㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,区地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT,,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 ，菜市场、银行、BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
278,香树湾名苑 2室1厅 南,98万,11012,新北区龙虎塘,香树湾名苑,2室1厅1厨1卫,高楼层 (共18层),89㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯五户,有,暂无数据,2022-01-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
279,环球港旁 装修大三房 生活配套方便齐全 出门即有BRT,155万,12810,新北区龙虎塘,九洲花园三期,3室2厅1厨2卫,高楼层 (共30层),121㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2021-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
280,环球港湾旁边，新小区，美的江山樾精装，采光刺眼,235万,23666,新北区龙虎塘,江山樾花园,3室2厅1厨2卫,中楼层 (共20层),99.3㎡,平层,暂无数据,暂无数据,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2021-10-31,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 100万元,未上传房本照片,"：
地理位置优越，交通便捷，设施齐全，门口就是地铁口，BRT",,,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,"户型周正，格局分布合理，空间感好，通透性强，居住舒适,一梯两户，小高层得房率高",小区生活设施齐全 外国语，菜市场、银行、，交通便捷；BRT 地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,,,,,,,,
281,三朝南户型  双阳台  阳光清风随时造访生活  诚意出售,235万,16956,新北区龙虎塘,九洲花园南区,3室2厅1厨2卫,高楼层 (共27层),138.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-10-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房三朝南户型  精装修  中上楼层  视野通风好  采光好,,,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
282,美林湖两房朝南的西边户 精装全屋Z央空调地暖新房,162万,12893,新北区龙虎塘,美林湖花园,3室2厅1厨1卫,中楼层 (共22层),125.65㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-04,商品房,2018-02-01,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,房子是两房朝南 一房朝北 厅朝西的西边户 主卧朝南带阳台 客厅朝西也有一个大阳台 厨房卫生间也是朝北的 房子是一手买进的啊 房子装修好的  自己住的啊 各方面的用材也很好,,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,"主卧床，餐厅桌椅，还有客厅沙发是CBD的。全屋Z央空调是东芝的，新风系统和地暖是曼瑞德的的。
卫生间干湿分离的，洗漱盆是toto的一体柜。
入户门锁，三星指纹锁，全屋每个房间的wifi都有Ap面板覆盖",112429202022,房子是满五年 一手买进 业主精装自住 ，品牌家电 高区采光好,房子自己装修好 因为要换学 校 还在读书 所以忍痛割爱 找个懂的人 诚意出售,,,,,,,,,
