,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
50,中间层两房，诚心出售，房价可谈，看房随时！,89万,9767,新北区小新桥,锦海星城,2室1厅1厨1卫,中楼层 (共18层),91.13㎡,平层,74.95㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-23,商品房,2010-12-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,本房无抵押，有户口（可迁出），无异议登记，无债权债务纠纷，产权清晰，可放心入手。,,,,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，汽车站还是比较近的，交通还是比较方便的。,,112400623866,户型方正，采光充足，满五年，看房方便。,,
51,高铁新城  精装修大三房  户型好 楼层好,170万,13067,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,低楼层 (共34层),130.1㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房 楼层好 精装修 拎包可住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
52,高铁新城 滨江明珠城 两房 简单装修 房东 诚售,108万,13696,新北区小新桥,滨江明珠城,2室1厅1厨1卫,高楼层 (共22层),78.86㎡,平层,64㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-08-13,商品房,2020-01-08,普通住宅,暂无数据,共有,有抵押 65万元 江苏银行 客户偿还,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
53,满五唯一 滨江明珠城  大三房  房东诚售,158万,11715,新北区小新桥,滨江明珠城,3室2厅1厨2卫,低楼层 (共22层),134.88㎡,平层,107.09㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-06-08,商品房,2016-10-14,普通住宅,暂无数据,非共有,有抵押 35万元 农业,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收取,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
54,滨江明珠城   精装两房   采光刺眼   诚心出售,108万,13696,新北区小新桥,滨江明珠城,2室2厅1厨1卫,高楼层 (共22层),78.86㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-10-17,商品房,2019-07-23,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,半开放式厨房，明亮空间施展大厨艺；阔绰南阳台，拥有更多阳g..,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
55,小新桥 滨江明珠城 三房 精装修 满五唯一 房东 急售,145万,11820,新北区小新桥,滨江明珠城,3室2厅1厨2卫,中楼层 (共22层),122.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-13,商品房,2012-06-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,时尚三房空间，彰显高性能舒居价值。满五唯一,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！,,,,,,,,,,
56,高铁新城 清水湾三期 精装修 两房 房东诚售,110万,13506,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),81.45㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-16,商品房,2012-09-28,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房满五不唯一 户型方正 有装修 可直接拎包入住,,,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",满足刚需人群的需求，也满足一家三口共住的需求，精装修，后期无需自己装修,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,,,,
57,精装两房，中层采光好，视野开阔，房东诚心出售,125万,14881,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共27层),84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-16,商品房,2019-05-09,普通住宅,暂无数据,共有,有抵押 70万元 江苏银行,已上传房本照片,房子楼层好，视野开阔，交通便利，居住舒适,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,小区西面一条马路过去就是第四人民医院，小区后面就是第二实验，有招商银行，农业银行等，菜市场，出行也是比较方便的，门口就是公交，还有地铁一号线。,,出门就有共享单车，小区西面还有地铁一号线，公交车，距离高铁站，汽车站都是挺近的，交通还是比较方便的。,精装修，里面都是房东自用的家具家电，保养的还是不错的，买了免得在装修，直接拎包入住。,,,,,,
58,高铁新城 清水湾三期 两房 满五唯一 房东急售,120万,14386,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共27层),83.42㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-30,商品房,2016-10-27,普通住宅,暂无数据,非共有,有抵押 30万元 建行 客户偿还,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主工作调动 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
59,清水湾花园 130万 81.44平 采光好 满五 精装修,112万,13753,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,低楼层 (共34层),81.44㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-02-24,商品房,2016-04-11,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，拎包可住,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,
60,全屋地暖，双阳台，开阔的空间，给您度假般享受,145万,10456,新北区小新桥,滨江明珠城,3室2厅1厨2卫,低楼层 (共18层),138.68㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-05-30,商品房,2011-10-18,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,该房装修细致入微，业主家中亲戚就是学室内装修设计的，同事也在合伙经营一家装修公司，又是自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受,,,,,,
61,高铁新城  清水湾三期 精装 两房  房东 诚售,120万,14915,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共32层),80.46㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-08-22,商品房,2012-10-24,普通住宅,暂无数据,共有,有抵押 30万元 公积金 业主自还,已上传房本照片,精致两房，全明设计，居住舒适，空间设计利用合理，拎包可住,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅！ 售房详情： 亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问..,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,,,,
62,高铁新城  清水湾三期   精装   诚心出售,107万,12833,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,低楼层 (共27层),83.38㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-06-13,商品房,2019-09-11,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
63,高铁新城   清水湾三期   精装两房   南北通透,110万,11925,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,低楼层 (共27层),92.25㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-08-08,商品房,2012-08-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
64,清水湾花园三期 精装修2房 户型方正 采光好 看房方便,119万,14759,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共34层),80.63㎡,平层,61.02㎡,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-08-04,商品房,2012-09-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正 采光好中间楼层，愉悦心情与每一位家人即时..,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,：发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
65,常高技锦海星城  精装修两居室  拎包入住,95万,10028,新北区小新桥,锦海星城,2室2厅1厨1卫,中楼层 (共15层),94.74㎡,平层,74.08㎡,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-14,商品房,2011-04-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,南北通、三面采光、全方位景观，愉悦心情与每一位家人即时分享。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"纯商品房社区，比较适合在附
近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，租金比较高，都是自住，管理比较好，小区的安保完善。",,,,,,,,,,
66,精装三房 满五年  价格有弹性  房东诚心出售,125万,12341,新北区小新桥,滨江明珠城,3室1厅1厨1卫,高楼层 (共11层),101.29㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-04,商品房,2017-05-05,普通住宅,暂无数据,共有,有抵押 45万元 业主自还,已上传房本照片,精装三房  满五年，房价可谈 ，房东诚心出售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收..,,,小区环境优美，绿化面积覆盖高，内有健身器材和娱乐广场，居民素质高，物业服务态度好。配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐。,,,此房产权清晰 无抵押 无纠纷 可放心购买 业主诚心售 房价可谈 看房方便 提前联系,,,,,
67,清水湾花园三期 楼层佳  房东诚心出售,123万,14766,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共27层),83.3㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2022-08-01,商品房,2019-09-20,普通住宅,暂无数据,共有,有抵押 60万元 浦发银行 客户偿还,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主工作调动 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
68,温馨一居室  诚心出售  欢迎咨询,81万,14206,新北区小新桥,滨江明珠城,1室2厅1厨1卫,低楼层 (共22层),57.02㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-25,商品房,2020-06-23,普通住宅,暂无数据,非共有,有抵押 50万元,已上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,适合单身精英  新婚小两口以及老人养老自住  有自己的独立空间 的温馨小窝,,,,,,,,,,
69,此房 楼层好 精装修 拎包可住,185万,14586,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,高楼层 (共34层),126.84㎡,平层,100.5㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-07,商品房,2012-08-21,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房 楼层好 精装修 拎包可住,"：
亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主 家庭和睦，等待有缘人接盘",,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
70,高铁新城 清水湾三期 两房 房东 急售,115万,13793,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共27层),83.38㎡,平层,64.48㎡,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-04-13,商品房,2012-09-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,业主工作调动 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,,,,,,
71,高铁新城 滨江明珠城 顶楼复式 五房 房东急售,135万,8707,新北区小新桥,滨江明珠城,5室2厅1厨2卫,高楼层 (共22层),155.05㎡,平层,122.47㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-03-05,商品房,2013-11-15,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房为小区的景观楼栋，可俯瞰高铁新城，采光视野好,,1：优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕 间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,交通方便，出门既是公交站台，29路到达北直街，3公里可以到达青龙高速口，公交自驾出行都很方便,,,,,,,
72,清水湾花园三期 2室2厅 南 北,85万,9274,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,高楼层 (共34层),91.66㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-07-07,商品房,2012-09-10,普通住宅,暂无数据,非共有,有抵押 业主自还,已上传房本照片,,,,,,,,,,,,,,,
73,高铁新城 配套齐全 户型方正 好楼层 采光好,97万,11755,新北区小新桥,清水湾花园三期,2室2厅1厨1卫,中楼层 (共30层),82.52㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-06-27,商品房,2017-08-01,普通住宅,暂无数据,非共有,有抵押 75万元 平安,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,"：
区环境优美，配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐",,,,,,,,
74,高铁新城   滨江明珠城   精装两房   诚心出售,80万,10145,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共22层),78.86㎡,平层,64㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-06,商品房,2011-03-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透，,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
75,清水湾三期 精装修 只入隹过一年  品牌家电  中高楼层,119.8万,14700,新北区小新桥,清水湾花园三期,2室1厅1厨1卫,中楼层 (共32层),81.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-05-22,商品房,2021-05-14,普通住宅,暂无数据,共有,有抵押 90万元,已上传房本照片,此房 户型方正 楼层好  采光好 精装修 可直接拎包入住品牌家电,,,"契税分析:首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",满足刚需人群的需求，也满足一家三口共住的需求，精装修，后期无需自己装修,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,,,,
76,高铁新城  滨江明珠城二期   简装   诚心出售,129万,11144,新北区小新桥,滨江明珠城二期,3室2厅1厨1卫,中楼层 (共23层),115.76㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-11,商品房,2017-08-04,普通住宅,满五年,共有,有抵押 3万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,,,
77,户型方正，楼层好，采光充足，看房方便！,76万,12312,新北区小新桥,滨江明珠城,2室1厅1厨1卫,中楼层 (共22层),61.73㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,四梯四户,有,暂无数据,2023-04-10,商品房,2019-01-07,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正，楼层好，采光充足，总价低！,,,存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小契税均按照3%收。,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,,,,,,,,,
78,滨江明珠城  两室  户型方正  房东诚心出售,115万,13563,新北区小新桥,滨江明珠城,2室2厅1厨1卫,低楼层 (共18层),84.79㎡,平层,64.78㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-06-17,商品房,2014-03-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,活配套齐全，医院，菜场，银行都有，成熟齐全，楼栋清晰分明 坐落有序，现场体验效果更加明显,,,该房装修细致入微，业主家就是室内装修设计的，对自己的房子很重视，品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。即买即享受,,,,,,
79,精装修两居室 南北通 可拎包即住,83.8万,10075,新北区小新桥,新景花苑二期,2室2厅1厨1卫,高楼层 (共15层),83.18㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-13,商品房,2018-06-15,普通住宅,暂无数据,非共有,有抵押 30万元,已上传房本照片,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。。论一位经纪人的自我修养，此房源值得推荐,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,业主婚房装修，一砖一瓦一柜都倾注了很多心思，现在政策利好，家庭人员越来越多，需要置换一套大户，才忍痛割爱，期待有缘人收下这套爱的小屋,,,,,,,112498149887,全明户型，南北通空间，惬意悠享假日生活；方正通透,,
