,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,交通出行,户型介绍,房源核验码,查询房管备案记录,适宜人群,装修描述,周边配套,小区介绍,权属抵押,用水类型,用电类型,燃气价格,别墅类型
125,小新桥 清水湾一期 顶楼带阁楼 精装修 房东 诚售,159万,18017,新北区新桥,清水湾花园一期,3室1厅1厨1卫,高楼层 (共11层),88.25㎡,平层,72.76㎡,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-03-11,商品房,2011-03-04,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房顶楼带阁楼  随时可看 精装修 配套齐全 采光充足,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,纯商品房社区，比较适合在附 近上班而且对生活质量要求比较高的一类人群，因为这个小区是纯住宅，居住舒适环境优雅,,,,无抵押 无户口 产权清晰 无债权债务纠纷等 业主售房 静候有缘,,,,
126,地铁口，凤凰名城 三房 精装修 房东 诚售,140万,13070,新北区新桥,凤凰名城,3室2厅1厨2卫,低楼层 (共8层),107.12㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-17,商品房,2016-01-12,普通住宅,满五年,共有,有抵押 30万元 建行 业主自还,已上传房本照片,此房源背靠环球港 大型商场综合体 生活娱乐设施齐全,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,发现生活温度适合刚需改善婚房等需求便拎包入住 此房源值得拥有,,,,,,,,
127,凤凰名城 地铁口 大三房  单价低,140万,11084,新北区新桥,凤凰名城,3室2厅1厨2卫,低楼层 (共15层),126.31㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯两户,有,暂无数据,2023-10-13,商品房,2021-02-18,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,"地铁口、BRT快速路口，交通便利诚心出售！
 
生活便利",,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,小区门口就是BRT快速公交站台，地铁1号线口。2公里范围内有常州高铁出行北站，交通便利,房子是个边房  比实际面积要大    两个朝南房间都是加推出去的  对于楼层要求不高的可以选择,,,,,,小区为成熟小区，生活配套齐全，交通便利。小区内有健身活动设施。 楼下有地铁  BRT,,,,,
128,凤凰名城 3室2厅 南 北,168万,12913,新北区新桥,凤凰名城,3室2厅1厨2卫,中楼层 (共27层),130.11㎡,平层,暂无数据,塔楼,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-10-19,商品房,2010-07-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
129,满五年婚房装修，诚心出售，房价可谈，看房方便！,155万,12660,新北区新桥,凤凰名城,3室2厅1厨2卫,中楼层 (共34层),122.44㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-21,商品房,2013-12-24,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活，方正通透。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
130,腾龙苑 格局分布合理，居住舒适，鸟语花香,110万,9250,新北区新桥,腾龙苑西区,3室2厅1厨2卫,低楼层 (共11层),118.92㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,暂无数据,2023-10-14,商品房,2009-11-01,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,,,生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺 生活起居很方便,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,,,,,
131,碧桂园光明·碧玥和鸣 3室2厅 南 北,210万,19461,新北区新桥,碧桂园光明·碧玥和鸣,3室2厅1厨2卫,高楼层 (共27层),107.91㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,有,暂无数据,2023-11-18,商品房,2023-07-18,普通住宅,未满两年,共有,有抵押 客户偿还,已上传房本照片,,,,,,,,,,,,,,,,
132,凤凰名城 3室2厅 南 北,150万,11608,新北区新桥,凤凰名城,3室2厅1厨2卫,低楼层 (共27层),129.23㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2022-07-29,商品房,2019-07-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
133,凤凰名城 2室2厅 南,91.8万,10995,新北区新桥,凤凰名城,2室2厅1厨1卫,高楼层 (共30层),83.5㎡,平层,68.82㎡,塔楼,南,钢混结构,简装,两梯四户,有,暂无数据,2023-11-20,商品房,2010-11-20,普通住宅,暂无数据,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
134,凤凰名城三房两卫 全明户型 看房随时,120万,10979,新北区新桥,凤凰名城,3室2厅1厨2卫,低楼层 (共15层),109.3㎡,平层,90.05㎡,塔楼,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,2015-05-20,普通住宅,满五年,共有,有抵押 30万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透，,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。,,,,,,,,
135,精装次新房  碧桂园壹号天禧  小区门口地铁  北郊,170万,17895,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,低楼层 (共20层),95㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,三梯六户,有,暂无数据,2022-09-20,商品房,2021-06-09,普通住宅,暂无数据,共有,有抵押 30万元,已上传房本照片,大面宽阳光客厅，格局方正严谨，彰显大家风范,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘,,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,该房装修细致入微，业主家碧桂园统一交付精装。品牌家装建材、家具家电、卫浴、地板无不亲力亲为建选材，监工。,,,,,,,
136,小新桥 清水湾一期 精装修 两房 房东 诚售,115万,13314,新北区新桥,清水湾花园一期,2室2厅1厨1卫,低楼层 (共32层),86.38㎡,平层,65.39㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-05-08,商品房,2011-08-12,普通住宅,暂无数据,共有,有抵押 5万元 农业 业主自还,已上传房本照片,此房精装修 楼层好 南北通风 有钥匙 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,,,此房精装修 仅需购置个人所需物品即可入住，符合现代人群要求 楼层也漂亮,配套齐全，交通方便。小区旁公交站台近在迟尺，菜场，商场，人才市场，医院，公园一应俱全,,,,,,
137,腾龙苑东区3-2-1-2 128.58m²,110万,8538,新北区新桥,腾龙苑东区,4室2厅1厨2卫,中楼层 (共5层),128.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-08-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑地产腾龙苑店经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
138,高铁新城次新小区  蓝光晶曜  楼层好 看房方便,215万,19027,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共25层),113㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-13,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房出入方便 楼层适中 户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
139,高铁新城，全明户型，视野宽阔 采光充足 交通便利,235万,18651,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,低楼层 (共21层),126㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高铁新城 次新小区 全明户型 视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
140,弘阳上坤云峯  采光佳 楼层好  房东诚心出售,205万,20708,新北区新桥,弘阳上坤云峯,3室2厅1厨1卫,高楼层 (共33层),99㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-28,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 110万元,未上传房本照片,小区环境优雅，配套齐全，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候 户型棒,首套房契税是1.5%，二套是2%，三套及以上是3%，个税1%，房屋不满二5.3%,,,,,,房屋开发商精装交付，方太油烟机燃气灶和消毒柜，集中供冷供暖设备,,,,,,,
141,碧桂园壹号天禧 4室2厅 南,230万,17425,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,中楼层 (共17层),132㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯两户,有,暂无数据,2023-05-25,商品房,2023-05-29,普通住宅,未满两年,共有,无抵押,已上传房本照片,,,,,,,,,,,,,,,,
142,地铁就在楼下！精装全配，次新小区，诚售,210万,16083,新北区新桥,碧桂园壹号天禧,4室2厅1厨2卫,低楼层 (共17层),130.58㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-30,商品房,2022-12-08,普通住宅,未满两年,非共有,无抵押,已上传房本照片,此房是一手开发商装修 集中供暖小区 北郊大门南面 地铁直达北门,业主城市变动 所以现在想把这个房子给卖掉  现在是也在着急卖,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,房子是两梯两户的 客厅是朝南带阳台的 两个房间朝南 两个房间朝北 厨房 卫生间全明户型 小区集中供暖高 档住宅小区,,,,,,,,,,,
143,碧玥和鸣 包增值税 楼层好 视野开阔  房东诚心出售,208万,19276,新北区新桥,碧桂园光明·碧玥和鸣,3室2厅1厨2卫,高楼层 (共27层),107.91㎡,平层,暂无数据,板楼,南,钢混结构,精装,三梯六户,有,暂无数据,2023-06-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,"纯商品房社区，比较适合对生活质量要求比较高的一类人群，因为这个小区是纯住宅，租金比较高，都是自
住，管理比较好，小区的安保完善。",,,,,,,,
144,高铁新城   碧桂园壹号天禧   精装三房   诚心出售,180万,15162,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共20层),118.72㎡,平层,118.72㎡,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-24,商品房,2022-06-13,普通住宅,未满两年,非共有,有抵押 130万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,"发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。",,,,,,,,
145,此房全新装修 楼层好 户型方正 视野看阔 业主诚售,318万,22206,新北区新桥,碧桂园光明·碧玥和鸣,4室2厅1厨2卫,低楼层 (共15层),143.21㎡,平层,110.44㎡,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-03-16,商品房,2022-11-17,普通住宅,未满两年,非共有,有抵押 182万元 建设,已上传房本照片,此房全新装修  楼层好 户型方正 视野看阔 业主诚售,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型， 南北通空间，大横厅 三开间朝南，四房两卫 惬意悠享假日生活；方正通透,,,,,,小区环境优美 绿化多 ，配套成熟，交通便利，舒适。人文素养好，乐于助人，相处和谐,,,,,
146,高铁新城 牡丹晶耀 三房 精装修 房东 诚售,260万,20473,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,中楼层 (共27层),127㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-05-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房是一手开发商装修 集中供暖小区 交通便捷，设施齐全，

..",,业主诚意出售，手续齐全，价格公道，看房方便，随时恭候。 1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,小区生活设施齐全 ，菜市场、银行、，交通便捷；地铁一号线 2、小区内有健身器材，小型篮球场，可供小区居民使用；3、小区内停车位充足，建有地上停车场和地下车库；4、小区内24小时保安巡逻,户型周正，格局分布合理，空间感好，通透性强，居住舒适；2、楼层佳，，视野开阔，采光透亮,,,,,,,,,,,
147,区政府旁 地铁口 云峯 集中供冷供暖 精装房,210万,21213,新北区新桥,弘阳上坤云峯,3室2厅1厨1卫,低楼层 (共33层),99㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套齐全，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候 户型棒,首套房契税是1.5%，二套是2%，三套及以上是3%，个税1%，房屋不满二5.3%,,,,,,房屋开发商精装交付，方太油烟机燃气灶和消毒柜，集中供冷供暖设备,,,,,,,
148,地铁     BRT    高铁北站     吾悦广场,178万,18747,新北区新桥,碧桂园壹号天禧,3室2厅1厨1卫,高楼层 (共20层),94.95㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-06-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房是一手开发商装修 集中供暖小区 北郊大门南面 地铁直达北门,业主要卖了区苏州买房子 所以现在想把这个房子给置换 现在是也在着急卖,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,房子是三梯六户的 中间户 客厅是朝南带阳台的 两个房间朝南 一个房间朝北 厨房 卫生间全明户型 小区集中供暖高 档住宅小区,,,,,,,,,,,
149,高铁新城，全明户型，视野宽阔 采光充足 交通便利,318万,22238,新北区新桥,碧桂园光明·碧玥和鸣,4室2厅1厨2卫,中楼层 (共18层),143㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-07-30,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
150,地铁口 北郊常外旁 三房户型 房东诚意出售,190万,15925,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共20层),119.31㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-06-12,商品房,2022-01-11,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"经典户型，采光好，稀有房源！
成熟社区，配套设施齐全！",,,门口就是地铁口，两站路即可到达环球港。 北门就是BRT，东门南门都有公交站台。,"户型方正，南北畅通，三开间朝南。 
南向大阳台，日照充足，采光充裕。 主卧独立卫生间，互不打扰。",,,,,楼下有购物，有各种档次餐饮饭店， 菜场，北郊高中，多个银行。 生活在这个商圈内，便捷方便。,保洁员收垃圾、打扫及时。 刷卡门禁，每户都有智能门锁 。放心安全。 小区绿化配置高，环境优美。 配有跑道、儿童活动区域、运动区域。,,,,,
151,高铁新城，全明户型，视野宽阔 采光充足 交通便利,208万,16490,新北区新桥,牡丹蓝光晶曜,4室2厅1厨2卫,低楼层 (共26层),126.14㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,"存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购
房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。
二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税
均按照3%收取。",,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,
152,凤凰名城好房出售采光好位置好户型通透,180万,15790,新北区新桥,凤凰名城,3室2厅1厨1卫,高楼层 (共18层),114㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-02-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，南北通，方正通透，视野宽阔，配套齐全。,,,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,,,小区环境优美，绿化面积覆盖高，内有健身器材和娱乐广场，居民素质高，物业服务态度好。配套成熟，交通便利，居住舒适。人文素养好，乐于助人，相处和谐,此房产权清晰 无抵押  无纠纷 可放心购买 业主诚心售 房价可谈 看房方便 提前联系。,,,,
153,北郊高中的后花园 碧桂园新能源科技住宅 业主诚意出售,210万,17276,新北区新桥,碧桂园壹号天禧,3室2厅1厨2卫,中楼层 (共19层),121.56㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-28,商品房,2020-12-10,普通住宅,暂无数据,共有,有抵押 140万元,已上传房本照片,房子是两个房间朝南 一个房间朝北 厅是南北通的户型 厨房 卫生间都是朝北有窗户 房子是开发商统一装修带新能源的科技住宅,1，契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。 2，税：产证满2年免征。 3，个税：产证满5年，且房东名下只有这套房可以免征。其他情况征收全额的1%,,,房东现在需要资金周转， 现在诚意出售的 ， 看中之后可以约定过户,112410203396,地铁一号线北郊站门口 此房为新能源住宅小区  新开发小区 未入住,,,,,,,,,
154,高铁新城 晶耀花苑 楼层好 户型好 精装修 随时可看,250万,25774,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,高楼层 (共27层),97㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 120万元 建行 业主自还,未上传房本照片,此房楼层好 户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
155,高铁新城 弘阳云峯 楼层好 户型好 随时可看 业主诚售,157万,16268,新北区新桥,弘阳上坤云峯,3室1厅1厨1卫,高楼层 (共31层),96.51㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-16,商品房,2022-07-04,普通住宅,未满两年,非共有,无抵押,已上传房本照片,高铁新城，全明户型，视野宽阔 采光充足 交通便利,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。开发商精装修交付 品质好,,,,,,,,
156,牡丹蓝光晶曜楼层好，视野开阔，采光充足，配套齐全,178万,18351,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,低楼层 (共27层),97㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-16,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元 / 业主自还,未上传房本照片,牡丹蓝光晶曜楼层好，视野开阔，采光充足，配套齐全,随时可以看房业主随时可以签约首付需要30%如果是首套房可以做到20%,,小区离地铁口大约200米，马上菜市场就建造好了。星耀城商圈，预计在2023年12月底建造好,,,,,房子是精装交付的，我们只需要把落地窗给装上，买好床，沙发，餐桌基本上就可以入住了。,,,,,,,
157,高铁新城 晶耀花苑 楼层好 户型好 精装修 随时可看,195万,20104,新北区新桥,牡丹蓝光晶曜,3室2厅1厨2卫,中楼层 (共26层),97㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层好 户型好 精装修 随时可看,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,全明户型，南北通空间，三开间朝南 惬意悠享假日生活；方正通透,,,,此房开发商精装修 为居住节约成本和装修时间，北房间可自己装修喜欢风格,,,,,,,
