,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
45,九龙仓年华里  3室2厅 南,175万,12700,新北区薛家,九龙仓年华里 ,3室2厅1厨2卫,低楼层 (共18层),137.8㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
46,交通便利，视野开阔， 采光充足，配套齐全,135万,14614,新北区薛家,白马公馆,2室2厅1厨1卫,低楼层 (共34层),92.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-03-19,商品房,2020-06-03,普通住宅,暂无数据,共有,有抵押,已上传房本照片,交通便利，视野开阔， 采光充足，配套齐全,满两年 省增值税。 首套房90平方以下1％、90平方以上 1.5 二套房90平方以下1％、90平方以上2％ 三套房不论面积统一3％,,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,,,,,,,,
47,白马公馆 小区好位置 采光好 通风通透性强 安静且优雅,190万,14938,新北区薛家,白马公馆,3室2厅1厨2卫,高楼层 (共34层),127.2㎡,平层,暂无数据,板楼,东南 南,钢混结构,精装,两梯三户,有,暂无数据,2022-06-22,商品房,2023-12-02,普通住宅,未满两年,非共有,无抵押,已上传房本照片,楼层好，视野好，通风性强，大三房，精装拎包入住,1.90平以内首套房契税1%，二套房1%，三套或以上3% ；2、90平以上首套房契税1.5%，二套房2%，三套或以上3%；满五唯一的，免个税，不满五年，1%的个税,,小区楼下马路旁有公交，南面有龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，向南到钟楼区和武进区，向西到奔牛机场，向北到薛家和沪蓉高速出入口,,户型三开间朝南，南北通风，格局方正，全明设计，厨卫通风良好，2梯4户，居住怡人,,,,,,,,,,
48,顺园一村河景房 黄Jin二楼大三房适宜居住养老随时预约,118万,9822,新北区薛家,顺园一村,3室2厅1厨1卫,低楼层 (共5层),120.14㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-08,商品房,2018-08-08,普通住宅,满五年,共有,有抵押,已上传房本照片,此房楼层不高，视野好，户型好，河景房，房东诚心出售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
49,新城悠活城 经典小三房户型 带车位 刚需客户上车,99万,13167,新北区薛家,新城•悠活城,3室1厅1厨1卫,中楼层 (共34层),75.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯五户,有,暂无数据,2022-10-11,商品房,2020-06-18,普通住宅,满两年,共有,有抵押 60万元,已上传房本照片,此房通透 户型方正 采光充足 配套完善 交通便利 小区物业好,1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税： 满两年不论面积 全免 不满二年 收全额的5.3% 3个人所得税： 满两年1% 满五免个人所得税,,,小区地理位置 绿化 居民素质高 配套：有健身器材 小型篮球场 可供小区居民使用 车位：停车位充足 建有地上停车场和地下车库 保安：小区内24保安巡逻,此房户型方正，主卧朝南，次卧朝北，明厨明卫，通透 开间大 采光充足 位置好，闹中取静，出入方便 ，业主诚心出售 采光无遮挡 配套齐全,,,,,,,,,,
50,白马公馆精装三房 经典户型 高楼层视野开阔 采光充好,129万,11214,新北区薛家,白马公馆,3室2厅1厨2卫,高楼层 (共34层),115.04㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2022-12-06,商品房,2018-01-29,普通住宅,满五年,非共有,有抵押 56万元,已上传房本照片,此房精装三房经典户型 高楼层采光充足 小区环境好,房为房东开发商购买的一手房，关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,楼下有共享单车车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。高架贯通轻松链接五大区，小区的会所,,,,,,,,,,,
51,房东自住 保养好 前排无遮挡 采光佳,120万,10028,新北区薛家,顺园八村一期北区,3室2厅1厨2卫,中楼层 (共6层),119.67㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-14,商品房,2021-01-22,普通住宅,暂无数据,共有,有抵押 80万元,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适；,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,社区配套 1、环境优雅，低密度社区 2、小区绿化高 配套 地理位置得天独厚，出行方便！ 推荐理由 您体验惬意的生活，充分享受生活的美！,三开间朝南 小区环境优美绿化面积覆盖高干净整洁内有健身器材和娱乐广场物业服务态度,,,,,,,,,,
52,地理位置优越，交通便捷，配套辐射广，生活便利,160万,14765,新北区薛家,聚怡花园南区,3室1厅1厨1卫,中楼层 (共16层),108.37㎡,平层,暂无数据,塔楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-09,商品房,2018-09-17,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
53,怡枫苑三室边户 业主置换诚心出售 随时看房,129万,13097,新北区薛家,怡枫苑,3室2厅1厨1卫,低楼层 (共18层),98.5㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-09-24,商品房,2012-05-30,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局好，不靠高架，产权满五唯一省个税，看房提前预约,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
54,天逸城前排一层的房子视野无遮挡目前空置中有钥匙,88万,9893,新北区薛家,天逸城,2室2厅1厨1卫,低楼层 (共34层),88.96㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房前排低总价，业主诚心卖，有钥匙看房,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
55,降降降  中间楼层  飞机户型  小区环境美丽物业服务好,125万,12656,新北区薛家,九龙仓年华里 ,3室2厅1厨1卫,中楼层 (共18层),98.77㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-05,商品房,2014-07-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,"：
2房朝南，户型周正，格局分布合理，空间感好，通透性强，...",1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%（此房满五唯一免交个税）,,,"：
1、小区边生活设施齐全，菜市场、银行、交通便捷； 2、小区内有健身器材，棋牌室，活动室，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。封闭管理，智能人脸识别系统",,,"：
1.房屋权属清晰，随时签约及过户办理 2.房子有少量欠贷，随时可自行还款 3.置换改善换大房子 4.看房随时电话预约即可",,,,,,,,
56,九龙仓年华里 大四房精装 拎包入住 房东诚心看房方便,227万,17023,新北区薛家,九龙仓年华里 ,4室2厅1厨1卫,高楼层 (共18层),133.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2023-06-05,商品房,2021-05-06,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.3%，满两年免增值税
4、满五年唯一免个税1%","1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷；地铁一号线 常州高铁北站 龙江高架 
2、小区内有健身器材，小型篮球场，可供小区居民使用；
3、小区内停车位充足，建有地上停车场和地下车库；
4、小区内24小时保安巡逻。",,,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理,,,,,,,,
57,顶楼复式，价格可谈，随时看房，满五年，精装修,165万,14841,新北区薛家,聚怡花园南区,5室2厅1厨2卫,高楼层 (共18层),111.18㎡,复式,111.18㎡,塔楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-04,商品房,2012-01-16,普通住宅,暂无数据,共有,无抵押,已上传房本照片,地理位置优越，交通便捷，配套覆盖广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
58,橄榄城挑高一楼大三房位置好出行方便，价格可谈,80万,8356,新北区薛家,橄榄城,3室2厅1厨1卫,低楼层 (共11层),95.74㎡,平层,84.71㎡,板塔结合,南 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-10-20,商品房,2013-07-23,普通住宅,满五年,共有,无抵押,已上传房本照片,繁华地段，小区环境优雅，配套成熟，交通便利，居住舒适。,税费分析：1契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2%， 三套房不论面积统一3% 2 增值税： 满两年不论面积 全免 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,【配套】银行：农业银行、工商银行、建设银行、民生银行、中国银行、邮局 ： 医院：薛家镇人民医院 ： 教育：;薛家镇幼儿园、聚怡幼儿园、凤凰湖幼儿园,,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,,,,,,,,
59,顺园三村 拎包入住 三房两卫  房东诚心 看房方便,94万,7848,新北区薛家,顺园新村三村,3室2厅1厨2卫,高楼层 (共6层),119.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-03-07,商品房,2020-03-06,普通住宅,满两年,共有,有抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,"1、90平以内首套房契税1%，二套房1%，三套或以上3%            
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
3、不满两年增值税5.6%，满两年免增值税
4、满五年唯一免个税1%",,,"小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；
小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利",,,业主处理多余房产 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
60,薛家 封闭小区 年华里 婚房精装修 三室 好格局 通风好,168万,12991,新北区薛家,九龙仓年华里 ,3室2厅1厨2卫,高楼层 (共18层),129.33㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-18,商品房,2017-05-03,普通住宅,暂无数据,非共有,有抵押 10万元 建行 业主自还,已上传房本照片,1、户型周正，格局分布合理，空间感好，通透性强，大厨房,"1、90平以内首套房契税1%，二套房1%，三套或以上3% 
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%
 3、不满两年增值税5.6%，满两年免增值税 
4、满五年唯一免个税1%",,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。封闭管理，智能人脸识别系统,,,"1.房屋权属清晰，随时签约及过户办理
2.房子有少量欠贷，随时可自行还款
3.工作晋升，调动，置换改善换大房子。",,,,,,,,
61,白马公馆美式新装拎包即住满二目前自住看房方便,126万,14272,新北区薛家,白马公馆,3室2厅1厨1卫,高楼层 (共33层),88.29㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-24,商品房,2017-11-16,普通住宅,暂无数据,非共有,有抵押 70万元,已上传房本照片,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,112497483626,此房中上楼层，视野好，屋里的窗户都是新换的，装修保养好,,,
62,电梯房 小高层 中上楼层 采光好 视野佳,135万,12324,新北区薛家,怡枫苑,3室2厅1厨2卫,高楼层 (共18层),109.55㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-04-03,商品房,2017-07-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,业主自住 保养好 诚心出售 薛家商圈 出行方便,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
63,少有奥林匹克花园1+2复式带院子前排小桥流水,420万,18318,新北区薛家,常州奥林匹克花园,5室2厅1厨2卫,低楼层 (共6层),229.29㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-08-22,商品房,2019-08-01,普通住宅,满两年,非共有,有抵押 119万元,已上传房本照片,此房1+2层复式，带独立院子，有菜地、小桥,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
64,南北通透 飞机户型，三开间朝南 双阳台 房东诚心出售,180万,14137,新北区薛家,九龙仓荣华里,3室2厅1厨2卫,低楼层 (共30层),127.33㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯三户,有,暂无数据,2023-07-12,商品房,2021-08-28,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房楼层好，视野好，临河前排，婚装可拎包即住,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
65,荣华里前排11层小高层精装三房业主诚心卖随时可看,120万,12821,新北区薛家,九龙仓荣华里,3室2厅1厨1卫,高楼层 (共11层),93.6㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-08,商品房,2019-07-15,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房楼层好视野好，小高层一梯两户，有产权车位,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
66,白马公馆  大两房  毛坯  房东诚心卖,106万,11522,新北区薛家,白马公馆,2室2厅1厨1卫,中楼层 (共34层),92㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,暂无数据,2021-09-01,商品房,2019-11-03,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"地段好 
配套设施齐全 交通方便
楼层好","1.90平以内首套房契税1%，二套房1%，三套或以上3% 
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%",,"小区楼下马路旁有公交，南面有龙城大道和龙城大道高架，向东可到新北区天宁区和经开区，
向南到钟楼区和武进区，向西到奔牛机场，向北到薛家和沪蓉高速出入口","白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，
太湖西路与昆仑路交汇处。 会所及沿街组成。满足不同人群的共同梦想居所。高架贯通轻松链接五大区",,,,,,,,,,,
67,悠活城 看房方便 交通方便三房一厅一厨一卫诚心出售,105万,13637,新北区薛家,新城•悠活城,3室1厅1厨1卫,低楼层 (共33层),77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,暂无数据,2022-04-20,商品房,2021-11-23,普通住宅,暂无数据,共有,有抵押 银行 客户偿还,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,
68,精装修 自己住 诚心出售 看房方便,100万,8484,新北区薛家,顺园六村,3室2厅1厨2卫,高楼层 (共6层),117.87㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-07-11,商品房,2018-10-16,普通住宅,暂无数据,非共有,有抵押,已上传房本照片,卖点： 房子是全明格局，采光好，房子小区位置好，房主人好,1、 90平以内首套房和二套房契税1%，三套或以上3% ；2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1% 权属抵押： 此房无抵押，业主安置过来的，产权清晰，无抵押，无查封.,小区东门距离薛家实验（奥园区）50米 小区西门距离薛家医院200米 小区西门距离薛家农贸市场（步行街）800米 小区东门距离家乐（薛家店）步行450米,,小区介绍： 小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。绿化40%。,,,,,,,,,,,
69,满五唯一免个税，全天采光小三房,87万,11422,新北区薛家,新城•悠活城,3室1厅1厨1卫,中楼层 (共34层),76.17㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯七户,有,暂无数据,2022-04-25,商品房,2016-04-22,普通住宅,暂无数据,非共有,有抵押 15万元,已上传房本照片,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,,,,112480196825,满五唯一免个税，楼栋全天采光，没有遮挡,,,
70,新城悠活城精装小三房 前排视野好房东诚售,88万,11581,新北区薛家,新城•悠活城,3室2厅1厨1卫,低楼层 (共34层),75.99㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯七户,有,暂无数据,2021-09-29,商品房,2016-07-26,普通住宅,满五年,非共有,无抵押,已上传房本照片,此房楼层不是很高，在前排，视野好，高架噪声影响小,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
71,奥林匹克花园 精装顶复 大露台 诚心出售,200万,8564,新北区薛家,常州奥林匹克花园,5室2厅1厨3卫,高楼层 (共6层),233.55㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-27,商品房,2018-06-13,普通住宅,满五年,共有,无抵押,已上传房本照片,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,房子目前无抵押，产权清清爽爽，随时可以交易过户，。，。，。，。，。,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,,,,,,112496925284,薛家成熟板块生活商圈配套齐全 已满五 房东诚心出售。,,,
72,小区地理位置优越，交通便捷生活便利,169万,7511,新北区薛家,常州奥林匹克花园,5室2厅1厨4卫,高楼层 (共6层),225.01㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-06-08,商品房,2017-06-09,普通住宅,满五年,共有,无抵押,已上传房本照片,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好,,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,,,,,,,
73,满五省税。店长推荐。价格美丽。楼层采光都好。,93万,12442,新北区薛家,新城•悠活城,3室1厅1厨1卫,中楼层 (共34层),74.75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯五户,有,暂无数据,2022-11-22,商品房,2018-11-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五唯一，户型方正 采光好 楼层好,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,位于龙城大道高架与龙江路高架交汇处，上高架可直达奔牛国际机场或常州全城，32路，40路公交车，公交车直达常州火车站,小区有儿童娱乐设施 ，老人健身场地，地上500个停车位，地下1400个有，两个出口,,,,,,,,,,,
