,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
632,景潭花园 电梯精装两室 楼层好 采光充足,108.8万,10564,金坛区东城街道,景潭花园,2室2厅1厨1卫,中楼层 (共20层),103㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,两梯三户,有,暂无数据,2023-09-19,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
633,"此房格局好,楼层好 南北通风户型,全天采光,",102万,12912,金坛区东城街道,玉山花园,2室2厅1厨1卫,低楼层 (共20层),79㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,2023-03-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,楼层好 南北通风户型,全天采光,户型方正视野好",,"房东买了新房，现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
634,新上景潭花园多层四楼，精装修2室,92.8万,9568,金坛区东城街道,景潭花园,2室2厅1厨1卫,中楼层 (共6层),97㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-05-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
635,书香苑两室两厅一卫，精装修，拎包入住。,71万,8173,金坛区东城街道,书香苑,2室2厅1厨1卫,中楼层 (共6层),86.88㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,无,暂无数据,2021-08-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房两室精装 户型好 价格竞争力强 小区各项配套全,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,医院：金坛区正骨医院，金坛第二人民医院 购物：新城吾约广场，大统华,,,,,,,公交：金坛105路，金坛110路，金坛113路，金坛233路,,,,
636,书香苑3室1厅1厨2卫面积143.5平,115万,8014,金坛区东城街道,书香苑,3室1厅1厨2卫,高楼层 (共4层),143.5㎡,复式,暂无数据,板塔结合,南,框架结构,精装,六梯两户,有,暂无数据,2020-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
637,五中旁名仕家园 三室一厅一厨一卫  无遮挡 视野好,128万,8952,金坛区东城街道,名仕家园,3室2厅1厨1卫,低楼层 (共16层),143㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯两户,有,暂无数据,2020-04-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5年征1%,生活设施齐 中国银行 *市菜场商场饮食近在咫尺生活起居很方便,,,"小区环境优美,舒适安静适宜居住,出门即有公交菜场,银行*市美食等人文素养好,乐于助人,相处和谐",,,,,,,,
638,仓房小区爬楼中层两室老精装西边户拎包入住,70万,6604,金坛区东城街道,仓房小区,2室2厅1厨1卫,中楼层 (共6层),106㎡,平层,暂无数据,暂无数据,南,混合结构,精装,暂无数据,暂无数据,暂无数据,2021-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五唯一，南北通风户型，楼层好，户型方正采光好,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
639,金水华都2-2-1-1 112.00m² 118 万,116.8万,10429,金坛区东城街道,金水华都,2室2厅1厨1卫,高楼层 (共33层),112㎡,平层,暂无数据,平房,南,框架结构,精装,两梯两户,有,暂无数据,2021-09-02,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
640,华城四村3-2-1-1 116.69m²,63.8万,5468,金坛区东城街道,华城四村,3室2厅1厨1卫,高楼层 (共5层),116.69㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2021-06-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
641,碧水华庭高层复式156平*大阳光房+地下汽车位,139.8万,8943,金坛区东城街道,碧水华庭,4室3厅1厨2卫,高楼层 (共11层),156.34㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2020-09-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
642,愚池湾公寓 2室2厅 带车位129.8万,113万,10090,金坛区东城街道,愚池湾,2室2厅1厨1卫,低楼层 (共33层),112㎡,平层,暂无数据,塔楼,南 北,混合结构,精装,两梯两户,有,暂无数据,2023-04-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房装修精美  家具齐全  交通便利 购物方便  拎包入住,户型方正  南北通透 产权清晰 随时好交易   光线充足  客厅 宽敞 大方,,,,,,小区环境优美  文人素质高 治安好 物业管理完善 适合居住。。。。,,,,,,,,
643,香格里拉山庄多层五楼 两室一厅一卫,38.8万,4435,金坛区东城街道,香格里拉山庄,2室1厅1厨1卫,高楼层 (共6层),87.5㎡,平层,暂无数据,板塔结合,南 北,框架结构,毛坯,一梯两户,有,暂无数据,2020-07-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
644,名仕家园，电梯房中间楼层，精装修。,103万,7481,金坛区东城街道,名仕家园,2室2厅1厨1卫,中楼层 (共16层),137.7㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房两室精装 户型好 价格竞争力强 小区各项配套全,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,医院：金坛区正骨医院，金坛第二人民医院购物：新城吾约广场，大统华。,,,,,,,公交：金坛105路，金坛110路，金坛113路，金坛233路,,,,
645,愚池湾公寓 2室2厅 115.8万,109.8万,9804,金坛区东城街道,愚池湾,2室2厅1厨1卫,中楼层 (共30层),112㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,两梯两户,有,暂无数据,2023-04-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正 南北通透 产权清晰 随时好交易 拎包让住,户型方正  南北通透 产权清晰 随时好交易   光线充足  客厅 宽敞 大方,,,,,,小区环境优美  文人素质高 治安好 物业管理完善 适合居住。。。。,,,,,,,,
646,新装修 南北通风 家具家电全留,22.8万,4472,金坛区东城街道,虹桥新邨,2室1厅1厨1卫,高楼层 (共5层),50.99㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-22,商品房,2022-07-07,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1",,,,,,,,,,,,
647,此房格局好，沿河景观视野好，户型方正，全天采光,128万,11413,金坛区东城街道,愚池湾,2室2厅1厨1卫,高楼层 (共30层),112.16㎡,平层,暂无数据,塔楼,南 北,混合结构,精装,两梯两户,有,暂无数据,2022-06-02,商品房,2014-02-27,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房格局好，沿河景观视野好，户型方正，全天采光,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,离小区最近的是愚池公园，平时可以去公园散步，小区门口就是便利店，很方便,,,小区内部设施齐全，绿化好，人车风流，有小孩嬉戏游玩的地方，也有老人活动设备,,,,,,,,
648,金巢公寓1-1-1-1 46.00m² 35.8 万,35.8万,7783,金坛区东城街道,金巢公寓,1室1厅1厨1卫,高楼层 (共9层),46㎡,平层,暂无数据,板楼,南 北,框架结构,精装,两梯三十三户,有,暂无数据,2023-10-08,商品房,2023-10-08,普通住宅,未满两年,共有,无抵押,已上传房本照片,房子位置好，步行700米是吾悦广场，有电梯，总价底，看房方便,房子45平米，一室一厅，独立的厨房和卫生间，落地窗，视野好 此房是朝北的 电梯一室一厅一厨一卫 大窗户很敞亮,,此房是商品房70年产权 房东满五唯一是不需要缴个税 买方首套 二套都是一个点的契税 三套及以上是3个点的税,,,,,,房子产权清晰，没有贷款，没有抵押，诚意出售，房东换房，随时可以过户,,,,,,
649,金胜花园3-2-1-1 112.00m² 68.8 万,68.8万,6143,金坛区东城街道,金胜花园,3室2厅1厨1卫,中楼层 (共4层),112㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-10-08,商品房,2018-10-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房满五， 户型方正，南北格局好 采光无遮挡 视野开阔,"格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.6%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,,,,,,
650,保利紫荆公馆4-2-1-2 125.00m² 156.8 万,156.8万,12544,金坛区东城街道,保利紫荆公馆,4室2厅1厨2卫,中楼层 (共20层),125㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,暂无数据,2023-10-18,商品房,2020-10-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型方正，采光好，前后无遮挡，出行方便,,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5年成交价的1%,,,,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,,房子产权明晰，房东房子有一部分银行贷款，业主自还，过户全程陪同。。,,,,,,
651,翠堤湾一楼107平3室2厅2卫带南北院子80平精装136.8万,125.8万,11806,金坛区东城街道,翠堤湾花园,3室2厅1厨2卫,低楼层 (共6层),106.56㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-04-23,商品房,2021-01-21,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐全,产权清楚，随时可签，欢迎看房,随时恭候","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
652,金水湾 三室二厅一卫 顶楼 配套齐全 采光好 视眼好,125万,9766,金坛区东城街道,金水湾,3室2厅1厨2卫,高楼层 (共18层),128㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯三户,有,暂无数据,2023-05-30,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,顶楼，采光好，配套齐全，户型方正，交通便利，欢迎看房！,,,,,,,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,此房人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，有菜市场，公园,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,,,
653,金水弯 精装修 可拎包入住 100平 109万,109万,10900,金坛区东城街道,金水湾,2室1厅1厨1卫,中楼层 (共10层),100㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2021-09-16,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明",,契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
654,",南北通风户型,全天采光,户型方正视野好",28.5万,6196,金坛区东城街道,金巢公寓,1室1厅1厨1卫,中楼层 (共9层),46㎡,平层,暂无数据,板楼,北,框架结构,精装,两梯三十三户,有,暂无数据,2020-12-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
655,虹桥新村 2室 老精装 77平 开价42万 看中可谈,40.8万,5299,金坛区东城街道,虹桥新邨,2室1厅1厨1卫,中楼层 (共5层),77㎡,平层,暂无数据,板塔结合,南 北,混合结构,精装,暂无数据,无,暂无数据,2023-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,前排无遮挡，中楼层，采光无影响，不靠马路，噪音小,,"业主结婚的婚房，目前在上海工作，考虑定居上海！
房屋现状：随时可以看房，业主随时可以回来签约！
特殊要求：无特殊要求！","契税：首套房90平以下 1%，90平以上 1.5%。
二套房90平以下1%，90平以上2%。三套房不论面积统一3%。
增值税：满两年不论面积全免，不满两年收全额的5.6%。
个人所得税：满两年1%，满五年且唯一全免。",,,,,,"目前房屋无任何贷款抵押，随时可以签约交易！
售房原因：业主工作在金坛，单纯出售！",,,,,,
656,金坛区 吾悦广场 东城街道 徐塘新村2楼 2楼,90万,9783,金坛区东城街道,徐塘新村,2室2厅1厨1卫,低楼层 (共6层),92㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-11-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
657,华城新村中间楼层，83.00m²,49万,5904,金坛区东城街道,华城新村,2室2厅1厨1卫,中楼层 (共5层),83㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,无,暂无数据,2021-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上
2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5
年征1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
658,房东很好说话，价格可以谈 户型装修都不错,95万,7693,金坛区东城街道,虹亚美丽华公寓,2室2厅1厨1卫,高楼层 (共24层),123.5㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯四户,有,暂无数据,2023-05-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房房间通透欧式精装修电梯景观房小区环境安静,,,,,,,物业管理规范，24小时安保，小区干净整洁，素质住户，有休闲区域,首付不高，满足大多数人的要求 居住环境很好，适合任何年龄段居住,,欧式精装修，家具家电全留， 刚装修了20多万基本不用动，可以用来当婚房,,,,,
659,华达名都步梯房东边户精装.价格可谈.,85.8万,8412,金坛区东城街道,华达名都,2室2厅1厨1卫,高楼层 (共6层),102㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-09-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,房子满五不唯一， 房东重新装修，全屋墙暖，地板通铺 采光好,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈",房子是商品房 房东 需缴纳1%的个税 买方首套房需缴纳1.5%的契税，二套房缴纳2%的契税，三套房缴纳3%的契税,华达名都在吾悦广场的东边，紧靠恒大悦府，上学仅过一条马路，后面有峨嵋菜场，出门就是公交车站，很方便,,,,,,,,,,,
660,钱资湖边两室两厅小户型精装带车库诚心出售。。。。。,99.8万,9990,金坛区东城街道,万士新村,2室2厅1厨1卫,低楼层 (共11层),99.9㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯三户,有,暂无数据,2021-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满五年，两室两厅一厨一卫户型方正，房东精装，带小车库,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",配套设施比较全，距离人民医院500米，距离段玉裁900多米，距离吾悦2公里，小区前面就是钱资湖公园，生活方便，闹中取静,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
661,玉兰园2-1-1-1 94.95m² 60 万,53.8万,5667,金坛区东城街道,玉兰园,2室1厅1厨1卫,低楼层 (共10层),94.95㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"：
交通便捷，看房子方便。房东诚心出售，.",,,首套房90平以下成交价的1%，90平以上成交价的1.5%，二套房90平以下1%，以上2%，三套房不论大小均为3%；增值税分析：产证满两年免增值税，未满两年征收5.3%；个税：产证满五而且是唯一一套住房，免收个税，未满5念成交价的1%,,,,小区环境各方面还是不错的，交通便利，配套齐全。出行便利，小区环境好，绿化高，花草树木一应俱全，空气新鲜！,本房适合年轻人居住，房子采光好，不临街，社区生活方便，邻里和睦小区内配套齐全，出行方便！管理以及卫生情况都不错，近小区里有购物点，生活便利！,,,,,,,
662,古石林小区2-2-1-1 92.00m² 65.8 万,63.8万,6935,金坛区东城街道,古石林小区,2室2厅1厨1卫,中楼层 (共5层),92㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-10-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"：
此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
663,"此房格局好,南北通风户型,全天采光,户型方正",63.6万,8154,金坛区东城街道,南洲花园,2室2厅1厨1卫,高楼层 (共6层),78㎡,平层,暂无数据,平房,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2021-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
664,金江苑二区2-2-1-1 100.00m²,80万,8000,金坛区东城街道,金江苑二区,2室2厅1厨1卫,中楼层 (共5层),100㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-04-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"户型周正，格局分布合理,空间感好,通透性强","房格局好,南北通风户型 主次卧分离 餐客厅一体 三层可利用空间大干湿分离,明厨明卫",,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,"楼间距大 、小区生活设施齐,商场、菜市场、银行等,交通便捷;、小区内有健身 器材,可供小区居民使用;、小区内停车位充足,人车分离;小区内24小时保安巡逻。",,,,,,,,
665,2室1厅1卫  采光好  位置好  户型方正,45万,6347,金坛区东城街道,翠园新村北区,2室1厅1厨1卫,中楼层 (共5层),70.91㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-07-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房子地理位置好，满五  ，户型方正，出行方便,,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,房子的小区大门旁边有公共电助力车，小区大门旁边有公共车站。打滴滴也比较方便滴。,,,,,,,,
666,华达名都精装房，价格可谈。空置房随时看房！,89.8万,8892,金坛区东城街道,华达名都,2室2厅1厨1卫,高楼层 (共6层),101㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免,,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
